,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
206,Bordeaux,44.825873,-0.556697,Saint-Brieuc,48.50758,-2.765,Bordeaux Saint-Jean,Saint-Brieuc,16230,18702,Train,442.7,0,0,0,16230,3.681706999999996,-2.208303,231.0,-139.1376883640203
208,Bordeaux,44.825873,-0.556697,Redon,47.652004,-2.08777,Bordeaux Saint-Jean,Redon,19020,21492,Train,335.6,0,0,0,19020,2.8261309999999966,-1.531073,278.0,-151.00097635788003
209,Bordeaux,44.825873,-0.556697,Saint-Lô,49.116975,-1.099525,Bordeaux Saint-Jean,Saint-Lô,25560,32952,Train,478.9,0,0,0,25560,4.291101999999995,-0.5428280000000001,422.0,-53.46328280918194
210,Bordeaux,44.825873,-0.556697,Caen,49.176354,-0.347613,Bordeaux Saint-Jean,Caen,22980,25452,Train,484.0,0,0,0,22980,4.350481000000002,0.209084,382.0,18.385748616210925
213,Bordeaux,44.825873,-0.556697,Havre,49.492624,0.124644,Bordeaux Saint-Jean,Le Havre,20400,27792,Train,521.5,0,0,0,20400,4.666750999999998,0.681341,336.0,49.11891957024829
214,Bordeaux,44.825873,-0.556697,Boulogne-sur-Mer,50.715613,1.609714,Bordeaux Saint-Jean,Boulogne-Ville,22200,24672,Train,674.5,0,0,0,22200,5.889739999999996,2.166411,347.0,127.72962311642294
215,Bordeaux,44.825873,-0.556697,Calais,50.953466,1.850885,Bordeaux Saint-Jean,Calais Ville,19560,26952,Train,704.5,0,0,0,19560,6.127592999999997,2.4075819999999997,303.0,119.21611367005018
217,Bordeaux,44.825873,-0.556697,Beauvais,49.426522,2.088609,Bordeaux Saint-Jean,Beauvais - Gare SNCF,15000,22392,Train,549.2,0,0,0,15000,4.600648999999997,2.6453059999999997,216.0,124.6154028601372
218,Bordeaux,44.825873,-0.556697,Mulhouse,47.742691,7.34316,Bordeaux Saint-Jean,Mulhouse-Ville,22320,29712,Train,687.8,0,0,0,22320,2.9168179999999992,7.899857,128.0,348.9726387432355
219,Bordeaux,44.825873,-0.556697,Châlons-en-Champagne,48.955252,4.348656,Bordeaux Saint-Jean,Châlons-en-Champagne,22020,29412,Train,591.2,0,0,0,22020,4.129379,4.905353,236.0,280.76314352449776
221,Bordeaux,44.825873,-0.556697,Charleville-Mézières,49.76763,4.724344,Bordeaux Saint-Jean,Charleville-Mézières,19890,84042,Train,678.3,0,0,0,19890,4.9417569999999955,5.281041,226.0,242.05231070900797
