,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
143,Brest,48.38762,-4.480306,Brest,48.38762,-4.480306,Brest,Brest,0,0,Origine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Brest,48.447222,-4.421667,Paris,48.723333,2.379444,Brest Bretagne,Paris Airport,4800,4800,Avion,501.0,948.0000000000001,1764.0,2712.0,7512.0,0.2761110000000002,6.801111000000001,5.0,125.09695057335703
145,Brest,48.447222,-4.421667,Toulon,43.097222,6.146111,Brest Bretagne,Toulon–Hyères,6600,6600,Avion,1011.3,948.0000000000001,2136.0,3084.0,9684.0,-5.349999999999994,10.567778,-72.90004702983408,143.99841368240132
146,Brest,48.447222,-4.421667,Lyon,45.725556,5.081111,Brest Bretagne,Lyon–Saint-Exupéry,5700,5700,Avion,779.8,948.0000000000001,2364.0,3312.0,9012.0,-2.721665999999999,9.502778,-41.35563428335771,144.39443033933534
147,Brest,48.447222,-4.421667,Porto,41.235556,-8.678056,Brest Bretagne,Porto Airport,61800,61800,Avion,868.9,948.0000000000001,0.0,948.0000000000001,62748.0,-7.211665999999994,-4.2563889999999995,-900.6330627444858,-531.5615921899241
148,Brest,48.447222,-4.421667,Marseille,43.436667,5.215,Brest Bretagne,Marseille Provence,6300,6300,Avion,929.2,948.0000000000001,2400.0,3348.0,9648.0,-5.0105549999999965,9.636667,-74.17955523879583,142.667563182997
149,Brest,48.447222,-4.421667,Lisbon,38.774167,-9.134167,Brest Bretagne,Lisbon Portela,77100,77100,Avion,1140.0,948.0000000000001,0.0,948.0000000000001,78048.0,-9.673054999999998,-4.7124999999999995,-1169.4066865523341,-569.7092604536906
150,Brest,48.447222,-4.421667,Rome,41.800278,12.238889,Brest Bretagne,Rome Airport,17400,17400,Avion,1497.0,948.0000000000001,0.0,948.0000000000001,18348.0,-6.646943999999998,16.660556,-113.31729008530233,284.0296318480229
151,Brest,48.38762,-4.480306,Avignon,43.92194,4.786136,Brest Train Station,Avignon TGV,28890,28890,Train,868.5,60.0,408.0,468.0,29358.0,-4.465679999999999,9.266442,-212.42274025352228,440.7846066086979
152,Brest,48.38762,-4.480306,Toulon,43.128353,5.929404,Brest Train Station,Toulon Train Station,35730,35730,Train,995.7,60.0,36.0,96.0,35826.0,-5.259267000000001,10.40971,-269.25748793324686,532.943538465265
153,Brest,48.38762,-4.480306,Bourg-en-Bresse,46.200111,5.215011,Brest Train Station,Bourg-en-Bresse Train Station,28500,28500,Train,769.9,60.0,120.0,180.0,28680.0,-2.1875089999999986,9.695317,-105.20433455761193,466.2789379655595
