,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
165,Clermont-Ferrand,45.766988,3.134193,Clermont-Ferrand,45.766988,3.134193,Clermont-Ferrand,Clermont-Ferrand,0,0,Origine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Clermont-Ferrand,45.785833,3.1625,Madrid,40.493611,-3.566667,Clermont-Ferrand Auvergne,Adolfo Suárez Madrid–Barajas,5700,5700,Avion,802.2,756.0,1728.0000000000002,2484.0,8184.0,-5.292221999999995,-6.729167,-84.32029761811677,-107.21495888910378
167,Clermont-Ferrand,45.785833,3.1625,Porto,41.235556,-8.678056,Clermont-Ferrand Auvergne,Porto Airport,58500,58500,Avion,1079.1,756.0,0.0,756.0,59256.0,-4.550276999999994,-11.840556,-354.27114708040125,-921.8707687883029
168,Clermont-Ferrand,45.785833,3.1625,Agadir,,,Clermont-Ferrand Auvergne,Agadir Airport,40800,40800,Avion,,756.0,,,,,,,
169,Clermont-Ferrand,45.785833,3.1625,Paris,49.009722,2.547778,Clermont-Ferrand Auvergne,Paris Airport,4200,4200,Avion,361.5,756.0,2723.9999999999995,3479.9999999999995,7680.0,3.223889,-0.614722,125.0,-23.974733564213015
170,Clermont-Ferrand,45.785833,3.1625,Casablanca,,,Clermont-Ferrand Auvergne,Casablanca Airport,41700,41700,Avion,,756.0,,,,,,,
171,Clermont-Ferrand,45.785833,3.1625,Seville,37.418056,-5.893056,Clermont-Ferrand Auvergne,Seville Airport,66000,66000,Avion,1195.3,756.0,0.0,756.0,66756.0,-8.367776999999997,-9.055556,-755.0832027012883,-817.1463253288024
172,Clermont-Ferrand,45.785833,3.1625,Marseille,43.436667,5.215,Clermont-Ferrand Auvergne,Marseille Provence,2400,2400,Avion,307.6,756.0,2400.0,3156.0,5556.0,-2.3491659999999968,2.0524999999999998,-69.73301352201949,60.92673325509786
173,Clermont-Ferrand,45.785833,3.1625,Lyon,45.725556,5.081111,Clermont-Ferrand Auvergne,Lyon–Saint-Exupéry,82200,82200,Avion,149.0,756.0,2364.0,3120.0,85320.0,-0.06027699999999925,1.9186109999999998,-44.65294126273853,1421.2987422905103
174,Clermont-Ferrand,45.785833,3.1625,Milan,45.449444,9.278333,Clermont-Ferrand Auvergne,Milan Airport,48300,48300,Avion,477.0,756.0,0.0,756.0,49056.0,-0.33638899999999694,6.115833,-44.90255990518965,816.3660454195538
175,Clermont-Ferrand,45.785833,3.1625,Stockholm,59.651944,17.918611,Clermont-Ferrand Auvergne,Stockholm Airport,83100,83100,Avion,1825.3,756.0,0.0,756.0,83856.0,13.866111000000004,14.756110999999999,957.0,1018.4896104449712
176,Clermont-Ferrand,45.785833,3.1625,Brussels,50.459167,4.453889,Clermont-Ferrand Auvergne,Brussels Airport,62400,62400,Avion,528.4,756.0,0.0,756.0,63156.0,4.673334000000004,1.2913890000000001,1014.0,280.3593497217083
177,Clermont-Ferrand,45.785833,3.1625,Marrakesh,,,Clermont-Ferrand Auvergne,Marrakesh Airport,57600,57600,Avion,,756.0,,,,,,,
178,Clermont-Ferrand,45.785833,3.1625,Lisbon,38.774167,-9.134167,Clermont-Ferrand Auvergne,Lisbon Portela,76500,76500,Avion,1274.8,756.0,0.0,756.0,77256.0,-7.011665999999998,-12.296667,-637.7995903875827,-1118.5371886984499
