,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
Dunkerque,Lille,50.6394,3.075721,Dunkerque,51.03041,2.368991,Lille Europe,Dunkerque,1830,1892,Train,66.0,0,0,0,1830,0.3910100000000014,-0.7067300000000003,14.0,-26.687690857802053
Soissons,Lille,50.6394,3.075721,Soissons,49.369226,3.33809,Lille Europe,Soissons,9300,10142,Train,142.5,0,0,0,9300,-1.2701740000000044,0.26236899999999963,-151.79544896959405,31.355090051208137
Strasbourg,Lille,50.6394,3.075721,Strasbourg,48.584532,7.734793,Lille Europe,Strasbourg,12360,13202,Train,405.9,0,0,0,12360,-2.054867999999999,4.659072,-83.12939649599213,188.4821037611055
Montbéliard,Lille,50.6394,3.075721,Montbéliard,47.51055,6.801336,Lille Europe,Montbéliard,20790,21632,Train,441.1,0,0,0,20790,-3.12885,3.725615,-222.83822160141614,265.3401156883711
Vitry-le-François,Lille,50.6394,3.075721,Vitry-le-François,48.717913,4.587515,Lille Europe,Vitry-le-François,11400,36182,Train,239.7,0,0,0,11400,-1.921486999999999,1.5117939999999996,-149.32289920644735,117.48477251363758
Reims,Lille,50.6394,3.075721,Reims,49.233406,4.022648,Lille Europe,Reims Maison Blanche,7860,8702,Train,170.4,0,0,0,7860,-1.4059939999999997,0.9469270000000001,-108.65505292858403,73.17840851703869
Saint-Dié-des-Vosges,Lille,50.6394,3.075721,Saint-Dié-des-Vosges,48.282043,6.948516,Lille Europe,Saint-Dié-des-Vosges,14940,15782,Train,383.4,0,0,0,14940,-2.3573570000000004,3.8727949999999995,-129.46693090343828,212.69535444490637
Troyes,Lille,50.6394,3.075721,Troyes,48.296069,4.065281,Lille Europe,Troyes,15450,15602,Train,270.2,0,0,0,15450,-2.343330999999999,0.9895599999999996,-237.21619067614307,100.17349390482356
Perpignan,Lille,50.6394,3.075721,Perpignan,42.696096,2.879355,Lille Europe,Perpignan,27930,28772,Train,883.4,0,0,0,27930,-7.943304000000005,-0.19636600000000026,-465.3578257622193,-11.504086311391829
Béziers,Lille,50.6394,3.075721,Béziers,43.336295,3.218895,Lille Europe,Béziers,23670,24512,Train,812.1,0,0,0,23670,-7.303105000000002,0.1431739999999997,-394.42421119235934,7.732504463958095
Arles,Lille,50.636577,3.06987,Arles,43.684863,4.632105,Lille Flandres,Arles,16680,19232,Train,782.2,0,0,0,16680,-6.951714000000003,1.5622350000000003,-271.2353845055343,60.953803754441466
Dax,Lille,50.636577,3.06987,Dax,43.720472,-1.050301,Lille Flandres,Dax,20760,23942,Train,829.8,0,0,0,20760,-6.916105000000002,-4.120171,-297.25030142305354,-177.0826312880622
Montluçon,Lille,50.6394,3.075721,Montluçon,46.338101,2.596159,Lille Europe,Montluçon - ville,26970,27812,Train,479.6,0,0,0,26970,-4.301299,-0.47956200000000004,-446.7320135611098,-49.8072089123293
Albi,Lille,50.636577,3.06987,Albi,43.92238,2.137958,Lille Flandres,Albi-Ville,31560,34742,Train,750.2,0,0,0,31560,-6.714197000000006,-0.9319120000000001,-521.0054400924929,-72.31411614635006
Marmande,Lille,50.636577,3.06987,Marmande,44.503071,0.168091,Lille Flandres,Marmande,20340,23522,Train,716.2,0,0,0,20340,-6.133506000000004,-2.901779,-306.4360183079409,-144.97574515613056
Vierzon,Lille,50.636577,3.06987,Vierzon,47.226474,2.059869,Lille Flandres,Vierzon,21390,24572,Train,386.7,0,0,0,21390,-3.4101029999999994,-1.010001,-341.82244344287545,-101.24063985743179
Vendôme,Lille,50.636577,3.06987,Vendôme,47.801959,1.068219,Lille Flandres,Vendôme,15600,18782,Train,347.5,0,0,0,15600,-2.834618000000006,-2.001651,-212.38537190295543,-149.97484389604583
Orléans,Lille,50.636577,3.06987,Orléans,47.907891,1.904242,Lille Flandres,Orléans,14880,38102,Train,315.4,0,0,0,14880,-2.7286860000000033,-1.1656279999999999,-228.06307111521457,-97.42297261681446
Saumur,Lille,50.6394,3.075721,Saumur,47.268994,-0.07140299999999999,Lille Europe,Saumur,14040,32222,Train,439.5,0,0,0,14040,-3.3704060000000027,-3.1471240000000003,-171.03119437375184,-159.70075313250064
Sables-d'Olonne,Lille,50.6394,3.075721,Sables-d'Olonne,46.500032,-1.781116,Lille Europe,Les Sables-d'Olonne,20400,38582,Train,582.4,0,0,0,20400,-4.139368000000005,-4.8568370000000005,-220.54226472478317,-258.7684475937197
Nantes,Lille,50.6394,3.075721,Nantes,47.217491,-1.542077,Lille Europe,Nantes,14280,32462,Train,508.3,0,0,0,14280,-3.4219089999999994,-4.6177980000000005,-141.69939269811601,-191.22050650750063
Guingamp,Lille,50.6394,3.075721,Guingamp,48.555659,-3.143343,Lille Europe,Guingamp,17460,42242,Train,504.3,0,0,0,17460,-2.0837410000000034,-6.219064,-92.45021285810503,-275.9238267031158
Saint-Brieuc,Lille,50.6394,3.075721,Saint-Brieuc,48.50758,-2.765,Lille Europe,Saint-Brieuc,16440,41222,Train,483.1,0,0,0,16440,-2.1318200000000047,-5.840721,-93.94584868923793,-257.3910983582354
Redon,Lille,50.6394,3.075721,Redon,47.652004,-2.08777,Lille Europe,Redon,19140,37322,Train,501.2,0,0,0,19140,-2.987396000000004,-5.1634910000000005,-159.75072147837938,-276.11719791990004
