,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
188,Lyon,45.760596,4.859409,Lyon,45.760596,4.859409,Lyon,Lyon,0,0,Origine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Lyon,45.725556,5.081111,Rome,41.800278,12.238889,Lyon–Saint-Exupéry,Rome Airport,5700,5700,Avion,721.3,2364.0,0.0,2364.0,8064.0,-3.9252779999999987,7.157778,-64.62447129758857,117.84327604707514
190,Lyon,45.725556,5.081111,Venice,45.505278,12.351944,Lyon–Saint-Exupéry,Venice Marco Polo,4800,4800,Avion,565.8,2364.0,0.0,2364.0,7164.0,-0.22027800000000042,7.270833,-3.6156972889610994,119.34524176989461
191,Lyon,45.725556,5.081111,London,51.874722,-0.368333,Lyon–Saint-Exupéry,London Airport,6300,6300,Avion,791.2,2364.0,0.0,2364.0,8664.0,6.149166000000001,-5.449444,108.0,-95.77222372241162
192,Lyon,45.725556,5.081111,Málaga,36.675,-4.499167,Lyon–Saint-Exupéry,Málaga Airport,7800,7800,Avion,1284.6,2364.0,0.0,2364.0,10164.0,-9.050556,-9.580278,-116.3311160016915,-123.13988569834308
193,Lyon,45.725556,5.081111,Cluj-Napoca,46.785278,23.686111,Lyon–Saint-Exupéry,Cluj International,8700,8700,Avion,1431.9,2364.0,0.0,2364.0,11064.0,1.0597220000000007,18.605,10.0,184.10159898464886
194,Lyon,45.725556,5.081111,Bristol,51.3825,-2.718889,Lyon–Saint-Exupéry,Bristol Airport,6300,6300,Avion,850.7,2364.0,0.0,2364.0,8664.0,5.656944000000003,-7.8,84.0,-116.89390176100834
195,Lyon,45.725556,5.081111,Fuerteventura,,,Lyon–Saint-Exupéry,Fuerteventura Airport,14400,14400,Avion,,2364.0,,,,,,,
196,Lyon,45.725556,5.081111,Barcelona,41.296944,2.078333,Lyon–Saint-Exupéry,Barcelona–El Prat,4500,4500,Avion,548.7,2364.0,1512.0,3876.0,8376.0,-4.428611999999994,-3.0027779999999997,-115.54411700745557,-78.34358317671854
197,Lyon,45.725556,5.081111,Lisbon,38.774167,-9.134167,Lyon–Saint-Exupéry,Lisbon Portela,9000,9000,Avion,1399.1,2364.0,0.0,2364.0,11364.0,-6.951388999999999,-14.215278,-83.2027972999884,-170.1459800331969
198,Lyon,45.725556,5.081111,Manchester,53.353611,-2.275,Lyon–Saint-Exupéry,Manchester Airport,7200,7200,Avion,999.4,2364.0,0.0,2364.0,9564.0,7.628055000000003,-7.356111,114.0,-110.64900208942173
199,Lyon,45.725556,5.081111,Lanzarote,,,Lyon–Saint-Exupéry,Lanzarote Airport,14100,14100,Avion,,2364.0,,,,,,,
200,Lyon,45.725556,5.081111,Malta,35.8575,14.4775,Lyon–Saint-Exupéry,Malta International,7800,7800,Avion,1350.6,2364.0,0.0,2364.0,10164.0,-9.868055999999996,9.396389,-122.67988949093318,116.81611496061844
201,Lyon,45.725556,5.081111,Tirana,41.415,19.720833,Lyon–Saint-Exupéry,Tirana International Airport Nënë Tereza,8400,8400,Avion,1270.7,2364.0,0.0,2364.0,10764.0,-4.310555999999998,14.639721999999999,-50.67208702560277,172.09503071404978
202,Lyon,45.725556,5.081111,Bucharest,44.572222,26.102222,Lyon–Saint-Exupéry,Bucharest Airport,9900,9900,Avion,1648.7,2364.0,0.0,2364.0,12264.0,-1.153334000000001,21.021111,-11.197669395488498,204.09304789754435
203,Lyon,45.725556,5.081111,Agadir,,,Lyon–Saint-Exupéry,Agadir Airport,12000,12000,Avion,,2364.0,,,,,,,
204,Lyon,45.725556,5.081111,Toulouse,43.635,1.367778,Lyon–Saint-Exupéry,Toulouse–Blagnac,3900,3900,Avion,374.4,2364.0,840.0,3204.0,7104.0,-2.0905559999999994,-3.713333,-58.08504879171069,-103.17309294028453
205,Lyon,45.725556,5.081111,Constantine,36.276111,6.620278,Lyon–Saint-Exupéry,Mohamed Boudiaf International,6600,6600,Avion,1058.6,2364.0,0.0,2364.0,8964.0,-9.449444999999997,1.539167,-147.45669474108652,24.018392453160363
206,Lyon,45.725556,5.081111,Béjaïa,36.711944,5.07,Lyon–Saint-Exupéry,Abane Ramdane,7200,7200,Avion,1002.3,2364.0,0.0,2364.0,9564.0,-9.013611999999995,-0.011110999999999649,-159.39987889379293,-0.1964908245871941
207,Lyon,45.725556,5.081111,Geneva,46.238056,6.108889,Lyon–Saint-Exupéry,Geneva Airport,35100,35100,Avion,97.7,2364.0,0.0,2364.0,37464.0,0.5125000000000028,1.0277779999999996,278.0,558.7820797629187
208,Lyon,45.725556,5.081111,Funchal,,,Lyon–Saint-Exupéry,Funchal Airport,12900,12900,Avion,,2364.0,,,,,,,
209,Lyon,45.725556,5.081111,Rennes,48.071944,-1.732222,Lyon–Saint-Exupéry,Rennes–Saint-Jacques,4800,4800,Avion,579.4,2364.0,696.0,3060.0,7860.0,2.3463880000000046,-6.813333,42.0,-123.86086656001336
210,Lyon,45.725556,5.081111,Belgrade,44.818333,20.309167,Lyon–Saint-Exupéry,Belgrade Nikola Tesla,6900,6900,Avion,1194.1,2364.0,0.0,2364.0,9264.0,-0.9072229999999948,15.228055999999999,-9.182216592751157,154.12672350518517
211,Lyon,45.725556,5.081111,Tenerife,,,Lyon–Saint-Exupéry,Tenerife Airport,15300,15300,Avion,,2364.0,,,,,,,
212,Lyon,45.725556,5.081111,Amsterdam,52.308056,4.764167,Lyon–Saint-Exupéry,Amsterdam Airport Schiphol,24300,24300,Avion,732.3,2364.0,1368.0,3732.0,28032.0,6.582500000000003,-0.31694400000000034,466.0,-22.46940929717912
213,Lyon,45.725556,5.081111,Edinburgh,55.95,-3.3725,Lyon–Saint-Exupéry,Edinburgh Airport,20700,20700,Avion,1280.4,2364.0,0.0,2364.0,23064.0,10.224444000000005,-8.453611,296.0,-244.94346513530496
214,Lyon,45.725556,5.081111,Madrid,40.493611,-3.566667,Lyon–Saint-Exupéry,Adolfo Suárez Madrid–Barajas,47100,47100,Avion,910.8,2364.0,1728.0000000000002,4092.0,51192.0,-5.231944999999996,-8.647777999999999,-441.6510694140508,-729.9962827887723
215,Lyon,45.725556,5.081111,Nantes,47.156944,-1.607778,Lyon–Saint-Exupéry,Nantes Atlantique,4800,4800,Avion,536.5,2364.0,960.0,3324.0,8124.0,1.4313880000000054,-6.688889,28.0,-132.40233100972281
216,Lyon,45.725556,5.081111,Istanbul,40.898611,29.309167,Lyon–Saint-Exupéry,Istanbul Airport,11100,11100,Avion,2023.7,2364.0,0.0,2364.0,13464.0,-4.826944999999995,24.228056,-43.845416058413775,220.07484974586396
217,Lyon,45.725556,5.081111,Paris,49.009722,2.547778,Lyon–Saint-Exupéry,Paris Airport,16800,16800,Avion,412.0,2364.0,2723.9999999999995,5088.0,21888.0,3.284165999999999,-2.533333,288.0,-222.81192018301098
218,Lyon,45.725556,5.081111,Bordeaux,44.828611,-0.715278,Lyon–Saint-Exupéry,Bordeaux–Mérignac,4200,4200,Avion,464.3,2364.0,1296.0000000000002,3660.0,7860.0,-0.8969449999999952,-5.796389,-20.032781315671098,-129.45921239046103
219,Lyon,45.725556,5.081111,Brest,48.447222,-4.421667,Lyon–Saint-Exupéry,Brest Bretagne,6000,6000,Avion,779.8,2364.0,948.0000000000001,3312.0,9312.0,2.721665999999999,-9.502778,42.0,-149.20116903238912
220,Lyon,45.725556,5.081111,Glasgow,55.871944,-4.433333,Lyon–Saint-Exupéry,Glasgow Airport,21900,21900,Avion,1308.8,2364.0,0.0,2364.0,24264.0,10.146388000000002,-9.514444000000001,294.0,-276.6199141049346
221,Lyon,45.725556,5.081111,Djerba,,,Lyon–Saint-Exupéry,Djerba Airport,8400,8400,Avion,,2364.0,,,,,,,
222,Lyon,45.725556,5.081111,"Palma, Majorca",39.551667,2.738889,Lyon–Saint-Exupéry,Palma de Mallorca,12000,12000,Avion,712.6,2364.0,0.0,2364.0,14364.0,-6.1738889999999955,-2.342222,-223.8335741202529,-84.91696589347288
223,Lyon,45.725556,5.081111,Brussels,50.901389,4.484444,Lyon–Saint-Exupéry,Brussels Airport,19200,19200,Avion,577.2,2364.0,0.0,2364.0,21564.0,5.175833000000004,-0.5966670000000001,357.0,-41.15883738837932
224,Lyon,45.725556,5.081111,Birmingham,52.453611,-1.747778,Lyon–Saint-Exupéry,Birmingham Airport,21300,21300,Avion,897.4,2364.0,0.0,2364.0,23664.0,6.728055000000005,-6.828889,276.0,-280.9494220717214
225,Lyon,45.725556,5.081111,Larnaca,,,Lyon–Saint-Exupéry,Larnaca Airport,20700,20700,Avion,,2364.0,,,,,,,
226,Lyon,45.725556,5.081111,Ibiza,38.872778,1.373056,Lyon–Saint-Exupéry,Ibiza Airport,18000,18000,Avion,820.5,2364.0,0.0,2364.0,20364.0,-6.852778000000001,-3.708055,-298.5021973022027,-161.52027181055897
227,Lyon,45.725556,5.081111,Antalya,36.898611,30.800556,Lyon–Saint-Exupéry,Antalya Airport,20700,20700,Avion,2348.1,2364.0,0.0,2364.0,23064.0,-8.826944999999995,25.719445,-124.7822074092367,363.5832239172735
228,Lyon,45.725556,5.081111,Tunis,36.851111,10.227222,Lyon–Saint-Exupéry,Tunis–Carthage International,6900,6900,Avion,1075.8,2364.0,0.0,2364.0,9264.0,-8.874444999999994,5.146110999999999,-133.5677854728057,77.45325483083687
229,Lyon,45.725556,5.081111,Frankfurt,50.033056,8.570556,Lyon–Saint-Exupéry,Frankfurt International Airport,21600,21600,Avion,545.0,2364.0,0.0,2364.0,23964.0,4.3075000000000045,3.489445,310.0,251.40713992867683
230,Lyon,45.725556,5.081111,Skopje,41.961667,21.621389,Lyon–Saint-Exupéry,Skopje Alexander the Great,18300,18300,Avion,1388.0,2364.0,0.0,2364.0,20664.0,-3.763888999999999,16.540278,-76.4177158296757,335.81496796208313
231,Lyon,45.725556,5.081111,Marseille,43.436667,5.215,Lyon–Saint-Exupéry,Marseille Provence,3300,3300,Avion,254.7,2364.0,2400.0,4764.0,8064.0,-2.2888889999999975,0.13388899999999992,-134.17065100896974,7.848337902336004
232,Lyon,45.725556,5.081111,Bodrum,37.250556,27.664444,Lyon–Saint-Exupéry,Milas–Bodrum,19800,19800,Avion,2094.0,2364.0,0.0,2364.0,22164.0,-8.474999999999994,22.583333,-129.78891129773803,345.8485195922456
233,Lyon,45.725556,5.081111,Porto,41.235556,-8.678056,Lyon–Saint-Exupéry,Porto Airport,17400,17400,Avion,1215.1,2364.0,0.0,2364.0,19764.0,-4.489999999999995,-13.759167,-102.18898086624056,-313.1481633181314
234,Lyon,45.725556,5.081111,Casablanca,,,Lyon–Saint-Exupéry,Casablanca Airport,10200,10200,Avion,,2364.0,,,,,,,
235,Lyon,45.725556,5.081111,Dublin,53.421389,-6.27,Lyon–Saint-Exupéry,Dublin Airport,8700,8700,Avion,1181.4,2364.0,0.0,2364.0,11064.0,7.695833,-11.351111,103.0,-152.62841953533328
236,Lyon,45.725556,5.081111,Hurghada,,,Lyon–Saint-Exupéry,Hurghada Airport,16200,16200,Avion,,2364.0,,,,,,,
237,Lyon,45.725556,5.081111,Fes,,,Lyon–Saint-Exupéry,Fes Airport,9000,9000,Avion,,2364.0,,,,,,,
238,Lyon,45.725556,5.081111,Nice,43.665278,7.215,Lyon–Saint-Exupéry,Nice Côte d Azur International,3300,3300,Avion,284.5,2364.0,696.0,3060.0,6360.0,-2.0602779999999967,2.133889,-73.62648911491625,76.25706590612519
239,Lyon,45.725556,5.081111,Dubai,,,Lyon–Saint-Exupéry,Dubai Airport,35400,35400,Avion,,2364.0,,,,,,,
240,Lyon,45.760596,4.859409,Nîmes,43.832313,4.365872,Lyon Part Dieu,Nîmes Centre,4680,4680,Train,217.9,252.00000000000003,83.99999999999999,336.0,5016.0,-1.9282830000000004,-0.4935369999999999,-80.98933088704504,-20.72892381356862
241,Lyon,45.760596,4.859409,Avignon,43.92194,4.786136,Lyon Part Dieu,Avignon TGV,4560,4560,Train,204.5,252.00000000000003,408.0,660.0,5220.0,-1.8386560000000003,-0.07327300000000037,-86.9309983740459,-3.464321245443134
242,Lyon,45.760596,4.859409,Toulon,43.128353,5.929404,Lyon Part Dieu,Toulon Train Station,9360,9360,Train,304.8,252.00000000000003,36.0,288.0,9648.0,-2.6322430000000026,1.0699949999999996,-148.96306886149085,60.55282087043282
243,Lyon,45.760596,4.859409,Bourg-en-Bresse,46.200111,5.215011,Lyon Part Dieu,Bourg-en-Bresse Train Station,3630,3630,Train,56.1,252.00000000000003,120.0,372.0,4002.0,0.4395150000000001,0.3556019999999993,51.0,41.95356115486663
244,Lyon,45.760596,4.859409,Chalon-sur-Saône,46.781622,4.843479,Lyon Part Dieu,Chalon-sur-Saône Train Station,3540,3540,Train,113.5,252.00000000000003,132.0,384.0,3924.0,1.021025999999999,-0.01593,65.0,-1.0202435809621668
245,Lyon,45.760596,4.859409,Besançon,47.247049,6.021943,Lyon Part Dieu,Besançon-Viotte,8400,8400,Train,187.7,252.00000000000003,120.0,372.0,8772.0,1.4864529999999974,1.162534,115.0,90.06692850439758
