,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
Perpignan,Marseille,43.302666,5.380407,Perpignan,42.696096,2.879355,Marseille - Saint-Charles,Perpignan,4058,12870,Train,214.3,0,0,0,4058,-0.6065700000000049,-2.501052,-15.940728647584235,-65.72793126184533
Béziers,Marseille,43.302666,5.380407,Béziers,43.336295,3.218895,Marseille - Saint-Charles,Béziers,6428,8220,Train,174.9,0,0,0,6428,0.03362899999999769,-2.161512,1.0,-107.12036965061561
Arles,Marseille,43.363646,5.321342,Arles,43.684863,4.632105,L'Estaque,Arles,-3382,3360,Train,73.8,0,0,0,-3382,0.3212169999999972,-0.6892369999999994,-23.0,51.09064388880578
Dax,Marseille,43.302666,5.380407,Dax,43.720472,-1.050301,Marseille - Saint-Charles,Dax,26168,28410,Train,520.5,0,0,0,26168,0.4178059999999988,-6.430708,28.0,-435.2157430980082
Montluçon,Marseille,43.302666,5.380407,Montluçon,46.338101,2.596159,Marseille - Saint-Charles,Montluçon - ville,17348,20280,Train,402.6,0,0,0,17348,3.0354349999999997,-2.784248,213.0,-195.4418636367573
Albi,Marseille,43.302666,5.380407,Albi,43.92238,2.137958,Marseille - Saint-Charles,Albi-Ville,18848,20640,Train,270.0,0,0,0,18848,0.6197139999999948,-3.242449,58.0,-308.5484152040605
Marmande,Marseille,43.302666,5.380407,Marmande,44.503071,0.168091,Marseille - Saint-Charles,Marmande,17978,19770,Train,438.3,0,0,0,17978,1.2004049999999964,-5.2123159999999995,67.0,-291.9899664898402
Vierzon,Marseille,43.302666,5.380407,Vierzon,47.226474,2.059869,Marseille - Saint-Charles,Vierzon,18848,21780,Train,507.7,0,0,0,18848,3.923808000000001,-3.320538,239.0,-202.92597709875415
Vendôme,Marseille,43.302666,5.380407,Vendôme,47.801959,1.068219,Marseille - Saint-Charles,Vendôme,21008,23250,Train,602.3,0,0,0,21008,4.499292999999994,-4.312188,252.0,-242.26983626144548
Orléans,Marseille,43.302666,5.380407,Orléans,47.907891,1.904242,Marseille - Saint-Charles,Orléans,19388,23250,Train,578.9,0,0,0,19388,4.605224999999997,-3.476165,257.0,-194.676429153992
Saumur,Marseille,43.302666,5.380407,Saumur,47.268994,-0.07140299999999999,Marseille - Saint-Charles,Saumur,24038,24450,Train,613.2,0,0,0,24038,3.966327999999997,-5.45181,235.0,-323.96775468746176
Sables-d'Olonne,Marseille,43.302666,5.380407,Sables-d'Olonne,46.500032,-1.781116,Marseille - Saint-Charles,Les Sables-d'Olonne,17708,31500,Train,666.4,0,0,0,17708,3.1973659999999953,-7.161523,120.0,-269.4938196719961
Guingamp,Marseille,43.302666,5.380407,Guingamp,48.555659,-3.143343,Marseille - Saint-Charles,Guingamp,8288,28620,Train,879.8,0,0,0,8288,5.2529929999999965,-8.52375,72.0,-117.59552531329645
Saint-Brieuc,Marseille,43.302666,5.380407,Saint-Brieuc,48.50758,-2.765,Marseille - Saint-Charles,Saint-Brieuc,5588,25920,Train,854.8,0,0,0,5588,5.204913999999995,-8.145407,50.0,-78.47915990081161
Redon,Marseille,43.302666,5.380407,Redon,47.652004,-2.08777,Marseille - Saint-Charles,Redon,28328,28740,Train,756.3,0,0,0,28328,4.349337999999996,-7.468177,237.0,-407.98749101711445
Saint-Lô,Marseille,43.302666,5.380407,Saint-Lô,49.116975,-1.099525,Marseille - Saint-Charles,Saint-Lô,23288,26220,Train,815.8,0,0,0,23288,5.814308999999994,-6.479932,259.0,-288.8877216873144
Havre,Marseille,43.302666,5.380407,Havre,49.492624,0.124644,Marseille - Saint-Charles,Le Havre,20168,22410,Train,797.1,0,0,0,20168,6.189957999999997,-5.255763,256.0,-217.55917985041347
Boulogne-sur-Mer,Marseille,43.302666,5.380407,Boulogne-sur-Mer,50.715613,1.609714,Marseille - Saint-Charles,Boulogne-Ville,21068,23310,Train,872.2,0,0,0,21068,7.4129469999999955,-3.7706929999999996,312.0,-159.19690935339727
Calais,Marseille,43.302666,5.380407,Calais,50.941002,1.849858,Marseille - Saint-Charles,Les Fontinettes,22088,25950,Train,890.1,0,0,0,22088,7.638335999999995,-3.5305489999999997,334.0,-154.45547234755335
Beauvais,Marseille,43.302666,5.380407,Beauvais,49.426522,2.088609,Marseille - Saint-Charles,Beauvais - Gare SNCF,18428,18840,Train,726.1,0,0,0,18428,6.123855999999996,-3.291798,270.0,-145.41788683516626
Mulhouse,Marseille,43.302666,5.380407,Mulhouse,47.742691,7.34316,Marseille - Saint-Charles,Mulhouse-Ville,15608,18540,Train,516.8,0,0,0,15608,4.440024999999999,1.9627530000000002,237.0,105.1760072004657
Châlons-en-Champagne,Marseille,43.302666,5.380407,Châlons-en-Champagne,48.955252,4.348656,Marseille - Saint-Charles,Châlons-en-Champagne,21788,25650,Train,633.5,0,0,0,21788,5.6525859999999994,-1.0317509999999999,357.0,-65.20444720968895
Charleville-Mézières,Marseille,43.302666,5.380407,Charleville-Mézières,49.76763,4.724344,Marseille - Saint-Charles,Charleville-Mézières,22808,26670,Train,720.6,0,0,0,22808,6.464963999999995,-0.6560629999999996,378.0,-38.378731076314274
Épinal,Marseille,43.302666,5.380407,Épinal,48.178005,6.441787,Marseille - Saint-Charles,Épinal,27788,30720,Train,548.3,0,0,0,27788,4.875338999999997,1.0613799999999998,452.0,98.5182935067859
Montpellier,Marseille,43.302666,5.380407,Montpellier,43.604738,3.880674,Marseille - Saint-Charles,Montpellier Saint-Roch,3968,5760,Train,125.6,0,0,0,3968,0.30207199999999546,-1.499733,13.0,-64.83133965576332
Annecy,Marseille,43.302666,5.380407,Annecy,45.901707,6.120128,Marseille - Saint-Charles,Annecy - Gare Routière,11708,14640,Train,294.9,0,0,0,11708,2.5990409999999997,0.7397210000000003,187.0,53.41614125068871
Saint-Étienne,Marseille,43.302666,5.380407,Saint-Étienne,45.443366,4.399722,Marseille - Saint-Charles,Saint-Étienne Châteaucreux,7508,10440,Train,250.5,0,0,0,7508,2.1406999999999954,-0.9806850000000003,113.0,-52.116787281251156
Beaune,Marseille,43.302666,5.380407,Beaune,47.023014,4.848423,Marseille - Saint-Charles,Beaune,8948,11880,Train,415.8,0,0,0,8948,3.7203480000000013,-0.5319839999999996,147.0,-21.110304579855793
Dole,Marseille,43.302666,5.380407,Dole,47.09615,5.48806,Marseille - Saint-Charles,Dole-Ville,12188,15120,Train,421.9,0,0,0,12188,3.7934839999999994,0.107653,203.0,5.762278835766876
Bayonne,Marseille,43.302666,5.380407,Bayonne,43.496793,-1.470368,Marseille - Saint-Charles,Bayonne,22328,31140,Train,553.8,0,0,0,22328,0.1941269999999946,-6.850775,10.0,-371.98401964915206
Pau,Marseille,43.302666,5.380407,Pau,43.291711,-0.369675,Marseille - Saint-Charles,Pau,23108,24900,Train,465.3,0,0,0,23108,-0.010955000000002713,-5.750082,-0.7337509290276515,-385.13263436642006
Montauban,Marseille,43.302666,5.380407,Montauban,44.01444,1.341499,Marseille - Saint-Charles,Montauban Ville Bourbon,14048,15840,Train,334.4,0,0,0,14048,0.7117739999999984,-4.038908,40.0,-230.5801718835955
Brive-la-Gaillarde,Marseille,43.302666,5.380407,Brive-la-Gaillarde,45.152601,1.528634,Marseille - Saint-Charles,Brive-la-Gaillarde,14708,25290,Train,369.4,0,0,0,14708,1.849934999999995,-3.8517729999999997,106.0,-220.9690870333819
Niort,Marseille,43.302666,5.380407,Niort,46.319491,-0.454639,Marseille - Saint-Charles,Niort,25208,28140,Train,569.3,0,0,0,25208,3.016824999999997,-5.835046,192.0,-373.20382133826286
Lannion,Marseille,43.302666,5.380407,Lannion,48.727638,-3.460353,Marseille - Saint-Charles,Lannion,33308,33720,Train,910.0,0,0,0,33308,5.424971999999997,-8.84076,290.0,-473.1537074054192
Argentan,Marseille,43.302666,5.380407,Argentan,48.738545,-0.025291,Marseille - Saint-Charles,Argentan,11318,25110,Train,734.1,0,0,0,11318,5.435879,-5.405698,133.0,-133.0120769522894
Bernay,Marseille,43.302666,5.380407,Bernay,49.087116,0.595688,Marseille - Saint-Charles,Bernay,17438,20370,Train,740.8,0,0,0,17438,5.78445,-4.784719,223.0,-185.2430006407513
Dieppe,Marseille,43.302666,5.380407,Dieppe,49.921788,1.081133,Marseille - Saint-Charles,Dieppe,21188,25050,Train,805.6,0,0,0,21188,6.619121999999997,-4.2992740000000005,296.0,-192.3543001427639
Mans,Marseille,43.302666,5.380407,Mans,47.995615,0.192614,Marseille - Saint-Charles,Le Mans,-2722,17610,Train,659.2,0,0,0,-2722,4.692948999999999,-5.187793,-30.0,33.64348580526599
Chartres,Marseille,43.302666,5.380407,Chartres,48.448202,1.481313,Marseille - Saint-Charles,Chartres,2108,22440,Train,646.7,0,0,0,2108,5.145536,-3.899094,28.0,-21.218854894282167
Lens,Marseille,43.302666,5.380407,Lens,50.426866,2.828301,Marseille - Saint-Charles,Lens,15998,19860,Train,815.5,0,0,0,15998,7.124199999999995,-2.5521059999999998,251.0,-89.920590367595
Laon,Marseille,43.302666,5.380407,Laon,49.570578,3.62434,Marseille - Saint-Charles,Laon,18068,21930,Train,709.8,0,0,0,18068,6.2679119999999955,-1.7560669999999998,289.0,-81.23967156303706
Saint-Quentin,Marseille,43.302666,5.380407,Saint-Quentin,49.840025,3.296958,Marseille - Saint-Charles,Saint-Quentin,19328,19740,Train,744.1,0,0,0,19328,6.537358999999995,-2.083449,306.0,-97.8161031781011
Saint-Omer,Marseille,43.302666,5.380407,Saint-Omer,50.753618,2.266719,Marseille - Saint-Charles,Saint-Omer,20048,23910,Train,861.3,0,0,0,20048,7.450952000000001,-3.113688,308.0,-128.83444960779937
Metz,Marseille,43.302666,5.380407,Metz,49.109466,6.177052,Marseille - Saint-Charles,Metz Ville,20888,24750,Train,648.6,0,0,0,20888,5.8067999999999955,0.7966449999999998,344.0,47.317796119249934
185,Marseille,43.302666,5.380407,Marseille,43.302666,5.380407,Marseille,Marseille,0,0,Origine,0.0,0,0,0,0,0.0,0.0,0.0,0.0
186,Marseille,43.436667,5.215,Málaga,36.675,-4.499167,Marseille,Málaga,51309,51309,Voiture,1116.1,0,0,0,51309,-6.761667000000003,-9.714167,-488.53983433494915,-701.8620610689685
187,Marseille,43.436667,5.215,Rome,41.798889,12.595,Marseille,Rome,34594,34594,Voiture,630.5,0,0,0,34594,-1.6377779999999973,7.380000000000001,-124.91336897143665,562.8727843512394
189,Marseille,43.436667,5.215,Santiago de Compostela,42.896389,-8.415278,Marseille,Santiago de Compostela,49426,49426,Voiture,1105.8,0,0,0,49426,-0.5402780000000007,-13.630278,-32.626904762947696,-823.1202865904233
190,Marseille,43.436667,5.215,Brussels,50.459167,4.453889,Marseille,Brussels,37333,37333,Voiture,783.0,0,0,0,37333,7.022500000000001,-0.7611109999999996,618.0,-67.04432335699268
191,Marseille,43.436667,5.215,Malta,35.8575,14.4775,Marseille,Malta,80986,80986,Voiture,1155.8,0,0,0,80986,-7.579166999999998,9.2625,-854.7744616588236,1044.6198706420976
192,Marseille,43.436667,5.215,Palermo,38.181944,13.099444,Marseille,Palermo,68387,68387,Voiture,883.4,0,0,0,68387,-5.2547229999999985,7.884444,-632.1070334129366,948.4443817400897
193,Marseille,43.436667,5.215,Venice,45.505278,12.351944,Marseille,Venice,29171,29171,Voiture,611.0,0,0,0,29171,2.068610999999997,7.136944,135.0,466.9639364187077
194,Marseille,43.436667,5.215,Faro,37.014444,-7.965833,Marseille,Faro,57924,57924,Voiture,1325.0,0,0,0,57924,-6.4222230000000025,-13.180833,-422.8578009516096,-867.8642982485045
196,Marseille,43.436667,5.215,Agadir,,,Marseille,Agadir,91266,91266,Voiture,,0,0,0,91266,,,,
197,Marseille,43.436667,5.215,London,51.885,0.235,Marseille,London,46560,46560,Voiture,1010.1,0,0,0,46560,8.448332999999998,-4.9799999999999995,668.0,-394.058386775355
