,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
287,Paris,48.844945,2.373481,Paris,48.844945,2.373481,Paris,Paris,0,0,Origine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Paris,49.454444,2.112778,Liverpool,53.333611,-2.849722,Beauvais–Tillé,Liverpool John Lennon,4800,4800,Avion,551.6,8280.0,0.0,8280.0,13080.0,3.8791669999999954,-4.9625,134.0,-171.75213418747924
289,Paris,49.454444,2.112778,Palermo,38.181944,13.099444,Beauvais–Tillé,Falcone–Borsellino,8700,8700,Avion,1528.9,8280.0,0.0,8280.0,16980.0,-11.2725,10.986666,-202.6641750818463,197.52526961985077
290,Paris,49.454444,2.112778,Edinburgh,55.95,-3.3725,Beauvais–Tillé,Edinburgh Airport,6000,6000,Avion,810.7,8280.0,0.0,8280.0,14280.0,6.4955560000000006,-5.485278,181.0,-153.55535219201002
291,Paris,49.454444,2.112778,Porto,41.235556,-8.678056,Beauvais–Tillé,Porto Airport,7800,7800,Avion,1241.1,8280.0,0.0,8280.0,16080.0,-8.218888,-10.790834,-162.38582963738165,-213.20141259611592
292,Paris,49.454444,2.112778,Thessaloniki,40.519722,22.970833,Beauvais–Tillé,Thessaloniki International Airport Macedonia,10200,10200,Avion,1908.2,8280.0,0.0,8280.0,18480.0,-8.934722,20.858055,-121.27617624048418,283.1185071246438
293,Paris,49.454444,2.112778,Paphos,,,Beauvais–Tillé,Paphos Airport,14700,14700,Avion,,8280.0,,,,,,,
294,Paris,49.454444,2.112778,Lisbon,38.774167,-9.134167,Beauvais–Tillé,Lisbon Portela,9300,9300,Avion,1485.4,8280.0,0.0,8280.0,17580.0,-10.680277000000004,-11.246945,-201.76068514219014,-212.46558763939635
295,Paris,49.454444,2.112778,Rome,41.800278,12.238889,Beauvais–Tillé,Rome Airport,7200,7200,Avion,1157.5,8280.0,0.0,8280.0,15480.0,-7.654166000000004,10.126111,-155.57397617203776,205.8172440249413
296,Paris,49.454444,2.112778,London,51.885,0.235,Beauvais–Tillé,London Airport,12900,12900,Avion,300.9,8280.0,0.0,8280.0,21180.0,2.4305559999999957,-1.8777780000000002,279.0,-215.81369995817252
297,Paris,49.454444,2.112778,Vilnius,54.634167,25.285833,Beauvais–Tillé,Vilnius Airport,9600,9600,Avion,1676.9,8280.0,0.0,8280.0,17880.0,5.179722999999996,23.173055,65.0,290.8233780257299
298,Paris,49.454444,2.112778,Oslo,59.186667,10.258611,Beauvais–Tillé,"Oslo Airport, Gardermoen",52800,52800,Avion,1202.2,8280.0,0.0,8280.0,61080.0,9.732222999999998,8.145833,780.0,653.3936757702552
299,Paris,49.454444,2.112778,Berlin,52.366667,13.503333,Beauvais–Tillé,Berlin Brandenburg,6900,6900,Avion,860.6,8280.0,0.0,8280.0,15180.0,2.9122229999999973,11.390554999999999,62.0,245.11555505164674
300,Paris,49.454444,2.112778,Venice,45.650833,12.197778,Beauvais–Tillé,Venice Marco Polo,85500,85500,Avion,866.0,8280.0,0.0,8280.0,93780.0,-3.8036110000000036,10.084999999999999,-551.568336791771,1462.4436296311592
301,Paris,49.454444,2.112778,Bucharest,44.572222,26.102222,Beauvais–Tillé,Bucharest Airport,10800,10800,Avion,1888.9,8280.0,0.0,8280.0,19080.0,-4.882222000000006,23.989444000000002,-63.41789322346892,311.61221224319286
302,Paris,49.454444,2.112778,Sofia,42.695278,23.406111,Beauvais–Tillé,Sofia Airport,9900,9900,Avion,1798.2,8280.0,0.0,8280.0,18180.0,-6.7591660000000005,21.293333,-91.67381020891335,288.79908677449123
303,Paris,49.454444,2.112778,Milan,45.668889,9.700278,Beauvais–Tillé,Milan Airport,77400,77400,Avion,707.5,8280.0,0.0,8280.0,85680.0,-3.7855550000000022,7.5875,-637.5166947482194,1277.7935920630161
304,Paris,49.454444,2.112778,Catania,37.466667,15.063889,Beauvais–Tillé,Catania–Fontanarossa,55800,55800,Avion,1688.9,8280.0,0.0,8280.0,64080.0,-11.987777000000001,12.951111,-725.4776808681195,783.7768397715098
305,Paris,49.454444,2.112778,Marseille,43.436667,5.215,Beauvais–Tillé,Marseille Provence,5400,5400,Avion,709.9,8280.0,2400.0,10680.0,16080.0,-6.017777000000002,3.102222,-238.21044213950213,122.79977709956523
306,Paris,49.454444,2.112778,Vienna,48.110278,16.578056,Beauvais–Tillé,Vienna International Airport,53100,53100,Avion,1068.6,8280.0,0.0,8280.0,61380.0,-1.3441660000000013,14.465278,-94.65308671493274,1018.6116989193357
307,Paris,49.454444,2.112778,Dublin,53.421389,-6.27,Beauvais–Tillé,Dublin Airport,6000,6000,Avion,728.7,8280.0,0.0,8280.0,14280.0,3.9669449999999955,-8.382778,101.0,-215.1277613488769
308,Paris,49.454444,2.112778,Kraków,50.077778,19.784722,Beauvais–Tillé,John Paul II International Airport Kraków–Balice,7500,7500,Avion,1268.2,8280.0,0.0,8280.0,15780.0,0.6233339999999998,17.671944,9.0,262.8365466909189
309,Paris,49.454444,2.112778,Cagliari,39.251389,9.057778,Beauvais–Tillé,Cagliari Elmas,55200,55200,Avion,1260.5,8280.0,0.0,8280.0,63480.0,-10.203054999999999,6.945,-874.6122161288189,595.3297165422168
310,Paris,49.454444,2.112778,Malta,35.8575,14.4775,Beauvais–Tillé,Malta International,61800,61800,Avion,1813.7,8280.0,0.0,8280.0,70080.0,-13.596944,12.364721999999999,-864.1277720416567,785.8162594311233
311,Paris,49.454444,2.112778,Tirana,41.415,19.720833,Beauvais–Tillé,Tirana International Airport Nënë Tereza,9300,9300,Avion,1633.0,8280.0,0.0,8280.0,17580.0,-8.039444000000003,17.608055,-121.69298558745403,266.53295717192594
312,Paris,49.454444,2.112778,Bologna,44.530833,11.296944,Beauvais–Tillé,Bologna Guglielmo Marconi,5700,5700,Avion,884.9,8280.0,0.0,8280.0,13980.0,-4.923611000000001,9.184166,-110.08877450156774,205.3520434004565
313,Paris,49.454444,2.112778,Helsinki,60.317222,24.963333,Beauvais–Tillé,Helsinki Airport,48000,48000,Avion,1879.1,8280.0,0.0,8280.0,56280.0,10.862777999999999,22.850555,402.0,847.1483303764454
314,Paris,49.454444,2.112778,Marrakesh,,,Beauvais–Tillé,Marrakesh Airport,11640,11640,Avion,,8280.0,,,,,,,
315,Paris,49.454444,2.112778,Fes,,,Beauvais–Tillé,Fes Airport,10200,10200,Avion,,8280.0,,,,,,,
316,Paris,49.454444,2.112778,Tallinn,59.413333,24.8325,Beauvais–Tillé,Tallinn Airport,39600,39600,Avion,1824.7,8280.0,0.0,8280.0,47880.0,9.958889,22.719722,320.0,730.8688034440497
317,Paris,49.454444,2.112778,Madrid,40.493611,-3.566667,Beauvais–Tillé,Adolfo Suárez Madrid–Barajas,26400,26400,Avion,1091.2,8280.0,1728.0000000000002,10008.0,36408.0,-8.960833000000001,-5.679444999999999,-512.5262864104521,-324.84310942101143
318,Paris,49.454444,2.112778,Barcelona,41.296944,2.078333,Beauvais–Tillé,Barcelona–El Prat,6300,6300,Avion,907.1,8280.0,1512.0,9792.0,16092.0,-8.157499999999999,-0.03444499999999984,-268.19760910125683,-1.1324629660426557
319,Paris,49.454444,2.112778,Budapest,47.436944,19.255556,Beauvais–Tillé,Budapest Ferenc Liszt International,7800,7800,Avion,1281.3,8280.0,0.0,8280.0,16080.0,-2.0175000000000054,17.142778,-31.324213962311966,266.1630959010721
320,Paris,49.454444,2.112778,Warsaw,52.165833,20.967222,Beauvais–Tillé,Warsaw Chopin,57900,57900,Avion,1354.5,8280.0,0.0,8280.0,66180.0,2.711388999999997,18.854444,157.0,1091.768733301232
321,Paris,49.454444,2.112778,Istanbul,41.275278,28.751944,Beauvais–Tillé,Istanbul Airport,19200,19200,Avion,2255.8,8280.0,0.0,8280.0,27480.0,-8.179166000000002,26.639166000000003,-134.42854195093088,437.82755407688404
322,Paris,49.454444,2.112778,"Palma, Majorca",39.551667,2.738889,Beauvais–Tillé,Palma de Mallorca,25200,25200,Avion,1102.2,8280.0,0.0,8280.0,33480.0,-9.902777,0.6261109999999999,-556.8880297139036,35.209691298935766
323,Paris,49.454444,2.112778,Manchester,53.353611,-2.275,Beauvais–Tillé,Manchester Airport,42300,42300,Avion,529.5,8280.0,0.0,8280.0,50580.0,3.8991669999999985,-4.387778,559.0,-630.1430739365112
324,Paris,49.454444,2.112778,Seville,37.418056,-5.893056,Beauvais–Tillé,Seville Airport,21600,21600,Avion,1484.3,8280.0,0.0,8280.0,29880.0,-12.036388000000002,-8.005834,-414.6537659147592,-275.8011138714056
325,Paris,49.454444,2.112778,Tbilisi,41.669167,44.954722,Beauvais–Tillé,Tbilisi International,23400,23400,Avion,3396.3,8280.0,0.0,8280.0,31680.0,-7.785277000000001,42.841944,-94.40259543697833,519.492203959561
326,Paris,49.454444,2.112778,Valencia,39.489444,-0.481667,Beauvais–Tillé,Valencia Airport,23400,23400,Avion,1126.8,8280.0,0.0,8280.0,31680.0,-9.965000000000003,-2.594445,-510.9659866268787,-133.03293017302278
327,Paris,49.454444,2.112778,Tel Aviv,,,Beauvais–Tillé,Tel Aviv Airport,22500,22500,Avion,,8280.0,,,,,,,
