,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
145,Toulouse,43.611206,1.453616,Toulouse,43.611206,1.453616,Toulouse,Toulouse,0,0,Origine,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Toulouse,43.635,1.367778,London,51.885,0.235,Toulouse,London,43104,43104,Voiture,921.2,0,0.0,0.0,43104.0,8.25,-1.132778,711.0,-97.72403828133587
147,Toulouse,43.635,1.367778,Lisbon,38.774167,-9.134167,Toulouse,Lisbon,43710,43710,Voiture,1030.3,0,0.0,0.0,43710.0,-4.8608329999999995,-10.501945,-305.99891996680174,-661.1179251685367
148,Toulouse,43.635,1.367778,Turin,45.2025,7.649444,Toulouse,Turin,28718,28718,Voiture,528.3,0,0.0,0.0,28718.0,1.5675000000000026,6.2816659999999995,115.0,464.393226556061
149,Toulouse,43.635,1.367778,Dublin,53.421389,-6.27,Toulouse,Dublin,69622,69622,Voiture,1223.3,0,0.0,0.0,69622.0,9.786389,-7.637777999999999,914.0,-713.917760682192
151,Toulouse,43.635,1.367778,Brussels,50.459167,4.453889,Toulouse,Brussels,35225,35225,Voiture,793.8,0,0.0,0.0,35225.0,6.824167000000003,3.0861110000000003,534.0,241.91102296016277
152,Toulouse,43.635,1.367778,Malta,35.8575,14.4775,Toulouse,Malta,92917,92917,Voiture,1412.8,0,0.0,0.0,92917.0,-7.777499999999996,13.109722,-790.1482374417873,1331.8706180201646
153,Toulouse,43.635,1.367778,Edinburgh,55.95,-3.3725,Toulouse,Edinburgh,66040,66040,Voiture,1410.2,0,0.0,0.0,66040.0,12.315000000000005,-4.740278,1027.0,-395.3880134680669
155,Toulouse,43.635,1.367778,Las Palmas,,,Toulouse,Las Palmas,157127,157127,Voiture,,0,0.0,0.0,157127.0,,,,
157,Toulouse,43.635,1.367778,Casablanca,,,Toulouse,Casablanca,68818,68818,Voiture,,0,0.0,0.0,68818.0,,,,
159,Toulouse,43.635,1.367778,Faro,37.014444,-7.965833,Toulouse,Faro,49473,49473,Voiture,1079.5,0,0.0,0.0,49473.0,-6.6205560000000006,-9.333611,-477.0478376269774,-672.5385216591129
161,Toulouse,43.635,1.367778,Rabat,,,Toulouse,Rabat,65611,65611,Voiture,,0,0.0,0.0,65611.0,,,,
162,Toulouse,43.635,1.367778,Porto,41.235556,-8.678056,Toulouse,Porto,37824,37824,Voiture,865.9,0,0.0,0.0,37824.0,-2.3994439999999955,-10.045834,-146.45130066849745,-613.1526535313252
163,Toulouse,43.635,1.367778,Valencia,39.489444,-0.481667,Toulouse,Valencia,25569,25569,Voiture,485.9,0,0.0,0.0,25569.0,-4.145555999999999,-1.849445,-389.1773655226518,-173.6225810914244
164,Toulouse,43.635,1.367778,Barcelona,41.296944,2.078333,Toulouse,Barcelona,14373,14373,Voiture,266.4,0,0.0,0.0,14373.0,-2.3380559999999946,0.7105550000000003,-229.1992597963202,69.65559423922042
165,Toulouse,43.635,1.367778,"Palma, Majorca",39.551667,2.738889,Toulouse,"Palma, Majorca",45989,45989,Voiture,468.1,0,0.0,0.0,45989.0,-4.083332999999996,1.371111,-726.6143337816162,243.98424174703524
166,Toulouse,43.635,1.367778,Madrid,40.493611,-3.566667,Toulouse,Madrid,28624,28624,Voiture,536.4,0,0.0,0.0,28624.0,-3.1413889999999967,-4.934445,-256.20014295119546,-402.43520123894655
167,Toulouse,43.635,1.367778,Fuerteventura,,,Toulouse,Fuerteventura,171614,171614,Voiture,,0,0.0,0.0,171614.0,,,,
168,Toulouse,43.635,1.367778,Geneva,46.238056,6.108889,Toulouse,Geneva,23545,23545,Voiture,472.1,0,0.0,0.0,23545.0,2.6030560000000023,4.741111,188.0,343.98118345571
169,Toulouse,43.635,1.367778,Bilbao,43.301111,-2.910556,Toulouse,Bilbao,16363,16363,Voiture,347.2,0,0.0,0.0,16363.0,-0.3338889999999992,-4.278334,-21.218788091887987,-271.88994705521816
170,Toulouse,43.635,1.367778,Tunis,36.851111,10.227222,Toulouse,Tunis,108882,108882,Voiture,1063.9,0,0.0,0.0,108882.0,-6.783888999999995,8.859444,-1103.265124602554,1440.813018693165
171,Toulouse,43.635,1.367778,Amsterdam,52.308056,4.764167,Toulouse,Amsterdam,42088,42088,Voiture,996.7,0,0.0,0.0,42088.0,8.673056000000003,3.3963889999999997,653.0,255.78278013821625
172,Toulouse,43.611206,1.453616,Nîmes,43.832313,4.365872,Toulouse,Nîmes,10620,10620,Voiture,235.3,0,0.0,0.0,10620.0,0.2211069999999964,2.912256,13.0,176.49205516338836
173,Toulouse,43.611206,1.453616,Avignon,43.941923,4.805269,Toulouse,Avignon,12132,12132,Voiture,271.6,0,0.0,0.0,12132.0,0.3307169999999999,3.3516529999999998,19.0,201.22278789516307
174,Toulouse,43.611206,1.453616,Toulon,43.128353,5.929404,Toulouse,Toulon,16583,16583,Voiture,365.7,0,0.0,0.0,16583.0,-0.48285300000000575,4.475788,-29.644534680930246,274.78891627573984
175,Toulouse,43.611206,1.453616,Bourg-en-Bresse,46.200111,5.215011,Toulouse,Bourg-en-Bresse,22104,22104,Voiture,413.0,0,0.0,0.0,22104.0,2.588904999999997,3.7613949999999994,208.0,303.46604464147157
176,Toulouse,43.611206,1.453616,Chalon-sur-Saône,46.781622,4.843479,Toulouse,Chalon-sur-Saône,22564,22564,Voiture,441.3,0,0.0,0.0,22564.0,3.170415999999996,3.389863,256.0,274.6608958076192
177,Toulouse,43.611206,1.453616,Dijon,47.323411,5.027256,Toulouse,Dijon,25266,25266,Voiture,497.9,0,0.0,0.0,25266.0,3.7122049999999973,3.57364,303.0,292.04688901032034
178,Toulouse,43.611206,1.453616,Paris,48.841172,2.320514,Toulouse,Paris,23921,23921,Voiture,585.3,0,0.0,0.0,23921.0,5.2299659999999975,0.8668980000000002,393.0,65.19459274067638
179,Toulouse,43.579477,1.45012,Tarbes,43.239863,0.069442,Toulouse,Tarbes,6679,6679,Voiture,119.2,0,0.0,0.0,6679.0,-0.3396139999999974,-1.380678,-26.588703004563893,-108.09459352952335
180,Toulouse,43.611206,1.453616,Cahors,44.449275,1.433325,Toulouse,Cahors,5193,5193,Voiture,93.2,0,0.0,0.0,5193.0,0.8380689999999973,-0.02029100000000006,86.0,-2.0949009404303953
181,Toulouse,43.579477,1.45012,Muret,43.464824,1.324449,Toulouse,Muret,1733,1733,Voiture,19.3,0,0.0,0.0,1733.0,-0.11465299999999701,-0.1256710000000001,-19.466803598380203,-21.337537395550964
182,Toulouse,43.611206,1.453616,Angoulême,45.653572,0.164608,Toulouse,Angoulême,12947,12947,Voiture,248.9,0,0.0,0.0,12947.0,2.042365999999994,-1.289008,182.0,-115.16882845822697
183,Toulouse,43.611206,1.453616,Angers,47.464649,-0.55677,Toulouse,Angers,21048,21048,Voiture,456.2,0,0.0,0.0,21048.0,3.8534429999999986,-2.010386,311.0,-162.26143026501774
184,Toulouse,43.611206,1.453616,Saint-Nazaire,47.286489,-2.211079,Toulouse,Saint-Nazaire,22136,22136,Voiture,498.6,0,0.0,0.0,22136.0,3.6752830000000003,-3.664695,261.0,-260.4986753079224
185,Toulouse,43.611206,1.453616,Quimper,47.994455,-4.092103,Toulouse,Quimper,27613,27613,Voiture,649.5,0,0.0,0.0,27613.0,4.383248999999999,-5.545719,285.0,-361.0561773570649
186,Toulouse,43.611206,1.453616,Brest,48.38762,-4.480306,Toulouse,Brest,30010,30010,Voiture,701.1,0,0.0,0.0,30010.0,4.7764139999999955,-5.933922,313.0,-389.62507992132885
187,Toulouse,43.611206,1.453616,Lisieux,49.138299,0.231143,Toulouse,Lisieux,27915,27915,Voiture,621.7,0,0.0,0.0,27915.0,5.527093000000001,-1.222473,454.0,-100.47493548414582
188,Toulouse,43.611206,1.453616,Cambrai,50.176582,3.241197,Toulouse,Cambrai,29957,29957,Voiture,742.5,0,0.0,0.0,29957.0,6.5653760000000005,1.787581,481.0,131.166866205508
189,Toulouse,43.611206,1.453616,Arras,50.286971,2.781314,Toulouse,Arras,30346,30346,Voiture,749.1,0,0.0,0.0,30346.0,6.675764999999998,1.327698,496.0,98.65629932131672
190,Toulouse,43.611206,1.453616,Aix-en-Provence,43.455237,5.317534,Toulouse,Aix-en-Provence,14094,14094,Voiture,311.9,0,0.0,0.0,14094.0,-0.15596900000000602,3.863918,-9.474141724084417,234.7088635705775
191,Toulouse,43.611206,1.453616,Lille,50.636577,3.06987,Toulouse,Lille,31477,31477,Voiture,790.6,0,0.0,0.0,31477.0,7.025371,1.6162539999999999,511.0,117.62055263395882
192,Toulouse,43.611206,1.453616,Compiègne,49.421977,2.823693,Toulouse,Compiègne,27001,27001,Voiture,654.5,0,0.0,0.0,27001.0,5.8107709999999955,1.370077,438.0,103.27411972421785
193,Toulouse,43.611206,1.453616,Chaumont,48.10976,5.1346,Toulouse,Chaumont,28278,28278,Voiture,575.6,0,0.0,0.0,28278.0,4.498553999999999,3.6809839999999996,364.0,298.461916385284
194,Toulouse,43.611206,1.453616,Gap,44.563714,6.085669,Toulouse,Gap,19219,19219,Voiture,384.8,0,0.0,0.0,19219.0,0.9525079999999946,4.632053,64.0,313.7517910508701
195,Toulouse,43.611206,1.453616,Marseille,43.302666,5.380407,Toulouse,Marseille,14503,14503,Voiture,318.8,0,0.0,0.0,14503.0,-0.3085400000000007,3.9267909999999997,-18.934062157518657,240.9739575860007
196,Toulouse,43.611206,1.453616,Grenoble,45.191491,5.714548,Toulouse,Grenoble,18196,18196,Voiture,381.3,0,0.0,0.0,18196.0,1.5802849999999964,4.2609319999999995,105.0,284.3409223525069
197,Toulouse,43.611206,1.453616,Clermont-Ferrand,45.778945,3.100543,Toulouse,Clermont-Ferrand,14184,14184,Voiture,273.9,0,0.0,0.0,14184.0,2.1677389999999974,1.646927,188.0,143.0111537550128
198,Toulouse,43.611206,1.453616,Roanne,46.039383,4.063207,Toulouse,Roanne,17741,17741,Voiture,339.5,0,0.0,0.0,17741.0,2.428176999999998,2.609591,201.0,216.46850446080023
199,Toulouse,43.611206,1.453616,Mâcon,46.302572,4.824887,Toulouse,Mâcon,20827,20827,Voiture,399.8,0,0.0,0.0,20827.0,2.691365999999995,3.371271,216.0,271.27424125128437
200,Toulouse,43.611206,1.453616,Lyon,45.760596,4.859409,Toulouse,Lyon,19454,19454,Voiture,360.0,0,0.0,0.0,19454.0,2.149389999999997,3.405793,173.0,274.19517716757076
201,Toulouse,43.611206,1.453616,Périgueux,45.187408,0.707879,Toulouse,Périgueux,10188,10188,Voiture,185.0,0,0.0,0.0,10188.0,1.576201999999995,-0.745737,153.0,-72.6186669610397
202,Toulouse,43.611206,1.453616,Limoges,45.836207,1.267419,Toulouse,Limoges,10501,10501,Voiture,247.8,0,0.0,0.0,10501.0,2.225000999999999,-0.18619699999999995,174.0,-14.595080407134967
203,Toulouse,43.611206,1.453616,Agen,44.207967,0.6208669999999999,Toulouse,Agen,4793,4793,Voiture,94.1,0,0.0,0.0,4793.0,0.5967609999999937,-0.8327490000000001,46.0,-64.93210870982742
204,Toulouse,43.611206,1.453616,Arcachon,44.658967,-1.165323,Toulouse,Arcachon,11347,11347,Voiture,239.3,0,0.0,0.0,11347.0,1.0477609999999942,-2.618939,70.0,-175.58613029024488
205,Toulouse,43.611206,1.453616,Bourges,47.094129,2.394236,Toulouse,Bourges,17824,17824,Voiture,394.2,0,0.0,0.0,17824.0,3.4829229999999995,0.9406199999999998,286.0,77.4528482495177
206,Toulouse,43.611206,1.453616,Châtellerault,46.818594,0.549279,Toulouse,Châtellerault,17497,17497,Voiture,363.6,0,0.0,0.0,17497.0,3.2073879999999946,-0.9043370000000001,280.0,-79.13710682999992
207,Toulouse,43.611206,1.453616,Tours,47.389866,0.692831,Toulouse,Tours,19651,19651,Voiture,424.3,0,0.0,0.0,19651.0,3.778659999999995,-0.760785,321.0,-64.64409081667411
208,Toulouse,43.611206,1.453616,Morlaix,48.57797,-3.832514,Toulouse,Morlaix,30122,30122,Voiture,686.0,0,0.0,0.0,30122.0,4.966763999999998,-5.28613,343.0,-365.871295570511
209,Toulouse,43.611206,1.453616,Alençon,48.433884,0.09853099999999999,Toulouse,Alençon,24431,24431,Voiture,546.3,0,0.0,0.0,24431.0,4.822677999999996,-1.355085,392.0,-110.14567386686154
210,Toulouse,43.611206,1.453616,Bayeux,49.269729,-0.6981000000000001,Toulouse,Bayeux,29034,29034,Voiture,650.4,0,0.0,0.0,29034.0,5.658522999999995,-2.151716,452.0,-171.99305215560602
211,Toulouse,43.611206,1.453616,Rouen,49.448663,1.094103,Toulouse,Rouen,27905,27905,Voiture,649.7,0,0.0,0.0,27905.0,5.837457000000001,-0.35951299999999997,464.0,-28.589041932695395
212,Toulouse,43.611206,1.453616,Dreux,48.731492,1.370164,Toulouse,Dreux,24033,24033,Voiture,569.4,0,0.0,0.0,24033.0,5.120286,-0.08345200000000008,400.0,-6.52742050662531
213,Toulouse,43.611206,1.453616,Abbeville,50.102175,1.824538,Toulouse,Abbeville,30041,30041,Voiture,722.3,0,0.0,0.0,30041.0,6.490969,0.370922,499.0,28.564607407649746
214,Toulouse,43.611206,1.453616,Saverne,48.744483,7.362055,Toulouse,Saverne,35746,35746,Voiture,729.4,0,0.0,0.0,35746.0,5.133277,5.9084389999999996,390.0,449.7382314126883
215,Toulouse,43.611206,1.453616,Bar-le-Duc,48.773598,5.167053,Toulouse,Bar-le-Duc,31530,31530,Voiture,641.1,0,0.0,0.0,31530.0,5.162391999999997,3.713437,426.0,306.86242628960974
216,Toulouse,43.611206,1.453616,Sedan,49.695024,4.930373,Toulouse,Sedan,31824,31824,Voiture,726.5,0,0.0,0.0,31824.0,6.083817999999994,3.476757,460.0,263.1686160884539
217,Toulouse,43.611206,1.453616,Narbonne,43.190618,3.005667,Toulouse,Narbonne,5981,5981,Voiture,133.8,0,0.0,0.0,5981.0,-0.4205880000000022,1.5520509999999998,-26.072676185619716,96.21321375447481
218,Toulouse,43.611206,1.453616,Alès,44.127825,4.084948,Toulouse,Alès,12046,12046,Voiture,218.6,0,0.0,0.0,12046.0,0.5166189999999986,2.6313319999999996,38.0,197.0055910306252
219,Toulouse,43.611206,1.453616,Lunéville,48.58799,6.496997,Toulouse,Lunéville,32578,32578,Voiture,676.0,0,0.0,0.0,32578.0,4.976783999999995,5.043381,381.0,386.47862510052204
220,Toulouse,43.611206,1.453616,Valence,44.928081,4.893288,Toulouse,Valence,15285,15285,Voiture,310.5,0,0.0,0.0,15285.0,1.316874999999996,3.439672,91.0,237.91031345676458
221,Toulouse,43.611206,1.453616,Nancy,48.689857,6.174579,Toulouse,Nancy,32195,32195,Voiture,671.4,0,0.0,0.0,32195.0,5.078651000000001,4.720962999999999,393.0,365.3294633098092
222,Toulouse,43.611206,1.453616,Château-Thierry,49.03814,3.409302,Toulouse,Château-Thierry,26714,26714,Voiture,621.8,0,0.0,0.0,26714.0,5.426933999999996,1.9556859999999998,418.0,150.94514524817865
223,Toulouse,43.611206,1.453616,Nice,43.670728,7.216199,Toulouse,Nice,20083,20083,Voiture,463.7,0,0.0,0.0,20083.0,0.05952199999999408,5.762582999999999,3.0,334.69881276096527
224,Toulouse,43.611206,1.453616,Chambéry,45.571302,5.919547,Toulouse,Chambéry,20662,20662,Voiture,415.3,0,0.0,0.0,20662.0,1.960096,4.465930999999999,138.0,315.33174744320723
225,Toulouse,43.611206,1.453616,Riom,45.889965,3.120498,Toulouse,Riom,13764,13764,Voiture,285.5,0,0.0,0.0,13764.0,2.2787589999999938,1.666882,185.0,135.43639250292483
226,Toulouse,43.611206,1.453616,Vichy,46.126991,3.430476,Toulouse,Vichy,14939,14939,Voiture,320.2,0,0.0,0.0,14939.0,2.515784999999994,1.97686,195.0,153.83553468197923
227,Toulouse,43.611206,1.453616,Montargis,48.006862,2.742783,Toulouse,Montargis,21911,21911,Voiture,498.9,0,0.0,0.0,21911.0,4.395655999999995,1.2891670000000002,350.0,102.77290837421046
228,Toulouse,43.611206,1.453616,Carcassonne,43.218029,2.351824,Toulouse,Carcassonne,4154,4154,Voiture,84.7,0,0.0,0.0,4154.0,-0.39317700000000144,0.8982080000000001,-27.76252868484783,63.42315385935523
229,Toulouse,43.611206,1.453616,Châteauroux,46.809812,1.699483,Toulouse,Châteauroux,14604,14604,Voiture,356.2,0,0.0,0.0,14604.0,3.198605999999998,0.24586700000000006,242.0,18.654380214036266
230,Toulouse,43.611206,1.453616,Libourne,44.915904,-0.236359,Toulouse,Libourne,9729,9729,Voiture,197.9,0,0.0,0.0,9729.0,1.3046979999999948,-1.689975,99.0,-128.35064332069115
231,Toulouse,43.611206,1.453616,Blois,47.585449,1.323759,Toulouse,Blois,19553,19553,Voiture,442.0,0,0.0,0.0,19553.0,3.974242999999994,-0.1298570000000001,325.0,-10.642444340592238
232,Toulouse,43.611206,1.453616,Saintes,45.74874,-0.6179,Toulouse,Saintes,12359,12359,Voiture,288.6,0,0.0,0.0,12359.0,2.137533999999995,-2.071516,147.0,-143.35005787385418
233,Toulouse,43.611206,1.453616,Rochelle,46.152705,-1.145853,Toulouse,Rochelle,14964,14964,Voiture,349.0,0,0.0,0.0,14964.0,2.5414989999999946,-2.599469,174.0,-178.32965954258043
234,Toulouse,43.611206,1.453616,Cholet,47.065702,-0.869897,Toulouse,Cholet,19092,19092,Voiture,424.8,0,0.0,0.0,19092.0,3.454495999999999,-2.323513,264.0,-177.58968772843676
235,Toulouse,43.611206,1.453616,Saint-Malo,48.646859,-2.004158,Toulouse,Saint-Malo,26653,26653,Voiture,619.9,0,0.0,0.0,26653.0,5.035652999999996,-3.4577739999999997,366.0,-251.452256379311
236,Toulouse,43.611206,1.453616,Vannes,47.665169,-2.75245,Toulouse,Vannes,23599,23599,Voiture,556.7,0,0.0,0.0,23599.0,4.053962999999996,-4.206066,272.0,-283.19021244213656
237,Toulouse,43.611206,1.453616,Lorient,47.755597,-3.366221,Toulouse,Lorient,25614,25614,Voiture,593.5,0,0.0,0.0,25614.0,4.144390999999999,-4.819837,278.0,-323.6914646039648
238,Toulouse,43.611206,1.453616,Rennes,48.103517,-1.672744,Toulouse,Rennes,23981,23981,Voiture,555.0,0,0.0,0.0,23981.0,4.492310999999994,-3.12636,328.0,-228.30765388383648
239,Toulouse,43.611206,1.453616,Évreux,49.018748,1.149629,Toulouse,Évreux,26242,26242,Voiture,601.7,0,0.0,0.0,26242.0,5.407541999999999,-0.303987,436.0,-24.54797380000165
240,Toulouse,43.611206,1.453616,Amiens,49.890584,2.308277,Toulouse,Amiens,29130,29130,Voiture,701.3,0,0.0,0.0,29130.0,6.279377999999994,0.8546609999999999,481.0,65.47577999101617
241,Toulouse,43.611206,1.453616,Clermont,49.385278,2.417663,Toulouse,Clermont,14184,14184,Voiture,646.3,0,0.0,0.0,14184.0,5.774071999999997,0.9640470000000001,233.0,38.93077958475825
242,Toulouse,43.611206,1.453616,Strasbourg,48.584532,7.734793,Toulouse,Strasbourg,35194,35194,Voiture,734.6,0,0.0,0.0,35194.0,4.973326,6.281177,364.0,459.86922212952436
243,Toulouse,43.611206,1.453616,Vitry-le-François,48.717913,4.587515,Toulouse,Vitry-le-François,28720,28720,Voiture,616.9,0,0.0,0.0,28720.0,5.106707,3.1338989999999995,407.0,250.3642363343512
244,Toulouse,43.611206,1.453616,Reims,49.233406,4.022648,Toulouse,Reims,28218,28218,Voiture,655.3,0,0.0,0.0,28218.0,5.622199999999999,2.569032,427.0,195.46154433054622
245,Toulouse,43.611206,1.453616,Saint-Dié-des-Vosges,48.282043,6.948516,Toulouse,Saint-Dié-des-Vosges,34191,34191,Voiture,670.6,0,0.0,0.0,34191.0,4.670836999999999,5.4948999999999995,369.0,434.18441355086367
246,Toulouse,43.611206,1.453616,Troyes,48.296069,4.065281,Toulouse,Troyes,25958,25958,Voiture,558.6,0,0.0,0.0,25958.0,4.684863,2.6116649999999995,377.0,210.657565423489
247,Toulouse,43.611206,1.453616,Perpignan,42.696096,2.879355,Toulouse,Perpignan,7601,7601,Voiture,154.0,0,0.0,0.0,7601.0,-0.9151100000000056,1.4257389999999999,-68.42895065683916,106.61212715469246
