,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aachen,2023-01-04 09:09:00,2023-01-04 18:35:00,Brest,48.38762,-4.480306,33960,3,Aix la Chapelle,50.7675,6.0912,62203,96163,Brest,Aix la Chapelle
Allaman,2023-01-04 05:23:00,2023-01-04 15:18:00,Brest,48.38762,-4.480306,35700,3,Allaman,46.47575,6.3997,48643,84343,Brest,Allaman
Amsterdam,2023-01-04 05:23:00,2023-01-04 13:44:00,Brest,48.38762,-4.480306,30060,3,Amsterdam Centraal,52.37908,4.900632,48643,78703,Brest,Amsterdam Centraal
Antwerpen,2023-01-04 05:23:00,2023-01-04 12:27:00,Brest,48.38762,-4.480306,25440,3,Antwerpen Centraal,51.216,4.421,48643,74083,Brest,Antwerpen Centraal
Appenweier,2023-01-04 05:23:00,2023-01-04 13:47:00,Brest,48.38762,-4.480306,30240,3,Appenweier,48.5419,7.9735,48643,78883,Brest,Appenweier
Baden-Baden,2023-01-04 05:23:00,2023-01-04 14:22:00,Brest,48.38762,-4.480306,32340,3,Baden-Baden,48.7903,8.190899999999999,48643,80983,Brest,Baden-Baden
Basel,2023-01-04 05:23:00,2023-01-04 14:40:00,Brest,48.38762,-4.480306,33420,3,Basel SBB,47.5474,7.58956,48643,82063,Brest,Basel SBB
Saint-Gilles - Sint-Gillis,2023-01-04 05:23:00,2023-01-04 11:47:00,Brest,48.38762,-4.480306,23040,3,Bruxelles Midi,50.836,4.336,48643,71683,Brest,Bruxelles Midi
Pregny-Chambésy,2023-01-04 05:23:00,2023-01-04 14:50:00,Brest,48.38762,-4.480306,34020,3,Chambésy,46.242378,6.147342,48643,82663,Brest,Chambésy
Chêne-Bourg,2023-01-04 05:23:00,2023-01-04 15:04:00,Brest,48.38762,-4.480306,34860,3,Chêne-Bourg,46.196607,6.197253,48643,83503,Brest,Chêne-Bourg
Coppet,2023-01-04 05:23:00,2023-01-04 14:59:00,Brest,48.38762,-4.480306,34560,3,Coppet,46.317378,6.187829,48643,83203,Brest,Coppet
Kortrijk,2023-01-04 09:09:00,2023-01-04 19:45:30,Brest,48.38762,-4.480306,38190,3,Courtrai,50.824,3.26,62203,100393,Brest,Courtrai
Genthod,2023-01-04 05:23:00,2023-01-04 14:55:00,Brest,48.38762,-4.480306,34320,3,Genthod-Bellevue,46.256728,6.153962,48643,82963,Brest,Genthod-Bellevue
Genève,2023-01-04 05:23:00,2023-01-04 14:35:00,Brest,48.38762,-4.480306,33120,2,Genève,46.21022,6.14244,48643,81763,Brest,Genève
Gland,2023-01-04 05:23:00,2023-01-04 15:09:00,Brest,48.38762,-4.480306,35160,3,Gland,46.419995,6.269138,48643,83803,Brest,Gland
Karlsruhe,2023-01-04 05:23:00,2023-01-04 14:46:00,Brest,48.38762,-4.480306,33780,3,Karlsruhe Hbf,48.9935,8.401899999999999,48643,82423,Brest,Karlsruhe Hbf
Kehl,2023-01-04 05:23:00,2023-01-04 13:31:00,Brest,48.38762,-4.480306,29280,3,Kehl,48.5767,7.8063,48643,77923,Brest,Kehl
Lancy,2023-01-04 05:23:00,2023-01-04 14:47:00,Brest,48.38762,-4.480306,33840,3,Lancy-Pont-Rouge,46.188897,6.125333,48643,82483,Brest,Lancy-Pont-Rouge
Lausanne,2023-01-04 05:23:00,2023-01-04 15:37:00,Brest,48.38762,-4.480306,36840,3,Lausanne,46.51679,6.62909,48643,85483,Brest,Lausanne
Willstätt,2023-01-04 05:23:00,2023-01-04 13:40:30,Brest,48.38762,-4.480306,29850,3,Legelshurst,48.5585,7.9138,48643,78493,Brest,Legelshurst
Bellevue,2023-01-04 05:23:00,2023-01-04 14:52:00,Brest,48.38762,-4.480306,34140,3,Les Tuileries,46.249945,6.147342,48643,82783,Brest,Les Tuileries
Liège,2023-01-04 09:09:00,2023-01-04 18:10:00,Brest,48.38762,-4.480306,32460,3,Liege-Guil,50.622,5.568,62203,94663,Brest,Liege-Guil
Camden Town,2023-01-04 05:23:00,2023-01-04 13:30:00,Brest,48.38762,-4.480306,29220,3,Londres Saint Pancras,51.5338,-0.12807,48643,77863,Brest,Londres Saint Pancras
Mannheim,2023-01-04 05:23:00,2023-01-04 15:18:00,Brest,48.38762,-4.480306,35700,3,Mannheim Hbf,49.4794,8.4696,48643,84343,Brest,Mannheim Hbf
Mies,2023-01-04 05:23:00,2023-01-04 15:06:00,Brest,48.38762,-4.480306,34980,3,Mies,46.299879,6.169566,48643,83623,Brest,Mies
Morges,2023-01-04 05:23:00,2023-01-04 15:24:00,Brest,48.38762,-4.480306,36060,3,Morges,46.5111,6.49396,48643,84703,Brest,Morges
Mouscron,2023-01-04 09:09:00,2023-01-04 19:29:30,Brest,48.38762,-4.480306,37230,3,Mouscron,50.738,3.225,62203,99433,Brest,Mouscron
Nyon,2023-01-04 05:23:00,2023-01-04 15:05:00,Brest,48.38762,-4.480306,34920,3,Nyon,46.38442,6.23596,48643,83563,Brest,Nyon
Offenburg,2023-01-04 05:23:00,2023-01-04 13:53:00,Brest,48.38762,-4.480306,30600,3,Offenburg,48.4765,7.9468,48643,79243,Brest,Offenburg
Oulx,2023-01-04 05:23:00,2023-01-04 19:23:00,Brest,48.38762,-4.480306,50400,3,OULX CESANA CLAVIERE SESTRIERE,45.038795,6.831431,48643,99043,Brest,OULX CESANA CLAVIERE SESTRIERE
Versoix,2023-01-04 05:23:00,2023-01-04 15:01:00,Brest,48.38762,-4.480306,34680,3,Versoix,46.279717,6.165748,48643,83323,Brest,Versoix
Portbou,2023-01-04 06:31:00,2023-01-04 17:47:00,Brest,48.38762,-4.480306,40560,3,Portbou,42.424701,3.158034,52723,93283,Brest,Portbou
Renens,2023-01-04 05:23:00,2023-01-04 15:31:00,Brest,48.38762,-4.480306,36480,3,Renens VD,46.53704,6.57893,48643,85123,Brest,Renens VD
Rolle,2023-01-04 05:23:00,2023-01-04 15:14:00,Brest,48.38762,-4.480306,35460,3,Rolle,46.46275,6.3364,48643,84103,Brest,Rolle
Rotterdam,2023-01-04 05:23:00,2023-01-04 13:02:00,Brest,48.38762,-4.480306,27540,3,Rotterdam Centraal,51.924845,4.469313,48643,76183,Brest,Rotterdam Centraal
Schiphol,2023-01-04 05:23:00,2023-01-04 13:25:00,Brest,48.38762,-4.480306,28920,3,Schiphol Airport,52.309636,4.761985,48643,77563,Brest,Schiphol Airport
Tannay,2023-01-04 05:23:00,2023-01-04 15:08:00,Brest,48.38762,-4.480306,35100,3,Tannay,46.307636,6.181127,48643,83743,Brest,Tannay
Vallorbe,2023-01-04 05:23:00,2023-01-04 14:57:30,Brest,48.38762,-4.480306,34470,3,Vallorbe,46.71242,6.37057,48643,83113,Brest,Vallorbe
Zürich,2023-01-04 05:23:00,2023-01-04 16:26:00,Brest,48.38762,-4.480306,39780,3,Zuerich HB,47.37817,8.540190000000001,48643,88423,Brest,Zuerich HB
Nîmes,2023-01-04 05:23:00,2023-01-04 13:34:00,Brest,48.38762,-4.480306,29460,2,Nîmes Centre,43.832313,4.365872,48643,78103,Brest,Nîmes
Avignon,2023-01-04 05:23:00,2023-01-04 12:45:00,Brest,48.38762,-4.480306,26520,1,Avignon TGV,43.92194,4.786136,48643,75163,Brest,Avignon
Toulon,2023-01-04 05:23:00,2023-01-04 14:11:00,Brest,48.38762,-4.480306,31680,2,Toulon,43.128353,5.929404,48643,80323,Brest,Toulon
Bourg-en-Bresse,2023-01-04 05:23:00,2023-01-04 13:12:30,Brest,48.38762,-4.480306,28170,2,Bourg-en-Bresse,46.200111,5.215011,48643,76813,Brest,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-04 05:23:00,2023-01-04 12:41:00,Brest,48.38762,-4.480306,26280,2,Chalon-sur-Saône,46.781622,4.843479,48643,74923,Brest,Chalon-sur-Saône
Besançon,2023-01-04 05:23:00,2023-01-04 13:14:00,Brest,48.38762,-4.480306,28260,5,Besançon Viotte,47.247049,6.021943,48643,76903,Brest,Besançon
Dijon,2023-01-04 05:23:00,2023-01-04 11:57:00,Brest,48.38762,-4.480306,23640,4,Dijon,47.323411,5.027256,48643,72283,Brest,Dijon
Paris,2023-01-03 17:22:00,2023-01-03 21:08:00,Brest,48.38762,-4.480306,13560,0,Paris Montparnasse Hall 1 &2,48.841172,2.320514,5383,18943,Brest,Paris
Tarbes,2023-01-04 06:31:00,2023-01-04 15:19:00,Brest,48.38762,-4.480306,31680,1,Tarbes,43.239863,0.069442,52723,84403,Brest,Tarbes
Cahors,2023-01-03 19:22:00,2023-01-04 12:11:00,Brest,48.38762,-4.480306,60540,3,Cahors,44.449275,1.433325,12583,73123,Brest,Cahors
Muret,2023-01-04 05:23:00,2023-01-04 14:00:30,Brest,48.38762,-4.480306,31050,2,Muret,43.464824,1.324449,48643,79693,Brest,Muret
Angoulême,2023-01-04 05:23:00,2023-01-04 12:23:00,Brest,48.38762,-4.480306,25200,1,Angoulême,45.653572,0.164608,48643,73843,Brest,Angoulême
Angers,2023-01-03 17:22:00,2023-01-03 21:40:00,Brest,48.38762,-4.480306,15480,2,Angers Saint-Laud,47.464649,-0.55677,5383,20863,Brest,Angers
Saint-Nazaire,2023-01-03 17:22:00,2023-01-03 21:39:00,Brest,48.38762,-4.480306,15420,2,Saint-Nazaire,47.286489,-2.211079,5383,20803,Brest,Saint-Nazaire
Quimper,2023-01-03 16:25:00,2023-01-03 17:45:00,Brest,48.38762,-4.480306,4800,0,Quimper,47.994455,-4.092103,1963,6763,Brest,Quimper
Lisieux,2023-01-04 05:23:00,2023-01-04 10:52:00,Brest,48.38762,-4.480306,19740,3,Lisieux,49.138299,0.231143,48643,68383,Brest,Lisieux
Aix-en-Provence,2023-01-04 05:23:00,2023-01-04 13:09:00,Brest,48.38762,-4.480306,27960,1,Aix-en-Provence TGV,43.455237,5.317534,48643,76603,Brest,Aix-en-Provence
Chaumont,2023-01-04 05:23:00,2023-01-04 15:48:00,Brest,48.38762,-4.480306,37500,4,Chaumont,48.10976,5.1346,48643,86143,Brest,Chaumont
Gap,2023-01-04 05:23:00,2023-01-04 16:20:00,Brest,48.38762,-4.480306,39420,3,Gap,44.563714,6.085669,48643,88063,Brest,Gap
Marseille,2023-01-04 05:23:00,2023-01-04 13:24:00,Brest,48.38762,-4.480306,28860,1,Marseille Saint-Charles,43.302666,5.380407,48643,77503,Brest,Marseille
Grenoble,2023-01-04 05:23:00,2023-01-04 13:40:30,Brest,48.38762,-4.480306,29850,2,Grenoble,45.191491,5.714548,48643,78493,Brest,Grenoble
Clermont-Ferrand,2023-01-04 05:23:00,2023-01-04 14:00:00,Brest,48.38762,-4.480306,31020,2,Clermont-Ferrand,45.778945,3.100543,48643,79663,Brest,Clermont-Ferrand
Roanne,2023-01-03 19:22:00,2023-01-04 09:12:00,Brest,48.38762,-4.480306,49800,6,Roanne-Arsenal,46.066628,4.089331,12583,62383,Brest,Roanne
Mâcon,2023-01-04 05:23:00,2023-01-04 12:09:00,Brest,48.38762,-4.480306,24360,2,Mâcon,46.302572,4.824887,48643,73003,Brest,Mâcon
Lyon,2023-01-04 05:23:00,2023-01-04 11:26:00,Brest,48.38762,-4.480306,21780,1,Lyon Part Dieu,45.760596,4.859409,48643,70423,Brest,Lyon
Montbard,2023-01-04 05:23:00,2023-01-04 14:02:00,Brest,48.38762,-4.480306,31140,3,Montbard,47.618741,4.336212,48643,79783,Brest,Montbard
Moulins,2023-01-04 05:46:00,2023-01-04 16:15:00,Brest,48.38762,-4.480306,37740,1,Moulins sur Allier,46.561394,3.338782,50023,87763,Brest,Moulins
Toulouse,2023-01-04 05:23:00,2023-01-04 13:31:00,Brest,48.38762,-4.480306,29280,1,Toulouse Matabiau,43.611206,1.453616,48643,77923,Brest,Toulouse
Périgueux,2023-01-04 05:23:00,2023-01-04 12:53:00,Brest,48.38762,-4.480306,27000,2,Périgueux,45.187408,0.707879,48643,75643,Brest,Périgueux
Limoges,2023-01-03 19:22:00,2023-01-04 09:54:00,Brest,48.38762,-4.480306,52320,3,Limoges Bénédictins,45.836207,1.267419,12583,64903,Brest,Limoges
Agen,2023-01-04 05:23:00,2023-01-04 12:22:00,Brest,48.38762,-4.480306,25140,1,Agen,44.207967,0.6208669999999999,48643,73783,Brest,Agen
Arcachon,2023-01-04 05:23:00,2023-01-04 12:55:00,Brest,48.38762,-4.480306,27120,2,Arcachon,44.658967,-1.165323,48643,75763,Brest,Arcachon
Bourges,2023-01-04 05:46:00,2023-01-04 14:56:30,Brest,48.38762,-4.480306,33030,1,Bourges,47.094129,2.394236,50023,83053,Brest,Bourges
Châtellerault,2023-01-03 17:22:00,2023-01-04 07:08:00,Brest,48.38762,-4.480306,49560,5,Châtellerault,46.818594,0.549279,5383,54943,Brest,Châtellerault
Tours,2023-01-03 17:22:00,2023-01-04 02:36:00,Brest,48.38762,-4.480306,33240,4,Tours,47.389866,0.692831,5383,38623,Brest,Tours
Laval,2023-01-03 17:22:00,2023-01-03 20:13:00,Brest,48.38762,-4.480306,10260,1,Laval,48.076255,-0.760929,5383,15643,Brest,Laval
Morlaix,2023-01-03 16:01:00,2023-01-03 16:44:00,Brest,48.38762,-4.480306,2580,0,Morlaix,48.57797,-3.832514,523,3103,Brest,Morlaix
Bayeux,2023-01-04 07:22:00,2023-01-04 14:28:30,Brest,48.38762,-4.480306,25590,1,Bayeux,49.269729,-0.6981000000000001,55783,81373,Brest,Bayeux
Rouen,2023-01-03 19:22:00,2023-01-04 07:13:30,Brest,48.38762,-4.480306,42690,4,Rouen Rive Droite,49.448663,1.094103,12583,55273,Brest,Rouen
Dreux,2023-01-03 17:22:00,2023-01-04 00:17:00,Brest,48.38762,-4.480306,24900,2,Dreux,48.731492,1.370164,5383,30283,Brest,Dreux
Douai,2023-01-04 05:23:00,2023-01-04 11:59:00,Brest,48.38762,-4.480306,23760,3,Douai,50.371673,3.089958,48643,72403,Brest,Douai
Abbeville,2023-01-04 05:23:00,2023-01-04 12:05:00,Brest,48.38762,-4.480306,24120,3,Abbeville,50.102175,1.824538,48643,72763,Brest,Abbeville
Saverne,2023-01-04 05:23:00,2023-01-04 14:52:00,Brest,48.38762,-4.480306,34140,3,Saverne,48.744483,7.362055,48643,82783,Brest,Saverne
Belfort,2023-01-04 05:23:00,2023-01-04 13:43:30,Brest,48.38762,-4.480306,30030,5,Belfort-Ville,47.633278,6.854053,48643,78673,Brest,Belfort
Bar-le-Duc,2023-01-04 06:31:00,2023-01-04 14:06:00,Brest,48.38762,-4.480306,27300,4,Bar-le-Duc,48.773598,5.167053,52723,80023,Brest,Bar-le-Duc
