,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Nîmes,2023-01-26 12:57:30,2023-01-26 18:05:30,Clermont la Pardieu,45.766988,3.134193,18480,0,Nîmes Centre,43.832313,4.365872,6753,18480,Clermont-Ferrand,Nîmes
Avignon,2023-01-26 12:02:00,2023-01-26 17:12:00,Clermont-Ferrand,45.778945,3.100543,18600,1,Avignon TGV,43.92194,4.786136,3423,18600,Clermont-Ferrand,Avignon
Toulon,2023-01-26 15:02:00,2023-01-26 20:40:00,Clermont-Ferrand,45.778945,3.100543,20280,1,Toulon,43.128353,5.929404,14223,20280,Clermont-Ferrand,Toulon
Bourg-en-Bresse,2023-01-26 12:02:00,2023-01-26 16:12:30,Clermont-Ferrand,45.778945,3.100543,15030,1,Bourg-en-Bresse,46.200111,5.215011,3423,15030,Clermont-Ferrand,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-26 12:02:00,2023-01-26 16:37:00,Clermont-Ferrand,45.778945,3.100543,16500,1,Chalon-sur-Saône,46.781622,4.843479,3423,16500,Clermont-Ferrand,Chalon-sur-Saône
Besançon,2023-01-26 12:02:00,2023-01-26 18:46:00,Clermont-Ferrand,45.778945,3.100543,24240,2,Besançon-Viotte,47.247049,6.021943,3423,24240,Clermont-Ferrand,Besançon
Dijon,2023-01-26 17:41:00,2023-01-26 22:04:00,Clermont-Ferrand,45.778945,3.100543,15780,0,Dijon Ville,47.323411,5.027256,23763,15780,Clermont-Ferrand,Dijon
Paris,2023-01-26 13:23:00,2023-01-26 16:57:00,Clermont-Ferrand,45.778945,3.100543,12840,0,Paris-Bercy Bourgogne - Pays d'Auvergne,48.839215,2.382791,8283,12840,Clermont-Ferrand,Paris
Tarbes,2023-01-26 12:41:00,2023-01-26 23:19:00,Clermont-Ferrand,45.778945,3.100543,38280,3,Tarbes,43.239863,0.069442,5763,38280,Clermont-Ferrand,Tarbes
Cahors,2023-01-26 16:42:00,2023-01-27 07:26:00,Clermont-Ferrand,45.778945,3.100543,53040,4,Cahors,44.449275,1.433325,20223,53040,Clermont-Ferrand,Cahors
Muret,2023-01-26 13:03:00,2023-01-26 22:00:30,Clermont-Ferrand,45.778945,3.100543,32250,2,Muret,43.464824,1.324449,7083,32250,Clermont-Ferrand,Muret
Angoulême,2023-01-26 12:41:00,2023-01-26 19:22:00,Clermont-Ferrand,45.778945,3.100543,24060,2,Angoulême,45.653572,0.164608,5763,24060,Clermont-Ferrand,Angoulême
Angers,2023-01-26 12:41:00,2023-01-26 17:52:00,Clermont-Ferrand,45.778945,3.100543,18660,1,Angers-Saint-Laud,47.464649,-0.55677,5763,18660,Clermont-Ferrand,Angers
Saint-Nazaire,2023-01-26 12:41:00,2023-01-26 19:45:00,Clermont-Ferrand,45.778945,3.100543,25440,2,Saint-Nazaire,47.286489,-2.211079,5763,25440,Clermont-Ferrand,Saint-Nazaire
Brest,2023-01-26 12:41:00,2023-01-26 22:51:00,Clermont-Ferrand,45.778945,3.100543,36600,3,Brest,48.38762,-4.480306,5763,36600,Clermont-Ferrand,Brest
Lisieux,2023-01-26 12:02:00,2023-01-26 19:59:30,Clermont-Ferrand,45.778945,3.100543,28650,3,Lisieux,49.138299,0.231143,3423,28650,Clermont-Ferrand,Lisieux
Cambrai,2023-01-26 12:02:00,2023-01-26 19:28:30,Clermont-Ferrand,45.778945,3.100543,26790,4,Cambrai,50.176582,3.241197,3423,26790,Clermont-Ferrand,Cambrai
