,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2023-01-06 09:35:00,2023-01-06 12:42:00,Dijon,47.323411,5.027256,11220,1,Aigle,46.31685,6.96367,48773,59993,Dijon,Aigle
Aachen,2023-01-06 07:26:00,2023-01-06 12:35:00,Dijon,47.323411,5.027256,18540,2,Aix la Chapelle,50.7675,6.0912,41033,59573,Dijon,Aix la Chapelle
Allaman,2023-01-06 09:35:00,2023-01-06 12:40:00,Dijon,47.323411,5.027256,11100,1,Allaman,46.47575,6.3997,48773,59873,Dijon,Allaman
Appenweier,2023-01-05 20:35:00,2023-01-06 00:28:00,Dijon,47.323411,5.027256,13980,2,Appenweier,48.5419,7.9735,1973,15953,Dijon,Appenweier
Baden-Baden,2023-01-06 10:44:00,2023-01-06 14:22:00,Dijon,47.323411,5.027256,13080,1,Baden-Baden,48.7903,8.190899999999999,52913,65993,Dijon,Baden-Baden
Basel,2023-01-05 20:35:00,2023-01-05 22:38:00,Dijon,47.323411,5.027256,7380,1,Basel SBB,47.5474,7.58956,1973,9353,Dijon,Basel SBB
Barcelona,2023-01-06 09:21:00,2023-01-06 16:34:00,Dijon,47.323411,5.027256,25980,1,Barcelone-Sants,41.378961,2.139834,47933,73913,Dijon,Barcelone-Sants
Käerjeng,2023-01-06 10:08:00,2023-01-06 16:20:00,Dijon,47.323411,5.027256,22320,1,Bascharage secteur Sanem,49.5585,5.9249,50753,73073,Dijon,Bascharage secteur Sanem
Haute-Sorne,2023-01-05 20:35:00,2023-01-05 22:55:00,Dijon,47.323411,5.027256,8400,1,Glovelier,47.3352,7.20931,1973,10373,Dijon,Glovelier
Berg (Pfalz),2023-01-06 10:08:00,2023-01-06 16:35:00,Dijon,47.323411,5.027256,23220,2,Berg (Pfalz),48.9807,8.2128,50753,73973,Dijon,Berg (Pfalz)
Bettembourg,2023-01-06 10:08:00,2023-01-06 14:10:00,Dijon,47.323411,5.027256,14520,1,Bettembourg,49.516111,6.101111,50753,65273,Dijon,Bettembourg
Bex,2023-01-06 09:35:00,2023-01-06 12:48:00,Dijon,47.323411,5.027256,11580,1,Bex,46.25146,7.00067,48773,60353,Dijon,Bex
Boncourt,2023-01-05 20:35:00,2023-01-05 22:23:00,Dijon,47.323411,5.027256,6480,1,Boncourt,47.49263,7.01656,1973,8453,Dijon,Boncourt
Basse-Allaine,2023-01-05 20:35:00,2023-01-05 22:25:00,Dijon,47.323411,5.027256,6600,1,Buix,47.47933,7.02998,1973,8573,Dijon,Buix
Pregny-Chambésy,2023-01-05 21:06:30,2023-01-06 07:50:00,Dijon,47.323411,5.027256,38610,3,Chambésy,46.242378,6.147342,3863,42473,Dijon,Chambésy
Charleroi,2023-01-06 09:30:00,2023-01-06 16:38:00,Dijon,47.323411,5.027256,25680,3,Charleroi-Central,50.404393,4.438504,48473,74153,Dijon,Charleroi Sud
