,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aachen,2023-01-03 15:30:30,2023-01-03 18:35:00,Lille Europe,50.6394,3.075721,11070,1,Aix la Chapelle,50.7675,6.0912,2315,13385,Lille,Aix la Chapelle
Amsterdam,2023-01-03 20:37:30,2023-01-03 23:11:00,Lille Europe,50.6394,3.075721,9210,0,Amsterdam Centraal,52.37908,4.900632,20735,29945,Lille,Amsterdam Centraal
Antwerpen,2023-01-03 15:30:30,2023-01-03 17:27:00,Lille Europe,50.6394,3.075721,6990,1,Antwerpen Centraal,51.216,4.421,2315,9305,Lille,Antwerpen Centraal
Appenweier,2023-01-03 15:52:00,2023-01-03 20:45:00,Lille Europe,50.6394,3.075721,17580,2,Appenweier,48.5419,7.9735,3605,21185,Lille,Appenweier
Baden-Baden,2023-01-04 09:32:00,2023-01-04 14:22:00,Lille Flandres,50.636577,3.06987,17400,2,Baden-Baden,48.7903,8.190899999999999,67205,84605,Lille,Baden-Baden
Basel,2023-01-04 08:02:00,2023-01-04 12:45:00,Lille Europe,50.6394,3.075721,16980,2,Bâle Saint-Jean,47.57031,7.572745,61805,78785,Lille,Bâle Saint-Jean
Haute-Sorne,2023-01-04 05:50:00,2023-01-04 13:55:00,Lille Europe,50.6394,3.075721,29100,2,Glovelier,47.3352,7.20931,53885,82985,Lille,Glovelier
Berg (Pfalz),2023-01-04 08:02:00,2023-01-04 12:35:00,Lille Europe,50.6394,3.075721,16380,2,Berg (Pfalz),48.9807,8.2128,61805,78185,Lille,Berg (Pfalz)
Bettembourg,2023-01-04 08:02:00,2023-01-04 12:10:00,Lille Europe,50.6394,3.075721,14880,2,Bettembourg,49.516111,6.101111,61805,76685,Lille,Bettembourg
Biel/Bienne,2023-01-04 05:50:00,2023-01-04 14:41:00,Lille Europe,50.6394,3.075721,31860,2,Biel/Bienne,47.13289,7.24292,53885,85745,Lille,Biel/Bienne
Boncourt,2023-01-04 05:50:00,2023-01-04 13:23:00,Lille Europe,50.6394,3.075721,27180,2,Boncourt,47.49263,7.01656,53885,81065,Lille,Boncourt
Saint-Gilles - Sint-Gillis,2023-01-03 15:30:30,2023-01-03 16:06:00,Lille Europe,50.6394,3.075721,2130,0,Bruxelles Midi,50.836,4.336,2315,4445,Lille,Bruxelles Midi
Basse-Allaine,2023-01-04 05:50:00,2023-01-04 13:25:00,Lille Europe,50.6394,3.075721,27300,2,Buix,47.47933,7.02998,53885,81185,Lille,Buix
Pregny-Chambésy,2023-01-03 17:03:00,2023-01-03 23:05:00,Lille Europe,50.6394,3.075721,21720,2,Chambésy,46.242378,6.147342,7865,29585,Lille,Chambésy
Charleroi,2023-01-03 16:05:00,2023-01-03 18:48:00,Lille Flandres,50.636577,3.06987,9780,2,Charleroi-Central,50.404393,4.438504,4385,14165,Lille,Charleroi Sud
Chêne-Bourg,2023-01-03 17:03:00,2023-01-03 23:05:00,Lille Europe,50.6394,3.075721,21720,2,Chêne-Bourg,46.196607,6.197253,7865,29585,Lille,Chêne-Bourg
Köln,2023-01-03 15:30:30,2023-01-03 20:18:00,Lille Europe,50.6394,3.075721,17250,1,Cologne,50.9428,6.9591,2315,19565,Lille,Cologne
Coppet,2023-01-03 17:03:00,2023-01-03 23:26:00,Lille Europe,50.6394,3.075721,22980,2,Coppet,46.317378,6.187829,7865,30845,Lille,Coppet
Courchavon,2023-01-04 05:50:00,2023-01-04 13:33:00,Lille Europe,50.6394,3.075721,27780,2,Courchavon,47.43977,7.05765,53885,81665,Lille,Courchavon
Courgenay,2023-01-04 05:50:00,2023-01-04 13:44:00,Lille Europe,50.6394,3.075721,28440,2,Courgenay,47.40522,7.12421,53885,82325,Lille,Courgenay
Courtételle,2023-01-04 05:50:00,2023-01-04 14:05:00,Lille Europe,50.6394,3.075721,29700,2,Courtételle,47.34282,7.31794,53885,83585,Lille,Courtételle
Kortrijk,2023-01-03 16:09:00,2023-01-03 16:45:00,Lille Flandres,50.636577,3.06987,2160,0,Courtrai,50.824,3.26,4625,6785,Lille,Courtrai
Genthod,2023-01-03 17:03:00,2023-01-03 23:10:00,Lille Europe,50.6394,3.075721,22020,2,Genthod-Bellevue,46.256728,6.153962,7865,29885,Lille,Genthod-Bellevue
Delémont,2023-01-04 05:50:00,2023-01-04 14:09:30,Lille Europe,50.6394,3.075721,29970,2,Delemont,47.362,7.35007,53885,83855,Lille,Delemont
Edenkoben,2023-01-04 08:02:00,2023-01-04 13:13:00,Lille Europe,50.6394,3.075721,18660,2,Edenkoben,49.28185,8.140549999999999,61805,80465,Lille,Edenkoben
Tournai,2023-01-03 15:08:00,2023-01-03 15:31:00,Lille Flandres,50.636577,3.06987,1380,0,FROYENNES,50.629,3.355,965,2345,Lille,FROYENNES
Genève,2023-01-03 16:12:00,2023-01-03 21:30:00,Lille Flandres,50.636577,3.06987,19080,2,Genève,46.21022,6.14244,4805,23885,Lille,Genève
Grenchen,2023-01-04 05:50:00,2023-01-04 14:29:00,Lille Europe,50.6394,3.075721,31140,2,Grenchen Nord,47.1918,7.38947,53885,85025,Lille,Grenchen Nord
Hagenbach,2023-01-04 08:02:00,2023-01-04 12:48:00,Lille Europe,50.6394,3.075721,17160,2,Hagenbach,49.016,8.253,61805,78965,Lille,Hagenbach
Hesperange,2023-01-04 08:02:00,2023-01-04 12:17:00,Lille Europe,50.6394,3.075721,15300,2,Howald,49.58032,6.13232,61805,77105,Lille,Howald
Kaiserslautern,2023-01-04 08:02:00,2023-01-04 15:35:00,Lille Europe,50.6394,3.075721,27180,2,Kaiserslautern Hbf,49.4359,7.7688,61805,88985,Lille,Kaiserslautern Hbf
Karlsruhe,2023-01-03 15:52:00,2023-01-03 20:25:00,Lille Europe,50.6394,3.075721,16380,2,Karlsruhe Hbf,48.9935,8.401899999999999,3605,19985,Lille,Karlsruhe Hbf
Kehl,2023-01-03 15:52:00,2023-01-03 20:31:00,Lille Europe,50.6394,3.075721,16740,2,Kehl,48.5767,7.8063,3605,20345,Lille,Kehl
Lancy,2023-01-03 17:03:00,2023-01-03 22:53:00,Lille Europe,50.6394,3.075721,21000,2,Lancy-Pont-Rouge,46.188897,6.125333,7865,28865,Lille,Lancy-Pont-Rouge
Landau in der Pfalz,2023-01-04 08:02:00,2023-01-04 13:02:00,Lille Europe,50.6394,3.075721,18000,2,Landau (Pfalz) Hbf,49.1982,8.125999999999999,61805,79805,Lille,Landau (Pfalz) Hbf
Lausanne,2023-01-03 16:12:00,2023-01-03 21:37:00,Lille Flandres,50.636577,3.06987,19500,2,Lausanne,46.51679,6.62909,4805,24305,Lille,Lausanne
Willstätt,2023-01-03 15:52:00,2023-01-03 20:41:00,Lille Europe,50.6394,3.075721,17340,2,Legelshurst,48.5585,7.9138,3605,20945,Lille,Legelshurst
Bellevue,2023-01-03 17:03:00,2023-01-03 23:07:00,Lille Europe,50.6394,3.075721,21840,2,Les Tuileries,46.249945,6.147342,7865,29705,Lille,Les Tuileries
Liège,2023-01-03 15:30:30,2023-01-03 18:10:00,Lille Europe,50.6394,3.075721,9570,1,Liege-Guil,50.622,5.568,2315,11885,Lille,Liege-Guil
Camden Town,2023-01-03 15:29:30,2023-01-03 16:57:00,Lille Europe,50.6394,3.075721,5250,0,Londres Saint Pancras,51.5338,-0.12807,2255,7505,Lille,Londres Saint Pancras
Luxembourg,2023-01-04 08:02:00,2023-01-04 14:15:00,Lille Europe,50.6394,3.075721,22380,1,Luxembourg,49.599722,6.134722,61805,84185,Lille,Luxembourg
Mannheim,2023-01-04 09:32:00,2023-01-04 15:18:00,Lille Flandres,50.636577,3.06987,20760,2,Mannheim Hbf,49.4794,8.4696,67205,87965,Lille,Mannheim Hbf
Wörth am Rhein,2023-01-04 08:02:00,2023-01-04 12:59:00,Lille Europe,50.6394,3.075721,17820,2,Woerth (Rhein),49.0457,8.273199999999999,61805,79625,Lille,Woerth (Rhein)
Meyrin,2023-01-04 05:50:00,2023-01-04 12:09:00,Lille Europe,50.6394,3.075721,22740,2,Meyrin,46.22235,6.0769,53885,76625,Lille,Meyrin
Mies,2023-01-03 17:03:00,2023-01-03 23:21:00,Lille Europe,50.6394,3.075721,22680,2,Mies,46.299879,6.169566,7865,30545,Lille,Mies
Mouscron,2023-01-03 16:09:00,2023-01-03 16:29:00,Lille Flandres,50.636577,3.06987,1200,0,Mouscron,50.738,3.225,4625,5825,Lille,Mouscron
Moutier,2023-01-04 05:50:00,2023-01-04 14:21:00,Lille Europe,50.6394,3.075721,30660,2,Moutier,47.28067,7.38105,53885,84545,Lille,Moutier
Müllheim,2023-01-04 08:02:00,2023-01-04 12:55:00,Lille Europe,50.6394,3.075721,17580,2,Muellheim (Baden),47.81,7.5996,61805,79385,Lille,Muellheim (Baden)
Neuburg am Rhein,2023-01-04 08:02:00,2023-01-04 12:42:00,Lille Europe,50.6394,3.075721,16800,2,Neuburg (Rhein),48.9921,8.238099999999999,61805,78605,Lille,Neuburg (Rhein)
Neustadt an der Weinstra_e,2023-01-04 08:02:00,2023-01-04 13:20:00,Lille Europe,50.6394,3.075721,19080,2,Neustadt (Weinstraße) Süd,49.341274,8.157026999999999,61805,80885,Lille,Neustadt (Weinstra_e) Süd
Offenburg,2023-01-03 15:52:00,2023-01-03 20:52:00,Lille Europe,50.6394,3.075721,18000,2,Offenburg,48.4765,7.9468,3605,21605,Lille,Offenburg
Oulx,2023-01-04 08:12:00,2023-01-04 14:23:00,Lille Flandres,50.636577,3.06987,22260,2,OULX CESANA CLAVIERE SESTRIERE,45.038795,6.831431,62405,84665,Lille,OULX CESANA CLAVIERE SESTRIERE
Versoix,2023-01-03 17:03:00,2023-01-03 23:16:00,Lille Europe,50.6394,3.075721,22380,2,Versoix,46.279717,6.165748,7865,30245,Lille,Versoix
Porrentruy,2023-01-04 05:50:00,2023-01-04 13:38:00,Lille Europe,50.6394,3.075721,28080,2,Porrentruy,47.42091,7.08009,53885,81965,Lille,Porrentruy
Rotterdam,2023-01-03 20:37:30,2023-01-03 22:32:00,Lille Europe,50.6394,3.075721,6870,0,Rotterdam Centraal,51.924845,4.469313,20735,27605,Lille,Rotterdam Centraal
Russin,2023-01-04 05:50:00,2023-01-04 12:17:00,Lille Europe,50.6394,3.075721,23220,2,Russin,46.187771,6.017553,53885,77105,Lille,Russin
Saarbrücken,2023-01-04 08:02:00,2023-01-04 13:27:00,Lille Europe,50.6394,3.075721,19500,1,Sarrebruck,49.241,6.991,61805,81305,Lille,Sarrebruck
Satigny,2023-01-04 05:50:00,2023-01-04 12:14:00,Lille Europe,50.6394,3.075721,23040,2,Satigny,46.21424,6.03749,53885,76925,Lille,Satigny
Schiphol,2023-01-03 15:30:30,2023-01-03 18:25:00,Lille Europe,50.6394,3.075721,10470,1,Schiphol Airport,52.309636,4.761985,2315,12785,Lille,Schiphol Airport
Clos du Doubs,2023-01-04 05:50:00,2023-01-04 13:49:00,Lille Europe,50.6394,3.075721,28740,2,St-Ursanne,47.36769,7.16596,53885,82625,Lille,St-Ursanne
Stuttgart,2023-01-03 15:52:00,2023-01-03 21:04:00,Lille Europe,50.6394,3.075721,18720,2,Stuttgart Hbf,48.7846,9.1837,3605,22325,Lille,Stuttgart Hbf
Tannay,2023-01-03 17:03:00,2023-01-03 23:23:00,Lille Europe,50.6394,3.075721,22800,2,Tannay,46.307636,6.181127,7865,30665,Lille,Tannay
Torino,2023-01-04 08:12:00,2023-01-04 15:23:00,Lille Flandres,50.636577,3.06987,25860,2,Turin Porta Susa,45.074118,7.666675,62405,88265,Lille,Turin Porta Susa
Vallorbe,2023-01-03 16:12:00,2023-01-03 20:57:30,Lille Flandres,50.636577,3.06987,17130,2,Vallorbe,46.71242,6.37057,4805,21935,Lille,Vallorbe
Vernier,2023-01-04 05:50:00,2023-01-04 12:06:00,Lille Europe,50.6394,3.075721,22560,2,Vernier,46.22071,6.093892,53885,76445,Lille,Vernier
Winden,2023-01-04 08:02:00,2023-01-04 12:52:00,Lille Europe,50.6394,3.075721,17400,2,Winden (Pfalz),49.0954,8.122400000000001,61805,79205,Lille,Winden (Pfalz)
Zürich,2023-01-03 16:12:00,2023-01-03 22:26:00,Lille Flandres,50.636577,3.06987,22440,2,Zuerich HB,47.37817,8.540190000000001,4805,27245,Lille,Zuerich HB
Nîmes,2023-01-03 16:12:00,2023-01-03 20:42:00,Lille Flandres,50.636577,3.06987,16200,2,Nîmes Centre,43.832313,4.365872,4805,21005,Lille,Nîmes
Avignon,2023-01-03 15:19:30,2023-01-03 20:06:00,Lille Flandres,50.636577,3.06987,17190,0,Avignon TGV,43.92194,4.786136,1655,18845,Lille,Avignon
Toulon,2023-01-03 16:12:00,2023-01-03 22:11:00,Lille Flandres,50.636577,3.06987,21540,2,Toulon,43.128353,5.929404,4805,26345,Lille,Toulon
Bourg-en-Bresse,2023-01-03 16:12:00,2023-01-03 20:07:30,Lille Flandres,50.636577,3.06987,14130,2,Bourg-en-Bresse,46.200111,5.215011,4805,18935,Lille,Bourg-en-Bresse
