,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2023-01-06 06:38:00,2023-01-06 10:42:00,Lyon Part Dieu,45.760596,4.859409,14640,1,Aigle,46.31685,6.96367,37776,52416,Lyon,Aigle
Aachen,2023-01-06 05:50:00,2023-01-06 12:35:00,Lyon Part Dieu,45.760596,4.859409,24300,1,Aix la Chapelle,50.7675,6.0912,34896,59196,Lyon,Aix la Chapelle
Allaman,2023-01-06 06:38:00,2023-01-06 09:18:00,Lyon Part Dieu,45.760596,4.859409,9600,1,Allaman,46.47575,6.3997,37776,47376,Lyon,Allaman
Amsterdam,2023-01-06 05:50:00,2023-01-06 11:44:00,Lyon Part Dieu,45.760596,4.859409,21240,1,Amsterdam Centraal,52.37908,4.900632,34896,56136,Lyon,Amsterdam Centraal
Antwerpen,2023-01-06 05:50:00,2023-01-06 10:27:00,Lyon Part Dieu,45.760596,4.859409,16620,1,Antwerpen Centraal,51.216,4.421,34896,51516,Lyon,Antwerpen Centraal
Appenweier,2023-01-06 08:34:00,2023-01-06 13:15:00,Lyon Part Dieu,45.760596,4.859409,16860,1,Appenweier,48.5419,7.9735,44736,61596,Lyon,Appenweier
Baden-Baden,2023-01-06 10:04:00,2023-01-06 14:22:00,Lyon Part Dieu,45.760596,4.859409,15480,0,Baden-Baden,48.7903,8.190899999999999,50136,65616,Lyon,Baden-Baden
Basel,2023-01-06 10:04:00,2023-01-06 13:26:00,Lyon Part Dieu,45.760596,4.859409,12120,1,Basel SBB,47.5474,7.58956,50136,62256,Lyon,Basel SBB
Barcelona,2023-01-06 11:09:30,2023-01-06 16:34:00,Lyon Part Dieu,45.760596,4.859409,19470,1,Barcelone-Sants,41.378961,2.139834,54066,73536,Lyon,Barcelone-Sants
Käerjeng,2023-01-06 08:34:00,2023-01-06 16:20:00,Lyon Part Dieu,45.760596,4.859409,27960,1,Bascharage secteur Sanem,49.5585,5.9249,44736,72696,Lyon,Bascharage secteur Sanem
