,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Nîmes,2023-01-25 09:27:00,2023-01-25 10:35:00,Marseille - Saint-Charles,43.302666,5.380407,4080,0,Nîmes Centre,43.832313,4.365872,1792,4080,Marseille,Nîmes
Avignon,2023-01-25 09:04:00,2023-01-25 09:38:00,Marseille - Saint-Charles,43.302666,5.380407,2040,0,Avignon TGV,43.92194,4.786136,412,2040,Marseille,Avignon
Toulon,2023-01-25 09:57:00,2023-01-25 10:40:30,Marseille - Saint-Charles,43.302666,5.380407,2610,0,Toulon,43.128353,5.929404,3592,2610,Marseille,Toulon
Bourg-en-Bresse,2023-01-25 09:46:00,2023-01-25 13:12:30,Marseille - Saint-Charles,43.302666,5.380407,12390,1,Bourg-en-Bresse,46.200111,5.215011,2932,12390,Marseille,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-25 09:46:00,2023-01-25 12:41:00,Marseille - Saint-Charles,43.302666,5.380407,10500,0,Chalon-sur-Saône,46.781622,4.843479,2932,10500,Marseille,Chalon-sur-Saône
Besançon,2023-01-25 09:46:00,2023-01-25 14:45:00,Marseille - Saint-Charles,43.302666,5.380407,17940,1,Besançon-Viotte,47.247049,6.021943,2932,17940,Marseille,Besançon
Dijon,2023-01-25 09:46:00,2023-01-25 13:25:00,Marseille - Saint-Charles,43.302666,5.380407,13140,0,Dijon Ville,47.323411,5.027256,2932,13140,Marseille,Dijon
Paris,2023-01-25 09:04:00,2023-01-25 12:23:00,Marseille - Saint-Charles,43.302666,5.380407,11940,0,Paris - Gare de Lyon - Hall 1 & 2,48.844945,2.373481,412,11940,Marseille,Paris
Tarbes,2023-01-25 09:27:00,2023-01-25 17:15:00,Marseille - Saint-Charles,43.302666,5.380407,28080,2,Tarbes,43.239863,0.069442,1792,28080,Marseille,Tarbes
Cahors,2023-01-25 11:24:00,2023-01-25 17:43:30,Marseille - Saint-Charles,43.302666,5.380407,22770,1,Cahors,44.449275,1.433325,8812,22770,Marseille,Cahors
Muret,2023-01-25 09:27:00,2023-01-25 14:00:30,Marseille - Saint-Charles,43.302666,5.380407,16410,1,Muret,43.464824,1.324449,1792,16410,Marseille,Muret
Angoulême,2023-01-25 09:04:00,2023-01-25 16:34:00,Marseille - Saint-Charles,43.302666,5.380407,27000,4,Angoulême,45.653572,0.164608,412,27000,Marseille,Angoulême
Angers,2023-01-25 09:04:00,2023-01-25 15:14:00,Marseille - Saint-Charles,43.302666,5.380407,22200,4,Angers-Saint-Laud,47.464649,-0.55677,412,22200,Marseille,Angers
Saint-Nazaire,2023-01-25 09:04:00,2023-01-25 16:45:00,Marseille - Saint-Charles,43.302666,5.380407,27660,5,Saint-Nazaire,47.286489,-2.211079,412,27660,Marseille,Saint-Nazaire
Quimper,2023-01-25 09:04:00,2023-01-25 18:40:00,Marseille - Saint-Charles,43.302666,5.380407,34560,4,Quimper,47.994455,-4.092103,412,34560,Marseille,Quimper
Brest,2023-01-25 14:36:00,2023-01-25 23:38:00,Marseille - Saint-Charles,43.302666,5.380407,32520,1,Brest,48.38762,-4.480306,20332,32520,Marseille,Brest
Lisieux,2023-01-25 09:46:00,2023-01-25 15:40:00,Marseille - Saint-Charles,43.302666,5.380407,21240,4,Lisieux,49.138299,0.231143,2932,21240,Marseille,Lisieux
Cambrai,2023-01-25 09:04:00,2023-01-25 15:28:30,Marseille - Saint-Charles,43.302666,5.380407,23070,3,Cambrai,50.176582,3.241197,412,23070,Marseille,Cambrai
Arras,2023-01-25 10:01:30,2023-01-25 15:17:00,Marseille - Saint-Charles,43.302666,5.380407,18930,2,Arras,50.286971,2.781314,3862,18930,Marseille,Arras
Aix-en-Provence,2023-01-25 09:09:00,2023-01-25 09:39:00,Saint-Antoine,43.369599,5.35781,1800,0,Aix-en-Provence,43.522903,5.44533,712,1800,Marseille,Aix-en-Provence
Lille,2023-01-25 10:01:30,2023-01-25 14:30:00,Marseille - Saint-Charles,43.302666,5.380407,16110,0,Lille Flandres,50.636577,3.06987,3862,16110,Marseille,Lille
Compiègne,2023-01-25 09:04:00,2023-01-25 13:58:00,Marseille - Saint-Charles,43.302666,5.380407,17640,2,Compiègne,49.421977,2.823693,412,17640,Marseille,Compiègne
Chaumont,2023-01-25 10:01:30,2023-01-25 17:43:00,Marseille - Saint-Charles,43.302666,5.380407,27690,5,Chaumont,48.10976,5.1346,3862,27690,Marseille,Chaumont
Gap,2023-01-25 13:21:30,2023-01-25 16:22:00,Saint-Antoine,43.369599,5.35781,10830,0,Gap,44.563714,6.085669,15862,10830,Marseille,Gap
Grenoble,2023-01-25 09:34:30,2023-01-25 12:55:00,Marseille - Saint-Charles,43.302666,5.380407,12030,1,Grenoble - gare Routière,45.192693,5.714366,2242,12030,Marseille,Grenoble
Clermont-Ferrand,2023-01-25 09:46:00,2023-01-25 14:00:00,Marseille - Saint-Charles,43.302666,5.380407,15240,1,Clermont-Ferrand,45.778945,3.100543,2932,15240,Marseille,Clermont-Ferrand
Roanne,2023-01-25 09:46:00,2023-01-25 12:42:00,Marseille - Saint-Charles,43.302666,5.380407,10560,1,Roanne,46.039383,4.063207,2932,10560,Marseille,Roanne
