,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Nîmes,2023-01-26 09:57:00,2023-01-26 14:35:00,Nice,43.704556,7.261904,16680,1,Nîmes Centre,43.832313,4.365872,592,16680,Nice,Nîmes
Avignon,2023-01-26 14:40:00,2023-01-26 18:06:30,Nice,43.704556,7.261904,12390,0,Avignon TGV,43.92194,4.786136,17572,12390,Nice,Avignon
Toulon,2023-01-26 09:57:00,2023-01-26 11:44:00,Nice,43.704556,7.261904,6420,0,Toulon,43.128353,5.929404,592,6420,Nice,Toulon
Bourg-en-Bresse,2023-01-26 12:02:00,2023-01-26 17:17:00,Nice,43.704556,7.261904,18900,2,Bourg-en-Bresse,46.200111,5.215011,8092,18900,Nice,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-26 12:02:00,2023-01-26 18:36:30,Nice,43.704556,7.261904,23670,2,Chalon-sur-Saône,46.781622,4.843479,8092,23670,Nice,Chalon-sur-Saône
Besançon,2023-01-26 12:02:00,2023-01-26 19:09:00,Nice,43.704556,7.261904,25620,2,Besançon-Viotte,47.247049,6.021943,8092,25620,Nice,Besançon
Dijon,2023-01-26 09:57:00,2023-01-26 18:35:00,Nice,43.704556,7.261904,31080,1,Dijon Ville,47.323411,5.027256,592,31080,Nice,Dijon
Paris,2023-01-26 09:57:00,2023-01-26 16:02:00,Nice,43.704556,7.261904,21900,0,Paris - Gare de Lyon - Hall 1 & 2,48.844945,2.373481,592,21900,Nice,Paris
Tarbes,2023-01-26 09:57:00,2023-01-26 19:46:00,Nice,43.704556,7.261904,35340,3,Tarbes,43.239863,0.069442,592,35340,Nice,Tarbes
Cahors,2023-01-26 09:57:00,2023-01-26 19:28:30,Nice,43.704556,7.261904,34290,2,Cahors,44.449275,1.433325,592,34290,Nice,Cahors
Muret,2023-01-26 09:57:00,2023-01-26 17:50:30,Nice,43.704556,7.261904,28410,2,Muret,43.464824,1.324449,592,28410,Nice,Muret
Angoulême,2023-01-26 09:57:00,2023-01-26 19:22:00,Nice,43.704556,7.261904,33900,3,Angoulême,45.653572,0.164608,592,33900,Nice,Angoulême
Angers,2023-01-26 09:57:00,2023-01-26 19:09:30,Nice,43.704556,7.261904,33150,2,Angers-Saint-Laud,47.464649,-0.55677,592,33150,Nice,Angers
Saint-Nazaire,2023-01-26 09:57:00,2023-01-26 20:35:30,Nice,43.704556,7.261904,38310,3,Saint-Nazaire,47.286489,-2.211079,592,38310,Nice,Saint-Nazaire
Quimper,2023-01-26 09:57:00,2023-01-26 21:35:30,Nice,43.704556,7.261904,41910,4,Quimper,47.994455,-4.092103,592,41910,Nice,Quimper
Brest,2023-01-26 09:57:00,2023-01-26 21:29:30,Nice,43.704556,7.261904,41550,4,Brest,48.38762,-4.480306,592,41550,Nice,Brest
Lisieux,2023-01-26 09:57:00,2023-01-26 18:57:00,Nice,43.704556,7.261904,32400,2,Lisieux,49.138299,0.231143,592,32400,Nice,Lisieux
Cambrai,2023-01-26 12:02:00,2023-01-26 20:15:30,Nice,43.704556,7.261904,29610,2,Cambrai,50.176582,3.241197,8092,29610,Nice,Cambrai
Arras,2023-01-26 09:57:00,2023-01-26 17:41:30,Nice,43.704556,7.261904,27870,2,Arras,50.286971,2.781314,592,27870,Nice,Arras
Aix-en-Provence,2023-01-26 15:01:30,2023-01-26 17:36:30,Nice,43.704556,7.261904,9300,0,Aix-en-Provence TGV,43.455237,5.317534,18862,9300,Nice,Aix-en-Provence
