,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Appenweier,2023-01-05 05:13:00,2023-01-05 13:47:00,Quimper,47.994455,-4.092103,30840,3,Appenweier,48.5419,7.9735,55074,85914,Quimper,Appenweier
Saint-Gilles - Sint-Gillis,2023-01-04 15:12:00,2023-01-04 22:17:00,Quimper,47.994455,-4.092103,25500,3,Bruxelles Midi,50.836,4.336,4614,30114,Quimper,Bruxelles Midi
Karlsruhe,2023-01-05 05:13:00,2023-01-05 14:46:00,Quimper,47.994455,-4.092103,34380,3,Karlsruhe Hbf,48.9935,8.401899999999999,55074,89454,Quimper,Karlsruhe Hbf
Kehl,2023-01-05 05:13:00,2023-01-05 13:31:00,Quimper,47.994455,-4.092103,29880,3,Kehl,48.5767,7.8063,55074,84954,Quimper,Kehl
Willstätt,2023-01-05 05:13:00,2023-01-05 13:40:30,Quimper,47.994455,-4.092103,30450,3,Legelshurst,48.5585,7.9138,55074,85524,Quimper,Legelshurst
Camden Town,2023-01-04 15:12:00,2023-01-04 22:30:00,Quimper,47.994455,-4.092103,26280,3,Londres Saint Pancras,51.5338,-0.12807,4614,30894,Quimper,Londres Saint Pancras
Meyrin,2023-01-05 05:13:00,2023-01-05 16:09:00,Quimper,47.994455,-4.092103,39360,3,Meyrin,46.22235,6.0769,55074,94434,Quimper,Meyrin
Offenburg,2023-01-05 05:13:00,2023-01-05 13:53:00,Quimper,47.994455,-4.092103,31200,3,Offenburg,48.4765,7.9468,55074,86274,Quimper,Offenburg
Russin,2023-01-05 05:13:00,2023-01-05 16:17:00,Quimper,47.994455,-4.092103,39840,3,Russin,46.187771,6.017553,55074,94914,Quimper,Russin
Satigny,2023-01-05 05:13:00,2023-01-05 16:14:00,Quimper,47.994455,-4.092103,39660,3,Satigny,46.21424,6.03749,55074,94734,Quimper,Satigny
Vallorbe,2023-01-05 05:13:00,2023-01-05 14:57:30,Quimper,47.994455,-4.092103,35070,3,Vallorbe,46.71242,6.37057,55074,90144,Quimper,Vallorbe
Vernier,2023-01-05 05:13:00,2023-01-05 16:06:00,Quimper,47.994455,-4.092103,39180,3,Vernier,46.22071,6.093892,55074,94254,Quimper,Vernier
Avignon,2023-01-05 05:13:00,2023-01-05 12:45:00,Quimper,47.994455,-4.092103,27120,1,Avignon TGV,43.92194,4.786136,55074,82194,Quimper,Avignon
Toulon,2023-01-05 05:13:00,2023-01-05 14:11:00,Quimper,47.994455,-4.092103,32280,2,Toulon,43.128353,5.929404,55074,87354,Quimper,Toulon
Bourg-en-Bresse,2023-01-04 15:12:00,2023-01-04 22:09:00,Quimper,47.994455,-4.092103,25020,4,Bourg-en-Bresse,46.200111,5.215011,4614,29634,Quimper,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-04 15:12:00,2023-01-04 23:07:00,Quimper,47.994455,-4.092103,28500,5,Chalon-sur-Saône,46.781622,4.843479,4614,33114,Quimper,Chalon-sur-Saône
Besançon,2023-01-04 15:12:00,2023-01-04 22:56:00,Quimper,47.994455,-4.092103,27840,5,Besançon Viotte,47.247049,6.021943,4614,32454,Quimper,Besançon
Dijon,2023-01-04 15:12:00,2023-01-04 21:58:00,Quimper,47.994455,-4.092103,24360,4,Dijon,47.323411,5.027256,4614,28974,Quimper,Dijon
Paris,2023-01-04 15:12:00,2023-01-04 19:06:00,Quimper,47.994455,-4.092103,14040,0,Paris Montparnasse Hall 1 &2,48.841172,2.320514,4614,18654,Quimper,Paris
Cahors,2023-01-04 19:16:00,2023-01-05 12:11:00,Quimper,47.994455,-4.092103,60900,3,Cahors,44.449275,1.433325,19254,80154,Quimper,Cahors
Angoulême,2023-01-04 15:12:00,2023-01-04 21:21:00,Quimper,47.994455,-4.092103,22140,4,Angoulême,45.653572,0.164608,4614,26754,Quimper,Angoulême
Angers,2023-01-04 15:12:00,2023-01-04 19:09:30,Quimper,47.994455,-4.092103,14250,2,Angers Saint-Laud,47.464649,-0.55677,4614,18864,Quimper,Angers
Saint-Nazaire,2023-01-04 15:57:00,2023-01-04 18:41:00,Quimper,47.994455,-4.092103,9840,2,Saint-Nazaire,47.286489,-2.211079,7314,17154,Quimper,Saint-Nazaire
Brest,2023-01-04 14:15:00,2023-01-04 15:40:00,Quimper,47.994455,-4.092103,5100,0,Brest,48.38762,-4.480306,1194,6294,Quimper,Brest
Lisieux,2023-01-04 15:12:00,2023-01-04 22:45:00,Quimper,47.994455,-4.092103,27180,4,Lisieux,49.138299,0.231143,4614,31794,Quimper,Lisieux
Arras,2023-01-04 15:12:00,2023-01-04 21:14:00,Quimper,47.994455,-4.092103,21720,3,Arras,50.286971,2.781314,4614,26334,Quimper,Arras
Aix-en-Provence,2023-01-05 05:13:00,2023-01-05 13:09:00,Quimper,47.994455,-4.092103,28560,1,Aix-en-Provence TGV,43.455237,5.317534,55074,83634,Quimper,Aix-en-Provence
Lille,2023-01-04 15:12:00,2023-01-04 21:40:00,Quimper,47.994455,-4.092103,23280,3,Lille Europe,50.6394,3.075721,4614,27894,Quimper,Lille
Compiègne,2023-01-04 15:12:00,2023-01-04 21:25:30,Quimper,47.994455,-4.092103,22410,3,Compiègne,49.421977,2.823693,4614,27024,Quimper,Compiègne
