,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2023-01-04 16:21:00,2023-01-04 22:42:00,Strasbourg,48.584532,7.734793,22860,3,Aigle,46.31685,6.96367,8076,30936,Strasbourg,Aigle
Aachen,2023-01-04 14:49:00,2023-01-04 20:35:00,Strasbourg,48.584532,7.734793,20760,3,Aix la Chapelle,50.7675,6.0912,2556,23316,Strasbourg,Aix la Chapelle
Allaman,2023-01-05 06:47:00,2023-01-05 12:40:00,Strasbourg,48.584532,7.734793,21180,2,Allaman,46.47575,6.3997,60036,81216,Strasbourg,Allaman
Amsterdam,2023-01-04 17:01:00,2023-01-04 23:11:00,Strasbourg,48.584532,7.734793,22200,1,Amsterdam Centraal,52.37908,4.900632,10476,32676,Strasbourg,Amsterdam Centraal
Antwerpen,2023-01-04 14:49:00,2023-01-04 20:27:00,Strasbourg,48.584532,7.734793,20280,3,Antwerpen Centraal,51.216,4.421,2556,22836,Strasbourg,Antwerpen Centraal
Appenweier,2023-01-04 14:26:00,2023-01-04 14:45:00,Krimmeri Meinau,48.563644,7.752614,1140,0,Appenweier,48.5419,7.9735,1176,2316,Strasbourg,Appenweier
Augsburg,2023-01-04 17:46:00,2023-01-04 21:04:00,Strasbourg,48.584532,7.734793,11880,0,Augsburg Hbf,48.3654,10.886,13176,25056,Strasbourg,Augsburg Hbf
Basel,2023-01-04 14:51:00,2023-01-04 16:08:00,Strasbourg,48.584532,7.734793,4620,0,Basel SBB,47.5474,7.58956,2676,7296,Strasbourg,Basel SBB
Käerjeng,2023-01-04 14:49:00,2023-01-04 17:50:00,Strasbourg,48.584532,7.734793,10860,2,Bascharage secteur Sanem,49.5585,5.9249,2556,13416,Strasbourg,Bascharage secteur Sanem
Haute-Sorne,2023-01-04 16:21:00,2023-01-04 19:55:00,Strasbourg,48.584532,7.734793,12840,2,Glovelier,47.3352,7.20931,8076,20916,Strasbourg,Glovelier
Berg (Pfalz),2023-01-04 15:20:00,2023-01-04 16:35:00,Strasbourg,48.584532,7.734793,4500,1,Berg (Pfalz),48.9807,8.2128,4416,8916,Strasbourg,Berg (Pfalz)
Bettembourg,2023-01-04 14:49:00,2023-01-04 17:10:00,Strasbourg,48.584532,7.734793,8460,1,Bettembourg,49.516111,6.101111,2556,11016,Strasbourg,Bettembourg
Bex,2023-01-04 16:21:00,2023-01-04 22:48:00,Strasbourg,48.584532,7.734793,23220,3,Bex,46.25146,7.00067,8076,31296,Strasbourg,Bex
Biel/Bienne,2023-01-04 16:21:00,2023-01-04 20:41:00,Strasbourg,48.584532,7.734793,15600,2,Biel/Bienne,47.13289,7.24292,8076,23676,Strasbourg,Biel/Bienne
Boncourt,2023-01-04 16:21:00,2023-01-04 19:23:00,Strasbourg,48.584532,7.734793,10920,2,Boncourt,47.49263,7.01656,8076,18996,Strasbourg,Boncourt
Saint-Gilles - Sint-Gillis,2023-01-04 17:01:00,2023-01-04 21:01:00,Strasbourg,48.584532,7.734793,14400,0,Bruxelles Midi,50.836,4.336,10476,24876,Strasbourg,Bruxelles Midi
Basse-Allaine,2023-01-04 16:21:00,2023-01-04 19:25:00,Strasbourg,48.584532,7.734793,11040,2,Buix,47.47933,7.02998,8076,19116,Strasbourg,Buix
Pregny-Chambésy,2023-01-04 16:15:00,2023-01-04 23:05:00,Strasbourg,48.584532,7.734793,24600,2,Chambésy,46.242378,6.147342,7716,32316,Strasbourg,Chambésy
Chêne-Bourg,2023-01-04 16:15:00,2023-01-04 23:05:00,Strasbourg,48.584532,7.734793,24600,2,Chêne-Bourg,46.196607,6.197253,7716,32316,Strasbourg,Chêne-Bourg
Köln,2023-01-04 14:49:00,2023-01-04 22:18:00,Strasbourg,48.584532,7.734793,26940,3,Cologne,50.9428,6.9591,2556,29496,Strasbourg,Cologne
Coppet,2023-01-04 16:15:00,2023-01-04 23:26:00,Strasbourg,48.584532,7.734793,25860,2,Coppet,46.317378,6.187829,7716,33576,Strasbourg,Coppet
Courchavon,2023-01-04 16:21:00,2023-01-04 19:33:00,Strasbourg,48.584532,7.734793,11520,2,Courchavon,47.43977,7.05765,8076,19596,Strasbourg,Courchavon
Courgenay,2023-01-04 16:21:00,2023-01-04 19:44:00,Strasbourg,48.584532,7.734793,12180,2,Courgenay,47.40522,7.12421,8076,20256,Strasbourg,Courgenay
Courtételle,2023-01-04 16:21:00,2023-01-04 20:05:00,Strasbourg,48.584532,7.734793,13440,2,Courtételle,47.34282,7.31794,8076,21516,Strasbourg,Courtételle
Kortrijk,2023-01-05 07:31:00,2023-01-05 11:45:30,Strasbourg,48.584532,7.734793,15270,2,Courtrai,50.824,3.26,62676,77946,Strasbourg,Courtrai
Genthod,2023-01-04 16:15:00,2023-01-04 23:10:00,Strasbourg,48.584532,7.734793,24900,2,Genthod-Bellevue,46.256728,6.153962,7716,32616,Strasbourg,Genthod-Bellevue
Delémont,2023-01-04 16:21:00,2023-01-04 20:09:00,Strasbourg,48.584532,7.734793,13680,2,Delemont,47.362,7.35007,8076,21756,Strasbourg,Delemont
