,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Nîmes,2023-01-25 15:43:00,2023-01-25 18:24:00,Toulouse Matabiau,43.611206,1.453616,9660,0,Nîmes Centre,43.832313,4.365872,270,9660,Toulouse,Nîmes
Avignon,2023-01-25 15:43:00,2023-01-25 19:28:00,Toulouse Matabiau,43.611206,1.453616,13500,1,Avignon Centre,43.941923,4.805269,270,13500,Toulouse,Avignon
Toulon,2023-01-25 16:45:00,2023-01-25 22:11:00,Toulouse Matabiau,43.611206,1.453616,19560,1,Toulon,43.128353,5.929404,3990,19560,Toulouse,Toulon
Bourg-en-Bresse,2023-01-25 15:43:00,2023-01-25 21:12:30,Toulouse Matabiau,43.611206,1.453616,19770,1,Bourg-en-Bresse,46.200111,5.215011,270,19770,Toulouse,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-25 15:43:00,2023-01-25 21:37:00,Toulouse Matabiau,43.611206,1.453616,21240,1,Chalon-sur-Saône,46.781622,4.843479,270,21240,Toulouse,Chalon-sur-Saône
Dijon,2023-01-25 15:43:00,2023-01-25 22:19:00,Toulouse Matabiau,43.611206,1.453616,23760,1,Dijon Ville,47.323411,5.027256,270,23760,Toulouse,Dijon
Paris,2023-01-25 17:28:00,2023-01-25 21:52:00,Toulouse Matabiau,43.611206,1.453616,15840,0,Paris - Montparnasse - Hall 1 & 2,48.841172,2.320514,6570,15840,Toulouse,Paris
Tarbes,2023-01-25 16:48:00,2023-01-25 19:09:00,Saint-Agne,43.579477,1.45012,8460,1,Tarbes,43.239863,0.069442,4170,8460,Toulouse,Tarbes
Cahors,2023-01-25 16:32:00,2023-01-25 17:43:30,Toulouse Matabiau,43.611206,1.453616,4290,0,Cahors,44.449275,1.433325,3210,4290,Toulouse,Cahors
Muret,2023-01-25 16:10:00,2023-01-25 16:22:30,Saint-Agne,43.579477,1.45012,750,0,Muret,43.464824,1.324449,1890,750,Toulouse,Muret
Angoulême,2023-01-25 18:27:30,2023-01-25 21:20:00,Toulouse Matabiau,43.611206,1.453616,10350,0,Angoulême,45.653572,0.164608,10140,10350,Toulouse,Angoulême
Angers,2023-01-25 16:32:00,2023-01-26 07:36:30,Toulouse Matabiau,43.611206,1.453616,54270,3,Angers-Saint-Laud,47.464649,-0.55677,3210,54270,Toulouse,Angers
Saint-Nazaire,2023-01-25 22:48:00,2023-01-26 12:34:00,Toulouse Matabiau,43.611206,1.453616,49560,2,Saint-Nazaire,47.286489,-2.211079,25770,49560,Toulouse,Saint-Nazaire
Quimper,2023-01-26 06:28:00,2023-01-26 14:34:00,Toulouse Matabiau,43.611206,1.453616,29160,1,Quimper,47.994455,-4.092103,53370,29160,Toulouse,Quimper
Brest,2023-01-26 06:28:00,2023-01-26 14:47:00,Toulouse Matabiau,43.611206,1.453616,29940,1,Brest,48.38762,-4.480306,53370,29940,Toulouse,Brest
Lisieux,2023-01-25 18:27:30,2023-01-26 08:01:00,Toulouse Matabiau,43.611206,1.453616,48810,4,Lisieux,49.138299,0.231143,10140,48810,Toulouse,Lisieux
Cambrai,2023-01-25 22:48:00,2023-01-26 12:28:30,Toulouse Matabiau,43.611206,1.453616,49230,4,Cambrai,50.176582,3.241197,25770,49230,Toulouse,Cambrai
Arras,2023-01-25 15:43:00,2023-01-25 23:14:00,Toulouse Matabiau,43.611206,1.453616,27060,3,Arras,50.286971,2.781314,270,27060,Toulouse,Arras
Aix-en-Provence,2023-01-25 15:43:00,2023-01-25 20:28:30,Toulouse Matabiau,43.611206,1.453616,17130,1,Aix-en-Provence TGV,43.455237,5.317534,270,17130,Toulouse,Aix-en-Provence
Lille,2023-01-25 15:43:00,2023-01-25 23:38:00,Toulouse Matabiau,43.611206,1.453616,28500,3,Lille Flandres,50.636577,3.06987,270,28500,Toulouse,Lille
Compiègne,2023-01-25 15:43:00,2023-01-25 23:27:00,Toulouse Matabiau,43.611206,1.453616,27840,3,Compiègne,49.421977,2.823693,270,27840,Toulouse,Compiègne
Chaumont,2023-01-25 17:28:00,2023-01-26 08:09:00,Toulouse Matabiau,43.611206,1.453616,52860,5,Chaumont,48.10976,5.1346,6570,52860,Toulouse,Chaumont
Gap,2023-01-25 15:43:00,2023-01-25 22:32:00,Toulouse Matabiau,43.611206,1.453616,24540,1,Gap,44.563714,6.085669,270,24540,Toulouse,Gap
Marseille,2023-01-25 16:45:00,2023-01-25 20:36:00,Toulouse Matabiau,43.611206,1.453616,13860,0,Marseille - Saint-Charles,43.302666,5.380407,3990,13860,Toulouse,Marseille
Grenoble,2023-01-25 15:43:00,2023-01-25 20:30:00,Toulouse Matabiau,43.611206,1.453616,17220,1,Grenoble,45.191491,5.714548,270,17220,Toulouse,Grenoble
Clermont-Ferrand,2023-01-25 15:43:00,2023-01-25 22:58:00,Toulouse Matabiau,43.611206,1.453616,26100,1,Clermont-Ferrand,45.778945,3.100543,270,26100,Toulouse,Clermont-Ferrand
Roanne,2023-01-25 15:43:00,2023-01-25 21:25:00,Toulouse Matabiau,43.611206,1.453616,20520,1,Roanne,46.039383,4.063207,270,20520,Toulouse,Roanne
