,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2023-01-05 05:58:00,2023-01-05 12:35:00,Bordeaux Saint-Jean,44.825873,-0.556697,23820,2,Aix la Chapelle,50.7675,6.0912,58225,82045,Bordeaux,Aix la Chapelle
1,2023-01-05 08:54:00,2023-01-05 15:15:00,Bordeaux Saint-Jean,44.825873,-0.556697,22860,1,Appenweier,48.5419,7.9735,68785,91645,Bordeaux,Appenweier
2,2023-01-05 05:58:00,2023-01-05 13:26:00,Bordeaux Saint-Jean,44.825873,-0.556697,26880,2,Basel SBB,47.5474,7.58956,58225,85105,Bordeaux,Basel SBB
3,2023-01-05 08:54:00,2023-01-05 16:08:00,Bordeaux Saint-Jean,44.825873,-0.556697,26040,1,Basel SBB,47.5474,7.58956,68785,94825,Bordeaux,Basel SBB
4,2023-01-04 15:18:30,2023-01-04 21:25:00,Bordeaux Saint-Jean,44.825873,-0.556697,21990,2,Barcelone-Sants,41.378961,2.139834,5455,27445,Bordeaux,Barcelone-Sants
5,2023-01-04 14:28:00,2023-01-04 21:25:00,Bordeaux Saint-Jean,44.825873,-0.556697,25020,1,Barcelone-Sants,41.378961,2.139834,2425,27445,Bordeaux,Barcelone-Sants
6,2023-01-05 08:54:00,2023-01-05 16:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,26760,3,Bascharage secteur Sanem,49.5585,5.9249,68785,95545,Bordeaux,Bascharage secteur Sanem
7,2023-01-05 08:54:00,2023-01-05 16:35:00,Bordeaux Saint-Jean,44.825873,-0.556697,27660,2,Berg (Pfalz),48.9807,8.2128,68785,96445,Bordeaux,Berg (Pfalz)
8,2023-01-05 07:45:00,2023-01-05 14:10:00,Bordeaux Saint-Jean,44.825873,-0.556697,23100,3,Bettembourg,49.516111,6.101111,64645,87745,Bordeaux,Bettembourg
9,2023-01-04 17:08:00,2023-01-04 22:17:00,Bordeaux Saint-Jean,44.825873,-0.556697,18540,2,Bruxelles Midi,50.836,4.336,12025,30565,Bordeaux,Bruxelles Midi
10,2023-01-04 17:08:00,2023-01-04 22:43:00,Bordeaux Saint-Jean,44.825873,-0.556697,20100,2,Bruxelles Midi,50.836,4.336,12025,32125,Bordeaux,Bruxelles Midi
11,2023-01-04 16:57:30,2023-01-04 22:43:00,Bordeaux Saint-Jean,44.825873,-0.556697,20730,1,Bruxelles Midi,50.836,4.336,11395,32125,Bordeaux,Bruxelles Midi
12,2023-01-05 08:54:00,2023-01-05 16:38:00,Bordeaux Saint-Jean,44.825873,-0.556697,27840,3,Charleroi-Central,50.404393,4.438504,68785,96625,Bordeaux,Charleroi Sud
13,2023-01-05 05:58:00,2023-01-05 16:38:00,Bordeaux Saint-Jean,44.825873,-0.556697,38400,2,Charleroi-Central,50.404393,4.438504,58225,96625,Bordeaux,Charleroi Sud
14,2023-01-05 05:58:00,2023-01-05 14:18:00,Bordeaux Saint-Jean,44.825873,-0.556697,30000,2,Cologne,50.9428,6.9591,58225,88225,Bordeaux,Cologne
