,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2023-01-05 21:06:30,2023-01-06 09:42:00,Dijon,47.323411,5.027256,45330,3,Aigle,46.31685,6.96367,3863,49193,Dijon,Aigle
1,2023-01-06 09:35:00,2023-01-06 12:42:00,Dijon,47.323411,5.027256,11220,1,Aigle,46.31685,6.96367,48773,59993,Dijon,Aigle
2,2023-01-06 07:26:00,2023-01-06 12:35:00,Dijon,47.323411,5.027256,18540,2,Aix la Chapelle,50.7675,6.0912,41033,59573,Dijon,Aix la Chapelle
3,2023-01-05 21:06:30,2023-01-06 08:18:00,Dijon,47.323411,5.027256,40290,3,Allaman,46.47575,6.3997,3863,44153,Dijon,Allaman
4,2023-01-06 09:35:00,2023-01-06 12:40:00,Dijon,47.323411,5.027256,11100,1,Allaman,46.47575,6.3997,48773,59873,Dijon,Allaman
5,2023-01-05 20:35:00,2023-01-06 00:28:00,Dijon,47.323411,5.027256,13980,2,Appenweier,48.5419,7.9735,1973,15953,Dijon,Appenweier
6,2023-01-06 10:44:00,2023-01-06 14:22:00,Dijon,47.323411,5.027256,13080,1,Baden-Baden,48.7903,8.190899999999999,52913,65993,Dijon,Baden-Baden
7,2023-01-06 10:08:00,2023-01-06 12:45:00,Dijon,47.323411,5.027256,9420,1,Bâle Saint-Jean,47.57031,7.572745,50753,60173,Dijon,Bâle Saint-Jean
8,2023-01-05 20:35:00,2023-01-05 22:38:00,Dijon,47.323411,5.027256,7380,1,Basel SBB,47.5474,7.58956,1973,9353,Dijon,Basel SBB
9,2023-01-06 09:21:00,2023-01-06 16:34:00,Dijon,47.323411,5.027256,25980,1,Barcelone-Sants,41.378961,2.139834,47933,73913,Dijon,Barcelone-Sants
10,2023-01-06 10:08:00,2023-01-06 16:20:00,Dijon,47.323411,5.027256,22320,1,Bascharage secteur Sanem,49.5585,5.9249,50753,73073,Dijon,Bascharage secteur Sanem
11,2023-01-05 20:35:00,2023-01-05 22:58:30,Dijon,47.323411,5.027256,8610,1,Bassecourt,47.33668,7.24685,1973,10583,Dijon,Bassecourt
12,2023-01-05 20:35:00,2023-01-05 23:01:00,Dijon,47.323411,5.027256,8760,1,Courfaivre,47.33508,7.29117,1973,10733,Dijon,Courfaivre
13,2023-01-05 20:35:00,2023-01-05 22:55:00,Dijon,47.323411,5.027256,8400,1,Glovelier,47.3352,7.20931,1973,10373,Dijon,Glovelier
14,2023-01-06 10:08:00,2023-01-06 16:35:00,Dijon,47.323411,5.027256,23220,2,Berg (Pfalz),48.9807,8.2128,50753,73973,Dijon,Berg (Pfalz)
15,2023-01-06 10:08:00,2023-01-06 14:10:00,Dijon,47.323411,5.027256,14520,1,Bettembourg,49.516111,6.101111,50753,65273,Dijon,Bettembourg
16,2023-01-05 21:06:30,2023-01-06 09:48:00,Dijon,47.323411,5.027256,45690,3,Bex,46.25146,7.00067,3863,49553,Dijon,Bex
