,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2023-01-24 11:03:00,2023-01-24 18:42:00,Lille Europe,50.6394,3.075721,27540,2,Aigle,46.31685,6.96367,842,28382,Lille,Aigle
1,2023-01-24 11:37:00,2023-01-24 14:35:00,Lille Europe,50.6394,3.075721,10680,1,Aachen Hauptbahnhof,50.7675,6.0912,2882,13562,Lille,Aix la Chapelle
2,2023-01-24 11:03:00,2023-01-24 17:18:00,Lille Europe,50.6394,3.075721,22500,2,Allaman,46.47575,6.3997,842,23342,Lille,Allaman
3,2023-01-24 11:37:00,2023-01-24 15:14:00,Lille Europe,50.6394,3.075721,13020,1,Amsterdam Centraal,52.37908,4.900632,2882,15902,Lille,Amsterdam Centraal
4,2023-01-24 13:29:30,2023-01-24 16:13:00,Lille Europe,50.6394,3.075721,9810,0,Amsterdam Centraal,52.37908,4.900632,9632,19442,Lille,Amsterdam Centraal
5,2023-01-24 11:37:00,2023-01-24 13:57:00,Lille Europe,50.6394,3.075721,8400,1,Antwerpen-Centraal,51.216,4.421,2882,11282,Lille,Antwerpen Centraal
6,2023-01-24 11:03:00,2023-01-24 15:15:00,Lille Europe,50.6394,3.075721,15120,2,Appenweier,48.5419,7.9735,842,15962,Lille,Appenweier
7,2023-01-24 14:02:00,2023-01-24 18:15:00,Lille Europe,50.6394,3.075721,15180,1,Appenweier,48.5419,7.9735,11582,26762,Lille,Appenweier
8,2023-01-24 14:02:00,2023-01-24 21:04:00,Lille Europe,50.6394,3.075721,25320,1,Augsburg Hauptbahnhof,48.3654,10.886,11582,36902,Lille,Augsburg Hbf
9,2023-01-24 14:02:00,2023-01-24 19:16:00,Lille Europe,50.6394,3.075721,18840,2,Bâle Saint-Jean,47.57031,7.572745,11582,30422,Lille,Bâle Saint-Jean
10,2023-01-24 11:03:00,2023-01-24 16:08:00,Lille Europe,50.6394,3.075721,18300,2,Bâle - SBB,47.5474,7.58956,842,19142,Lille,Basel SBB
11,2023-01-24 11:42:00,2023-01-24 17:26:00,Lille Flandres,50.636577,3.06987,20640,2,Bâle - SBB,47.5474,7.58956,3182,23822,Lille,Basel SBB
12,2023-01-24 14:02:00,2023-01-24 19:09:00,Lille Europe,50.6394,3.075721,18420,1,Bâle - SBB,47.5474,7.58956,11582,30002,Lille,Basel SBB
13,2023-01-24 13:12:00,2023-01-24 21:25:00,Lille Flandres,50.636577,3.06987,29580,2,Barcelona Sants,41.378961,2.139834,8582,38162,Lille,Barcelone-Sants
14,2023-01-24 11:03:00,2023-01-24 21:25:00,Lille Europe,50.6394,3.075721,37320,1,Barcelona Sants,41.378961,2.139834,842,38162,Lille,Barcelone-Sants
15,2023-01-25 08:02:00,2023-01-25 16:20:00,Lille Europe,50.6394,3.075721,29880,2,Bascharage-Sanem,49.5585,5.9249,76382,106262,Lille,Bascharage secteur Sanem
16,2023-01-24 13:00:30,2023-01-24 19:58:30,Lille Flandres,50.636577,3.06987,25080,2,Bassecourt,47.33668,7.24685,7892,32972,Lille,Bassecourt
17,2023-01-24 13:00:30,2023-01-24 20:01:00,Lille Flandres,50.636577,3.06987,25230,2,Courfaivre,47.33508,7.29117,7892,33122,Lille,Courfaivre
