,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2022-12-13 12:00:00,2022-12-13 19:47:00,Limoges Bénédictins,45.836207,1.267419,28020,2,Nîmes Centre,43.832313,4.365872,1589,29609,Limoges,Nîmes
1,2022-12-13 12:00:00,2022-12-13 19:52:30,Limoges Bénédictins,45.836207,1.267419,28350,1,Nîmes Centre,43.832313,4.365872,1589,29939,Limoges,Nîmes
2,2022-12-13 12:00:00,2022-12-13 20:28:00,Limoges Bénédictins,45.836207,1.267419,30480,2,Avignon Centre,43.941923,4.805269,1589,32069,Limoges,Avignon
3,2022-12-13 12:00:00,2022-12-13 21:52:00,Limoges Bénédictins,45.836207,1.267419,35520,2,Avignon TGV,43.92194,4.786136,1589,37109,Limoges,Avignon
4,2022-12-13 12:00:00,2022-12-13 22:11:00,Limoges Bénédictins,45.836207,1.267419,36660,2,Toulon,43.128353,5.929404,1589,38249,Limoges,Toulon
5,2022-12-13 17:00:30,2022-12-14 07:09:00,Limoges Bénédictins,45.836207,1.267419,50910,1,Toulon,43.128353,5.929404,19619,70529,Limoges,Toulon
6,2022-12-13 14:56:00,2022-12-13 22:09:00,Limoges Bénédictins,45.836207,1.267419,25980,3,Bourg-en-Bresse,46.200111,5.215011,12149,38129,Limoges,Bourg-en-Bresse
7,2022-12-13 13:22:00,2022-12-13 23:41:00,Limoges Bénédictins,45.836207,1.267419,37140,2,Bourg-en-Bresse Gare Routière,46.199498,5.215381,6509,43649,Limoges,Bourg-en-Bresse
8,2022-12-13 13:22:00,2022-12-13 21:21:00,Limoges Bénédictins,45.836207,1.267419,28740,5,Chalon-sur-Saône,46.781622,4.843479,6509,35249,Limoges,Chalon-sur-Saône
9,2022-12-13 14:56:00,2022-12-13 23:07:00,Limoges Bénédictins,45.836207,1.267419,29460,4,Chalon-sur-Saône,46.781622,4.843479,12149,41609,Limoges,Chalon-sur-Saône
10,2022-12-13 13:22:00,2022-12-13 23:07:00,Limoges Bénédictins,45.836207,1.267419,35100,3,Chalon-sur-Saône,46.781622,4.843479,6509,41609,Limoges,Chalon-sur-Saône
11,2022-12-13 13:22:00,2022-12-13 21:27:00,Limoges Bénédictins,45.836207,1.267419,29100,5,Besançon Viotte,47.247049,6.021943,6509,35609,Limoges,Besançon
12,2022-12-13 14:56:00,2022-12-13 22:56:00,Limoges Bénédictins,45.836207,1.267419,28800,4,Besançon Viotte,47.247049,6.021943,12149,40949,Limoges,Besançon
13,2022-12-13 14:56:00,2022-12-13 23:15:00,Limoges Bénédictins,45.836207,1.267419,29940,4,Besançon Viotte,47.247049,6.021943,12149,42089,Limoges,Besançon
