,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2022-12-21 12:14:00,2022-12-21 17:42:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,19680,1,Aigle,46.31685,6.96367,918,20598,Paris,Aigle
1,2022-12-21 15:54:30,2022-12-21 18:34:00,Paris Gare du Nord,48.880136,2.354851,9570,0,Aix la Chapelle,50.7675,6.0912,14148,23718,Paris,Aix la Chapelle
2,2022-12-21 12:14:00,2022-12-21 16:18:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,14640,1,Allaman,46.47575,6.3997,918,15558,Paris,Allaman
3,2022-12-21 12:21:30,2022-12-21 15:44:00,Paris Gare du Nord,48.880136,2.354851,12150,0,Amsterdam Centraal,52.37908,4.900632,1368,13518,Paris,Amsterdam Centraal
4,2022-12-21 12:21:30,2022-12-21 14:27:00,Paris Gare du Nord,48.880136,2.354851,7530,0,Antwerpen Centraal,51.216,4.421,1368,8898,Paris,Antwerpen Centraal
5,2022-12-21 13:55:00,2022-12-21 16:45:00,Paris Est,48.876742,2.358424,10200,1,Appenweier,48.5419,7.9735,6978,17178,Paris,Appenweier
6,2022-12-21 15:55:00,2022-12-21 21:04:00,Paris Est,48.876742,2.358424,18540,0,Augsburg Hbf,48.3654,10.886,14178,32718,Paris,Augsburg Hbf
7,2022-12-21 12:19:00,2022-12-21 15:43:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12240,1,Bâle Saint-Jean,47.57031,7.572745,1218,13458,Paris,Bâle Saint-Jean
8,2022-12-21 12:19:00,2022-12-21 15:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11220,0,Basel SBB,47.5474,7.58956,1218,12438,Paris,Basel SBB
9,2022-12-21 14:54:00,2022-12-21 21:25:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,23460,0,Barcelone-Sants,41.378961,2.139834,10518,33978,Paris,Barcelone-Sants
