,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2023-01-04 16:21:00,2023-01-04 22:42:00,Strasbourg,48.584532,7.734793,22860,3,Aigle,46.31685,6.96367,8076,30936,Strasbourg,Aigle
1,2023-01-04 16:15:00,2023-01-04 22:42:00,Strasbourg,48.584532,7.734793,23220,3,Aigle,46.31685,6.96367,7716,30936,Strasbourg,Aigle
2,2023-01-04 14:49:00,2023-01-04 20:35:00,Strasbourg,48.584532,7.734793,20760,3,Aix la Chapelle,50.7675,6.0912,2556,23316,Strasbourg,Aix la Chapelle
3,2023-01-05 06:47:00,2023-01-05 12:40:00,Strasbourg,48.584532,7.734793,21180,2,Allaman,46.47575,6.3997,60036,81216,Strasbourg,Allaman
4,2023-01-04 14:49:00,2023-01-04 21:44:00,Strasbourg,48.584532,7.734793,24900,3,Amsterdam Centraal,52.37908,4.900632,2556,27456,Strasbourg,Amsterdam Centraal
5,2023-01-04 17:01:00,2023-01-04 23:11:00,Strasbourg,48.584532,7.734793,22200,1,Amsterdam Centraal,52.37908,4.900632,10476,32676,Strasbourg,Amsterdam Centraal
6,2023-01-04 14:49:00,2023-01-04 20:27:00,Strasbourg,48.584532,7.734793,20280,3,Antwerpen Centraal,51.216,4.421,2556,22836,Strasbourg,Antwerpen Centraal
7,2023-01-04 14:26:00,2023-01-04 14:45:00,Krimmeri Meinau,48.563644,7.752614,1140,0,Appenweier,48.5419,7.9735,1176,2316,Strasbourg,Appenweier
8,2023-01-04 17:46:00,2023-01-04 21:04:00,Strasbourg,48.584532,7.734793,11880,0,Augsburg Hbf,48.3654,10.886,13176,25056,Strasbourg,Augsburg Hbf
9,2023-01-04 14:51:00,2023-01-04 16:15:00,Strasbourg,48.584532,7.734793,5040,1,Bâle Saint-Jean,47.57031,7.572745,2676,7716,Strasbourg,Bâle Saint-Jean
10,2023-01-04 14:51:00,2023-01-04 16:08:00,Strasbourg,48.584532,7.734793,4620,0,Basel SBB,47.5474,7.58956,2676,7296,Strasbourg,Basel SBB
11,2023-01-04 14:49:00,2023-01-04 17:50:00,Strasbourg,48.584532,7.734793,10860,2,Bascharage secteur Sanem,49.5585,5.9249,2556,13416,Strasbourg,Bascharage secteur Sanem
12,2023-01-04 16:21:00,2023-01-04 19:58:30,Strasbourg,48.584532,7.734793,13050,2,Bassecourt,47.33668,7.24685,8076,21126,Strasbourg,Bassecourt
13,2023-01-04 16:15:00,2023-01-04 19:58:30,Strasbourg,48.584532,7.734793,13410,1,Bassecourt,47.33668,7.24685,7716,21126,Strasbourg,Bassecourt
14,2023-01-04 16:21:00,2023-01-04 20:01:00,Strasbourg,48.584532,7.734793,13200,2,Courfaivre,47.33508,7.29117,8076,21276,Strasbourg,Courfaivre
15,2023-01-04 16:15:00,2023-01-04 20:01:00,Strasbourg,48.584532,7.734793,13560,1,Courfaivre,47.33508,7.29117,7716,21276,Strasbourg,Courfaivre
