,codes,name,links,coord,label,timezone,id,administrative_regions,insee,lat,lon,lat_city,lon_city,city
0,"[{'type': 'secondary_id', 'value': 'SNCF:80194209'}, {'type': 'secondary_id', 'value': 'SNCF:80194225'}, {'type': 'secondary_id', 'value': 'SNCF:80194233'}, {'type': 'secondary_id', 'value': 'SNCF:80194332'}, {'type': 'secondary_id', 'value': 'SNCF:80197871'}, {'type': 'secondary_id', 'value': 'SNCF:80359331'}, {'type': 'secondary_id', 'value': 'SNCF:80359349'}, {'type': 'secondary_id', 'value': 'SNCF:85010017'}, {'type': 'secondary_id', 'value': 'SNCF:87407536'}, {'type': 'secondary_id', 'value': 'SNCF:87688051'}, {'type': 'secondary_id', 'value': 'SNCF:87713743'}, {'type': 'secondary_id', 'value': 'SNCF:87713875'}, {'type': 'secondary_id', 'value': 'SNCF:87714097'}, {'type': 'secondary_id', 'value': 'SNCF:87757005'}, {'type': 'source', 'value': '80194209'}, {'type': 'source', 'value': '80194225'}, {'type': 'source', 'value': '80194233'}, {'type': 'source', 'value': '80194332'}, {'type': 'source', 'value': '80197871'}, {'type': 'source', 'value': '80359331'}, {'type': 'source', 'value': '80359349'}, {'type': 'source', 'value': '85010017'}, {'type': 'source', 'value': '87407536'}, {'type': 'source', 'value': '87641241'}, {'type': 'source', 'value': '87688051'}, {'type': 'source', 'value': '87713743'}, {'type': 'source', 'value': '87713875'}, {'type': 'source', 'value': '87714097'}, {'type': 'source', 'value': '87757005'}]",,[],"{'lat': '0', 'lon': '0'}",,Europe/Paris,stop_area:SNCF:87641241,,-1,0,0,-1,-1,-1
1,"[{'type': 'source', 'value': '87313759'}, {'type': 'uic', 'value': '87313759'}]",Abancourt,[],"{'lat': '49.685621', 'lon': '1.774297'}",Abancourt (Abancourt),Europe/Paris,stop_area:SNCF:87313759,"[{'insee': '60001', 'name': 'Abancourt', 'level': 8, 'coord': {'lat': '49.6977145', 'lon': '1.7646826'}, 'label': 'Abancourt (60220)', 'id': 'admin:fr:60001', 'zip_code': '60220'}]",60001,49.685621,1.774297,49.6977145,1.7646826,Abancourt
2,"[{'type': 'source', 'value': '87481614'}, {'type': 'uic', 'value': '87481614'}]",Abbaretz,[],"{'lat': '47.555241', 'lon': '-1.524289'}",Abbaretz (Abbaretz),Europe/Paris,stop_area:SNCF:87481614,"[{'insee': '44001', 'name': 'Abbaretz', 'level': 8, 'coord': {'lat': '47.5525545', 'lon': '-1.5322775'}, 'label': 'Abbaretz (44170)', 'id': 'admin:fr:44001', 'zip_code': '44170'}]",44001,47.555241,-1.524289,47.5525545,-1.5322775,Abbaretz
3,"[{'type': 'source', 'value': '87317362'}, {'type': 'uic', 'value': '87317362'}]",Abbeville,[],"{'lat': '50.102175', 'lon': '1.824538'}",Abbeville (Abbeville),Europe/Paris,stop_area:SNCF:87317362,"[{'insee': '80001', 'name': 'Abbeville', 'level': 8, 'coord': {'lat': '50.1060835', 'lon': '1.8337029'}, 'label': 'Abbeville (80100)', 'id': 'admin:fr:80001', 'zip_code': '80100'}]",80001,50.102175,1.824538,50.1060835,1.8337029,Abbeville
4,"[{'type': 'source', 'value': '87545269'}, {'type': 'uic', 'value': '87545269'}]",Ablon,[],"{'lat': '48.725443', 'lon': '2.419213'}",Ablon (Ablon-sur-Seine),Europe/Paris,stop_area:SNCF:87545269,"[{'insee': '94001', 'name': 'Ablon-sur-Seine', 'level': 8, 'coord': {'lat': '48.7247582', 'lon': '2.421509'}, 'label': 'Ablon-sur-Seine (94480)', 'id': 'admin:fr:94001', 'zip_code': '94480'}]",94001,48.725443,2.419213,48.7247582,2.421509,Ablon-sur-Seine
5,"[{'type': 'source', 'value': '87590588'}, {'type': 'uic', 'value': '87590588'}]",Ablon Noctilien,[],"{'lat': '48.72551', 'lon': '2.419155'}",Ablon Noctilien (Ablon-sur-Seine),Europe/Paris,stop_area:SNCF:87590588,"[{'insee': '94001', 'name': 'Ablon-sur-Seine', 'level': 8, 'coord': {'lat': '48.7247582', 'lon': '2.421509'}, 'label': 'Ablon-sur-Seine (94480)', 'id': 'admin:fr:94001', 'zip_code': '94480'}]",94001,48.72551,2.419155,48.7247582,2.421509,Ablon-sur-Seine
6,"[{'type': 'source', 'value': '87191403'}, {'type': 'uic', 'value': '87191403'}]",Aboncourt Mairie,[],"{'lat': '49.261076', 'lon': '6.346603'}",Aboncourt Mairie (Aboncourt),Europe/Paris,stop_area:SNCF:87191403,"[{'insee': '57001', 'name': 'Aboncourt', 'level': 8, 'coord': {'lat': '49.2602817', 'lon': '6.3463759'}, 'label': 'Aboncourt (57920)', 'id': 'admin:fr:57001', 'zip_code': '57920'}]",57001,49.261076,6.346603,49.2602817,6.3463759,Aboncourt
7,"[{'type': 'source', 'value': '87721944'}, {'type': 'uic', 'value': '87721944'}]",Abrest Mairie,[],"{'lat': '46.098868', 'lon': '3.444791'}",Abrest Mairie (Abrest),Europe/Paris,stop_area:SNCF:87721944,"[{'insee': '03001', 'name': 'Abrest', 'level': 8, 'coord': {'lat': '46.0980139', 'lon': '3.4450434'}, 'label': 'Abrest (03200)', 'id': 'admin:fr:03001', 'zip_code': '03200'}]",03001,46.098868,3.444791,46.0980139,3.4450434,Abrest
8,"[{'type': 'source', 'value': '87677252'}, {'type': 'uic', 'value': '87677252'}]",Accolay Le Pont,[],"{'lat': '47.663798', 'lon': '3.709584'}",Accolay Le Pont (Deux Rivières),Europe/Paris,stop_area:SNCF:87677252,"[{'insee': '89130', 'name': 'Deux Rivières', 'level': 8, 'coord': {'lat': '47.6839847', 'lon': '3.6898895'}, 'label': 'Deux Rivières (89460)', 'id': 'admin:fr:89130', 'zip_code': '89460'}]",89130,47.663798,3.709584,47.6839847,3.6898895,Deux Rivières
9,"[{'type': 'source', 'value': '87386052'}, {'type': 'uic', 'value': '87386052'}]",Achères Grand Cormier,[],"{'lat': '48.955187', 'lon': '2.091962'}",Achères Grand Cormier (Saint-Germain-en-Laye),Europe/Paris,stop_area:SNCF:87386052,"[{'insee': '78551', 'name': 'Saint-Germain-en-Laye', 'level': 8, 'coord': {'lat': '48.8990413', 'lon': '2.0942792'}, 'label': 'Saint-Germain-en-Laye (78100-78112)', 'id': 'admin:fr:78551', 'zip_code': '78100;78112'}]",78551,48.955187,2.091962,48.8990413,2.0942792,Saint-Germain-en-Laye
10,"[{'type': 'source', 'value': '87612978'}, {'type': 'uic', 'value': '87612978'}]",Acheres Grand Cormier Noctilien,[],"{'lat': '48.955143', 'lon': '2.091769'}",Acheres Grand Cormier Noctilien (Saint-Germain-en-Laye),Europe/Paris,stop_area:SNCF:87612978,"[{'insee': '78551', 'name': 'Saint-Germain-en-Laye', 'level': 8, 'coord': {'lat': '48.8990413', 'lon': '2.0942792'}, 'label': 'Saint-Germain-en-Laye (78100-78112)', 'id': 'admin:fr:78551', 'zip_code': '78100;78112'}]",78551,48.955143,2.091769,48.8990413,2.0942792,Saint-Germain-en-Laye
11,"[{'type': 'source', 'value': '87381657'}, {'type': 'uic', 'value': '87381657'}]",Achères Ville,[],"{'lat': '48.97011', 'lon': '2.07739'}",Achères Ville (Achères),Europe/Paris,stop_area:SNCF:87381657,"[{'insee': '78005', 'name': 'Achères', 'level': 8, 'coord': {'lat': '48.9606321', 'lon': '2.0698106'}, 'label': 'Achères (78260)', 'id': 'admin:fr:78005', 'zip_code': '78260'}]",78005,48.97011,2.07739,48.9606321,2.0698106,Achères
12,"[{'type': 'source', 'value': '87605444'}, {'type': 'uic', 'value': '87605444'}]",Acheres-Ville Noctilien,[],"{'lat': '48.96983', 'lon': '2.077253'}",Acheres-Ville Noctilien (Achères),Europe/Paris,stop_area:SNCF:87605444,"[{'insee': '78005', 'name': 'Achères', 'level': 8, 'coord': {'lat': '48.9606321', 'lon': '2.0698106'}, 'label': 'Achères (78260)', 'id': 'admin:fr:78005', 'zip_code': '78260'}]",78005,48.96983,2.077253,48.9606321,2.0698106,Achères
13,"[{'type': 'source', 'value': '87342048'}, {'type': 'uic', 'value': '87342048'}]",Achiet,[],"{'lat': '50.131919', 'lon': '2.780112'}",Achiet (Achiet-le-Grand),Europe/Paris,stop_area:SNCF:87342048,"[{'insee': '62005', 'name': 'Achiet-le-Grand', 'level': 8, 'coord': {'lat': '50.1320114', 'lon': '2.7843609'}, 'label': 'Achiet-le-Grand (62121)', 'id': 'admin:fr:62005', 'zip_code': '62121'}]",62005,50.131919,2.780112,50.1320114,2.7843609,Achiet-le-Grand
14,"[{'type': 'source', 'value': '87316455'}, {'type': 'uic', 'value': '87316455'}]",Achy,[],"{'lat': '49.55473', 'lon': '1.979053'}",Achy (Achy),Europe/Paris,stop_area:SNCF:87316455,"[{'insee': '60004', 'name': 'Achy', 'level': 8, 'coord': {'lat': '49.5567206', 'lon': '1.9790338'}, 'label': 'Achy (60690)', 'id': 'admin:fr:60004', 'zip_code': '60690'}]",60004,49.55473,1.979053,49.5567206,1.9790338,Achy
15,"[{'type': 'source', 'value': '87658856'}, {'type': 'uic', 'value': '87658856'}]",Adamswiller Lotissement la Forêt,[],"{'lat': '48.905635', 'lon': '7.208238'}",Adamswiller Lotissement la Forêt (Adamswiller),Europe/Paris,stop_area:SNCF:87658856,"[{'insee': '67002', 'name': 'Adamswiller', 'level': 8, 'coord': {'lat': '48.9052331', 'lon': '7.2036488'}, 'label': 'Adamswiller (67320)', 'id': 'admin:fr:67002', 'zip_code': '67320'}]",67002,48.905635,7.208238,48.9052331,7.2036488,Adamswiller
16,"[{'type': 'source', 'value': '87658922'}, {'type': 'uic', 'value': '87658922'}]",Adamswiller Mairie,[],"{'lat': '48.903835', 'lon': '7.201179'}",Adamswiller Mairie (Adamswiller),Europe/Paris,stop_area:SNCF:87658922,"[{'insee': '67002', 'name': 'Adamswiller', 'level': 8, 'coord': {'lat': '48.9052331', 'lon': '7.2036488'}, 'label': 'Adamswiller (67320)', 'id': 'admin:fr:67002', 'zip_code': '67320'}]",67002,48.903835,7.201179,48.9052331,7.2036488,Adamswiller
17,"[{'type': 'source', 'value': '87495713'}, {'type': 'uic', 'value': '87495713'}]",Aérogare Orly Ouest,[],"{'lat': '48.728337', 'lon': '2.359676'}",Aérogare Orly Ouest (Paray-Vieille-Poste),Europe/Paris,stop_area:SNCF:87495713,"[{'insee': '91479', 'name': 'Paray-Vieille-Poste', 'level': 8, 'coord': {'lat': '48.7126093', 'lon': '2.3637838'}, 'label': 'Paray-Vieille-Poste (91550-94390)', 'id': 'admin:fr:91479', 'zip_code': '91550;94390'}]",91479,48.728337,2.359676,48.7126093,2.3637838,Paray-Vieille-Poste
18,"[{'type': 'source', 'value': '87523548'}, {'type': 'uic', 'value': '87523548'}]",Aérogare Orly Sud,[],"{'lat': '48.728829', 'lon': '2.369614'}",Aérogare Orly Sud (Paray-Vieille-Poste),Europe/Paris,stop_area:SNCF:87523548,"[{'insee': '91479', 'name': 'Paray-Vieille-Poste', 'level': 8, 'coord': {'lat': '48.7126093', 'lon': '2.3637838'}, 'label': 'Paray-Vieille-Poste (91550-94390)', 'id': 'admin:fr:91479', 'zip_code': '91550;94390'}]",91479,48.728829,2.369614,48.7126093,2.3637838,Paray-Vieille-Poste
19,"[{'type': 'source', 'value': '87271460'}, {'type': 'uic', 'value': '87271460'}]",Aéroport Charles de Gaulle 1,[],"{'lat': '49.00956', 'lon': '2.56135'}",Aéroport Charles de Gaulle 1 (Tremblay-en-France),Europe/Paris,stop_area:SNCF:87271460,"[{'insee': '93073', 'name': 'Tremblay-en-France', 'level': 8, 'coord': {'lat': '48.98020349999999', 'lon': '2.5589558'}, 'label': 'Tremblay-en-France (93290)', 'id': 'admin:fr:93073', 'zip_code': '93290'}]",93073,49.00956,2.56135,48.98020349999999,2.5589558,Tremblay-en-France
