,codes,name,links,coord,label,timezone,id,administrative_regions,insee,uic,lat,lon,city
6,"[{'type': 'source', 'value': '85014001'}, {'type': 'uic', 'value': '85014001'}]",Aigle,[],"{'lat': '46.31685', 'lon': '6.96367'}",Aigle (Aigle),Europe/Paris,stop_area:SNCF:85014001,"[{'insee': '', 'name': 'Aigle', 'level': 8, 'coord': {'lat': '46.31502629068736', 'lon': '6.97249596899822'}, 'label': 'Aigle (1860)', 'id': 'admin:osm:relation:1684831', 'zip_code': '1860'}]",,85014001,46.31685,6.96367,Aigle
24,"[{'type': 'source', 'value': '80153452'}, {'type': 'uic', 'value': '80153452'}]",Aix la Chapelle,[],"{'lat': '50.7675', 'lon': '6.0912'}",Aix la Chapelle (Aachen),Europe/Paris,stop_area:SNCF:80153452,"[{'insee': '', 'name': 'Aachen', 'level': 8, 'coord': {'lat': '50.776351', 'lon': '6.083862'}, 'label': 'Aachen', 'id': 'admin:osm:relation:62564', 'zip_code': ''}]",,80153452,50.7675,6.0912,Aachen
23,"[{'type': 'source', 'value': '85010355'}, {'type': 'uic', 'value': '85010355'}]",Allaman,[],"{'lat': '46.47575', 'lon': '6.3997'}",Allaman (Allaman),Europe/Paris,stop_area:SNCF:85010355,"[{'insee': '', 'name': 'Allaman', 'level': 8, 'coord': {'lat': '46.47003841867939', 'lon': '6.393881808914902'}, 'label': 'Allaman (1165)', 'id': 'admin:osm:relation:1684832', 'zip_code': '1165'}]",,85010355,46.47575,6.3997,Allaman
5,"[{'type': 'source', 'value': '84000588'}, {'type': 'uic', 'value': '84000588'}]",Amsterdam Centraal,[],"{'lat': '52.37908', 'lon': '4.900632'}",Amsterdam Centraal (Amsterdam),Europe/Paris,stop_area:SNCF:84000588,"[{'insee': '', 'name': 'Amsterdam', 'level': 8, 'coord': {'lat': '52.3727598', 'lon': '4.8936041'}, 'label': 'Amsterdam', 'id': 'admin:osm:relation:271110', 'zip_code': ''}]",,84000588,52.37908,4.900632,Amsterdam
12,"[{'type': 'source', 'value': '88210060'}, {'type': 'uic', 'value': '88210060'}]",Antwerpen Centraal,[],"{'lat': '51.216', 'lon': '4.421'}",Antwerpen Centraal (Antwerpen),Europe/Paris,stop_area:SNCF:88210060,"[{'insee': '', 'name': 'Antwerpen', 'level': 8, 'coord': {'lat': '51.2211097', 'lon': '4.3997081'}, 'label': 'Antwerpen', 'id': 'admin:osm:relation:59518', 'zip_code': ''}]",,88210060,51.216,4.421,Antwerpen
19,"[{'type': 'source', 'value': '80142893'}, {'type': 'uic', 'value': '80142893'}]",Appenweier,[],"{'lat': '48.5419', 'lon': '7.9735'}",Appenweier (Appenweier),Europe/Paris,stop_area:SNCF:80142893,"[{'insee': '', 'name': 'Appenweier', 'level': 8, 'coord': {'lat': '48.55320574452177', 'lon': '7.979820078795748'}, 'label': 'Appenweier', 'id': 'admin:osm:relation:452982', 'zip_code': ''}]",,80142893,48.5419,7.9735,Appenweier
5,"[{'type': 'source', 'value': '80021402'}, {'type': 'uic', 'value': '80021402'}]",Augsburg Hbf,[],"{'lat': '48.3654', 'lon': '10.886'}",Augsburg Hbf (Augsburg),Europe/Paris,stop_area:SNCF:80021402,"[{'insee': '', 'name': 'Augsburg', 'level': 8, 'coord': {'lat': '48.3668041', 'lon': '10.8986971'}, 'label': 'Augsburg', 'id': 'admin:osm:relation:62407', 'zip_code': ''}]",,80021402,48.3654,10.886,Augsburg
11,"[{'type': 'source', 'value': '80142778'}, {'type': 'uic', 'value': '80142778'}]",Baden-Baden,[],"{'lat': '48.7903', 'lon': '8.190899999999999'}",Baden-Baden (Baden-Baden),Europe/Paris,stop_area:SNCF:80142778,"[{'insee': '', 'name': 'Baden-Baden', 'level': 8, 'coord': {'lat': '48.7580777', 'lon': '8.241523899999999'}, 'label': 'Baden-Baden', 'id': 'admin:osm:relation:62340', 'zip_code': ''}]",,80142778,48.7903,8.1909,Baden-Baden
11,"[{'type': 'source', 'value': '87187930'}, {'type': 'uic', 'value': '87187930'}]",Bâle Saint-Jean,[],"{'lat': '47.57031', 'lon': '7.572745'}",Bâle Saint-Jean (Basel),Europe/Paris,stop_area:SNCF:87187930,"[{'insee': '', 'name': 'Basel', 'level': 8, 'coord': {'lat': '47.55775487016457', 'lon': '7.593593164705856'}, 'label': 'Basel', 'id': 'admin:osm:relation:1683619', 'zip_code': ''}]",,87187930,47.57031,7.572745,Basel
11,"[{'type': 'source', 'value': '71718010'}, {'type': 'uic', 'value': '71718010'}]",Barcelone-Sants,[],"{'lat': '41.378961', 'lon': '2.139834'}",Barcelone-Sants (Barcelona),Europe/Paris,stop_area:SNCF:71718010,"[{'insee': '', 'name': 'Barcelona', 'level': 8, 'coord': {'lat': '41.3828939', 'lon': '2.1774322'}, 'label': 'Barcelona (08001)', 'id': 'admin:osm:relation:347950', 'zip_code': '08001'}]",,71718010,41.378961,2.139834,Barcelona
13,"[{'type': 'source', 'value': '83002022'}, {'type': 'uic', 'value': '83002022'}]",BARDONECCHIA,[],"{'lat': '45.076449', 'lon': '6.709963'}",BARDONECCHIA (Bardonecchia),Europe/Paris,stop_area:SNCF:83002022,"[{'insee': '', 'name': 'Bardonecchia', 'level': 8, 'coord': {'lat': '45.078339', 'lon': '6.703205'}, 'label': 'Bardonecchia', 'id': 'admin:osm:relation:44251', 'zip_code': ''}]",,83002022,45.076449,6.709963,Bardonecchia
6,"[{'type': 'source', 'value': '82007187'}, {'type': 'uic', 'value': '82007187'}]",Bascharage secteur Sanem,[],"{'lat': '49.5585', 'lon': '5.9249'}",Bascharage secteur Sanem (Käerjeng),Europe/Paris,stop_area:SNCF:82007187,"[{'insee': '', 'name': 'Käerjeng', 'level': 8, 'coord': {'lat': '49.5712686', 'lon': '5.912845'}, 'label': 'Käerjeng', 'id': 'admin:osm:relation:407885', 'zip_code': ''}]",,82007187,49.5585,5.9249,Käerjeng
8,"[{'type': 'source', 'value': '85000109'}, {'type': 'uic', 'value': '85000109'}]",Basel SBB,[],"{'lat': '47.5474', 'lon': '7.58956'}",Basel SBB (Basel),Europe/Paris,stop_area:SNCF:85000109,"[{'insee': '', 'name': 'Basel', 'level': 8, 'coord': {'lat': '47.55775487016457', 'lon': '7.593593164705856'}, 'label': 'Basel', 'id': 'admin:osm:relation:1683619', 'zip_code': ''}]",,85000109,47.5474,7.58956,Basel
