,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2022-12-05 11:56:00,2022-12-05 16:42:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,17160,1,Aigle,46.31685,6.96367,6960,24120,Paris,Aigle
Aachen,2022-12-05 15:54:30,2022-12-05 18:34:00,Paris Gare du Nord,48.880136,2.354851,9570,0,Aix la Chapelle,50.7675,6.0912,21270,30840,Paris,Aix la Chapelle
Allaman,2022-12-05 10:18:00,2022-12-05 14:18:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,14400,1,Allaman,46.47575,6.3997,1080,15480,Paris,Allaman
Amsterdam,2022-12-05 10:24:30,2022-12-05 13:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,1470,13440,Paris,Amsterdam Centraal
Antwerpen,2022-12-05 10:24:30,2022-12-05 12:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,1470,8820,Paris,Antwerpen Centraal
Appenweier,2022-12-05 10:55:00,2022-12-05 13:15:00,Paris Est,48.876742,2.358424,8400,1,Appenweier,48.5419,7.9735,3300,11700,Paris,Appenweier
Augsburg,2022-12-05 15:55:00,2022-12-05 21:00:00,Paris Est,48.876742,2.358424,18300,0,Augsburg Hbf,48.3654,10.886,21300,39600,Paris,Augsburg Hbf
Baden-Baden,2022-12-05 10:55:00,2022-12-05 14:22:00,Paris Est,48.876742,2.358424,12420,1,Baden-Baden,48.7903,8.190899999999999,3300,15720,Paris,Baden-Baden
Basel,2022-12-05 10:22:00,2022-12-05 13:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11040,0,Basel SBB,47.5474,7.58956,1320,12360,Paris,Basel SBB
Barcelona,2022-12-05 10:14:00,2022-12-05 16:54:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,24000,0,Barcelone-Sants,41.378961,2.139834,840,24840,Paris,Barcelone-Sants
Käerjeng,2022-12-05 13:40:00,2022-12-05 16:49:00,Paris Est,48.876742,2.358424,11340,2,Bascharage secteur Sanem,49.5585,5.9249,13200,24540,Paris,Bascharage secteur Sanem
Haute-Sorne,2022-12-05 11:22:00,2022-12-05 14:55:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12780,1,Glovelier,47.3352,7.20931,4920,17700,Paris,Glovelier
Berg (Pfalz),2022-12-05 15:20:00,2022-12-05 19:22:00,Paris Est,48.876742,2.358424,14520,2,Berg (Pfalz),48.9807,8.2128,19200,33720,Paris,Berg (Pfalz)
Bettembourg,2022-12-05 10:40:00,2022-12-05 13:10:00,Paris Est,48.876742,2.358424,9000,1,Bettembourg,49.516111,6.101111,2400,11400,Paris,Bettembourg
Bex,2022-12-05 11:56:00,2022-12-05 16:48:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,17520,1,Bex,46.25146,7.00067,6960,24480,Paris,Bex
Biel/Bienne,2022-12-05 11:22:00,2022-12-05 15:41:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,15540,1,Biel/Bienne,47.13289,7.24292,4920,20460,Paris,Biel/Bienne
Boncourt,2022-12-05 11:22:00,2022-12-05 14:22:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,10800,1,Boncourt,47.49263,7.01656,4920,15720,Paris,Boncourt
Saint-Gilles - Sint-Gillis,2022-12-05 10:24:30,2022-12-05 11:47:00,Paris Gare du Nord,48.880136,2.354851,4950,0,Bruxelles Midi,50.836,4.336,1470,6420,Paris,Bruxelles Midi
Basse-Allaine,2022-12-05 11:22:00,2022-12-05 14:24:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,10920,1,Buix,47.47933,7.02998,4920,15840,Paris,Buix
Pregny-Chambésy,2022-12-05 10:18:00,2022-12-05 13:50:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12720,1,Chambésy,46.242378,6.147342,1080,13800,Paris,Chambésy
Charleroi,2022-12-05 17:19:00,2022-12-05 20:10:00,Paris Gare du Nord,48.880136,2.354851,10260,1,Charleroi Sud,50.404393,4.438504,26340,36600,Paris,Charleroi Sud
Chêne-Bourg,2022-12-05 10:18:00,2022-12-05 14:04:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13560,1,Chêne-Bourg,46.196607,6.197253,1080,14640,Paris,Chêne-Bourg
Köln,2022-12-05 15:54:30,2022-12-05 19:15:00,Paris Gare du Nord,48.880136,2.354851,12030,0,Cologne,50.9428,6.9591,21270,33300,Paris,Cologne
Coppet,2022-12-05 10:18:00,2022-12-05 13:59:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13260,1,Coppet,46.317378,6.187829,1080,14340,Paris,Coppet
Courchavon,2022-12-05 11:22:00,2022-12-05 14:32:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11400,1,Courchavon,47.43977,7.05765,4920,16320,Paris,Courchavon
Courgenay,2022-12-05 11:22:00,2022-12-05 14:44:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12120,1,Courgenay,47.40522,7.12421,4920,17040,Paris,Courgenay
Courtételle,2022-12-05 11:22:00,2022-12-05 15:05:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13380,1,Courtételle,47.34282,7.31794,4920,18300,Paris,Courtételle
Kortrijk,2022-12-05 14:46:00,2022-12-05 16:45:00,Paris Gare du Nord,48.880136,2.354851,7140,1,Courtrai,50.824,3.26,17160,24300,Paris,Courtrai
Genthod,2022-12-05 10:18:00,2022-12-05 13:55:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13020,1,Genthod-Bellevue,46.256728,6.153962,1080,14100,Paris,Genthod-Bellevue
Delémont,2022-12-05 11:22:00,2022-12-05 15:09:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13620,1,Delemont,47.362,7.35007,4920,18540,Paris,Delemont
Dippach,2022-12-05 13:40:00,2022-12-05 16:44:00,Paris Est,48.876742,2.358424,11040,2,Dippach secteur Reckange,49.57252,5.99512,13200,24240,Paris,Dippach secteur Reckange
Emmendingen,2022-12-05 17:25:00,2022-12-05 20:12:00,Paris Est,48.876742,2.358424,10020,0,Emmendingen,48.1193,7.8479,26700,36720,Paris,Emmendingen
Vilafant,2022-12-05 10:14:00,2022-12-05 15:56:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,20520,0,FIGUERES-VILAFANT,42.264581,2.943028,840,21360,Paris,FIGUERES-VILAFANT
Frankfurt am Main,2022-12-05 15:20:00,2022-12-05 18:58:00,Paris Est,48.876742,2.358424,13080,0,Francfort sur le Main,50.1073,8.6624,19200,32280,Paris,Francfort sur le Main
Freiburg im Breisgau,2022-12-05 17:25:00,2022-12-05 20:26:00,Paris Est,48.876742,2.358424,10860,0,Freiburg (Breisgau) Hbf,47.9979,7.8416,26700,37560,Paris,Freiburg (Breisgau) Hbf
Tournai,2022-12-05 13:16:00,2022-12-05 15:31:30,Paris Gare du Nord,48.880136,2.354851,8130,1,FROYENNES,50.629,3.355,11760,19890,Paris,FROYENNES
Genève,2022-12-05 12:18:00,2022-12-05 15:29:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11460,0,Genève,46.21022,6.14244,8280,19740,Paris,Genève
Girona,2022-12-05 10:14:00,2022-12-05 16:13:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,21540,0,GIRONA,41.979371,2.816957,840,22380,Paris,GIRONA
Gland,2022-12-05 10:18:00,2022-12-05 14:09:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,13860,1,Gland,46.419995,6.269138,1080,14940,Paris,Gland
Grenchen,2022-12-05 11:22:00,2022-12-05 15:29:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,14820,1,Grenchen Nord,47.1918,7.38947,4920,19740,Paris,Grenchen Nord
Hagenbach,2022-12-05 15:20:00,2022-12-05 19:42:00,Paris Est,48.876742,2.358424,15720,2,Hagenbach,49.016,8.253,19200,34920,Paris,Hagenbach
Hesperange,2022-12-05 10:40:00,2022-12-05 13:17:00,Paris Est,48.876742,2.358424,9420,1,Howald,49.58032,6.13232,2400,11820,Paris,Howald
Kaiserslautern,2022-12-05 13:08:00,2022-12-05 15:35:00,Paris Est,48.876742,2.358424,8820,0,Kaiserslautern Hbf,49.4359,7.7688,11280,20100,Paris,Kaiserslautern Hbf
Karlsruhe,2022-12-05 10:55:00,2022-12-05 13:25:00,Paris Est,48.876742,2.358424,9000,0,Karlsruhe Hbf,48.9935,8.401899999999999,3300,12300,Paris,Karlsruhe Hbf
Kehl,2022-12-05 10:55:00,2022-12-05 13:01:00,Paris Est,48.876742,2.358424,7560,1,Kehl,48.5767,7.8063,3300,10860,Paris,Kehl
