,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
0,2022-12-06 15:54:30,2022-12-06 18:34:00,Paris Gare du Nord,48.880136,2.354851,9570,0,Aix la Chapelle,50.7675,6.0912,21270,30840,Paris,Aix la Chapelle
1,2022-12-07 07:54:30,2022-12-07 10:34:00,Paris Gare du Nord,48.880136,2.354851,9570,0,Aix la Chapelle,50.7675,6.0912,78870,88440,Paris,Aix la Chapelle
2,2022-12-07 09:54:30,2022-12-07 12:35:00,Paris Gare du Nord,48.880136,2.354851,9630,0,Aix la Chapelle,50.7675,6.0912,86070,95700,Paris,Aix la Chapelle
3,2022-12-06 10:24:30,2022-12-06 13:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,1470,13440,Paris,Amsterdam Centraal
4,2022-12-06 12:24:30,2022-12-06 15:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,8670,20640,Paris,Amsterdam Centraal
5,2022-12-06 14:24:30,2022-12-06 17:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,15870,27840,Paris,Amsterdam Centraal
6,2022-12-06 10:24:30,2022-12-06 12:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,1470,8820,Paris,Antwerpen Centraal
7,2022-12-06 12:24:30,2022-12-06 14:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,8670,16020,Paris,Antwerpen Centraal
8,2022-12-06 14:24:30,2022-12-06 16:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,15870,23220,Paris,Antwerpen Centraal
9,2022-12-06 15:55:00,2022-12-06 21:00:00,Paris Est,48.876742,2.358424,18300,0,Augsburg Hbf,48.3654,10.886,21300,39600,Paris,Augsburg Hbf
10,2022-12-06 10:22:00,2022-12-06 13:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11040,0,Basel SBB,47.5474,7.58956,1320,12360,Paris,Basel SBB
11,2022-12-06 12:22:00,2022-12-06 15:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11040,0,Basel SBB,47.5474,7.58956,8520,19560,Paris,Basel SBB
12,2022-12-06 14:22:00,2022-12-06 17:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11040,0,Basel SBB,47.5474,7.58956,15720,26760,Paris,Basel SBB
13,2022-12-06 10:14:00,2022-12-06 16:54:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,24000,0,Barcelone-Sants,41.378961,2.139834,840,24840,Paris,Barcelone-Sants
14,2022-12-06 10:24:30,2022-12-06 11:47:00,Paris Gare du Nord,48.880136,2.354851,4950,0,Bruxelles Midi,50.836,4.336,1470,6420,Paris,Bruxelles Midi
15,2022-12-06 11:54:30,2022-12-06 13:17:00,Paris Gare du Nord,48.880136,2.354851,4950,0,Bruxelles Midi,50.836,4.336,6870,11820,Paris,Bruxelles Midi
16,2022-12-06 12:24:30,2022-12-06 13:47:00,Paris Gare du Nord,48.880136,2.354851,4950,0,Bruxelles Midi,50.836,4.336,8670,13620,Paris,Bruxelles Midi
17,2022-12-06 15:54:30,2022-12-06 19:15:00,Paris Gare du Nord,48.880136,2.354851,12030,0,Cologne,50.9428,6.9591,21270,33300,Paris,Cologne
18,2022-12-07 07:54:30,2022-12-07 11:15:00,Paris Gare du Nord,48.880136,2.354851,12030,0,Cologne,50.9428,6.9591,78870,90900,Paris,Cologne
19,2022-12-07 09:54:30,2022-12-07 13:16:00,Paris Gare du Nord,48.880136,2.354851,12090,0,Cologne,50.9428,6.9591,86070,98160,Paris,Cologne
20,2022-12-06 17:25:00,2022-12-06 20:12:00,Paris Est,48.876742,2.358424,10020,0,Emmendingen,48.1193,7.8479,26700,36720,Paris,Emmendingen
21,2022-12-06 10:14:00,2022-12-06 15:56:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,20520,0,FIGUERES-VILAFANT,42.264581,2.943028,840,21360,Paris,FIGUERES-VILAFANT
22,2022-12-06 13:08:00,2022-12-06 16:59:00,Paris Est,48.876742,2.358424,13860,0,Francfort sur le Main,50.1073,8.6624,11280,25140,Paris,Francfort sur le Main
23,2022-12-06 15:20:00,2022-12-06 18:58:00,Paris Est,48.876742,2.358424,13080,0,Francfort sur le Main,50.1073,8.6624,19200,32280,Paris,Francfort sur le Main
24,2022-12-06 17:08:00,2022-12-06 20:59:00,Paris Est,48.876742,2.358424,13860,0,Francfort sur le Main,50.1073,8.6624,25680,39540,Paris,Francfort sur le Main
25,2022-12-06 17:25:00,2022-12-06 20:26:00,Paris Est,48.876742,2.358424,10860,0,Freiburg (Breisgau) Hbf,47.9979,7.8416,26700,37560,Paris,Freiburg (Breisgau) Hbf
26,2022-12-06 10:18:00,2022-12-06 13:30:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11520,0,Genève,46.21022,6.14244,1080,12600,Paris,Genève
27,2022-12-06 12:18:00,2022-12-06 15:29:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11460,0,Genève,46.21022,6.14244,8280,19740,Paris,Genève
28,2022-12-06 14:18:00,2022-12-06 17:29:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11460,0,Genève,46.21022,6.14244,15480,26940,Paris,Genève
29,2022-12-06 10:14:00,2022-12-06 16:13:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,21540,0,GIRONA,41.979371,2.816957,840,22380,Paris,GIRONA
30,2022-12-06 13:08:00,2022-12-06 15:35:00,Paris Est,48.876742,2.358424,8820,0,Kaiserslautern Hbf,49.4359,7.7688,11280,20100,Paris,Kaiserslautern Hbf
31,2022-12-06 17:08:00,2022-12-06 19:35:00,Paris Est,48.876742,2.358424,8820,0,Kaiserslautern Hbf,49.4359,7.7688,25680,34500,Paris,Kaiserslautern Hbf
32,2022-12-06 19:06:00,2022-12-06 21:35:00,Paris Est,48.876742,2.358424,8940,0,Kaiserslautern Hbf,49.4359,7.7688,32760,41700,Paris,Kaiserslautern Hbf
33,2022-12-06 10:55:00,2022-12-06 13:25:00,Paris Est,48.876742,2.358424,9000,0,Karlsruhe Hbf,48.9935,8.401899999999999,3300,12300,Paris,Karlsruhe Hbf
34,2022-12-06 13:55:00,2022-12-06 16:25:00,Paris Est,48.876742,2.358424,9000,0,Karlsruhe Hbf,48.9935,8.401899999999999,14100,23100,Paris,Karlsruhe Hbf
35,2022-12-06 15:20:00,2022-12-06 17:52:00,Paris Est,48.876742,2.358424,9120,0,Karlsruhe Hbf,48.9935,8.401899999999999,19200,28320,Paris,Karlsruhe Hbf
36,2022-12-06 17:25:00,2022-12-06 19:54:00,Paris Est,48.876742,2.358424,8940,0,Lahr (Schwarzw),48.3406,7.8353,26700,35640,Paris,Lahr (Schwarzw)
